<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSNDX50807.PL,D,20220502,000000,96.4,99.6,95.6,95.6,2883,0
INTSNDX50807.PL,D,20220504,000000,88.6,94,87.7,94,68,0
INTSNDX50807.PL,D,20220505,000000,70.8,95.2,70.8,95.2,526,0
INTSNDX50807.PL,D,20220506,000000,103,105.2,103,105.2,11,0
INTSNDX50807.PL,D,20220509,000000,114.8,122.2,114.2,122.2,2730,0
INTSNDX50807.PL,D,20220510,000000,119,119.8,119,119.8,30,0
INTSNDX50807.PL,D,20220512,000000,146.4,146.4,145.8,145.8,30,0
INTSNDX50807.PL,D,20220513,000000,124.8,126,124.8,126,31,0
INTSNDX50807.PL,D,20220516,000000,122.8,122.8,120.6,120.6,72,0
INTSNDX50807.PL,D,20220518,000000,117.6,122.8,117.6,122.8,20,0
INTSNDX50807.PL,D,20220519,000000,143.6,147.6,138,138,48,0
INTSNDX50807.PL,D,20220520,000000,132,132,132,132,50,0
INTSNDX50807.PL,D,20220523,000000,137,137.8,137,137.8,44,0
INTSNDX50807.PL,D,20220526,000000,136.2,136.2,132,132.4,82,0
INTSNDX50807.PL,D,20220527,000000,107.2,107.2,107.2,107.2,18,0
INTSNDX50807.PL,D,20220530,000000,97,97,96.8,96.8,22,0
INTSNDX50807.PL,D,20220531,000000,107,107,104,104,30,0
INTSNDX50807.PL,D,20220601,000000,99,99,99,99,10,0
INTSNDX50807.PL,D,20220607,000000,108.2,108.2,101,101,40,0
INTSNDX50807.PL,D,20220610,000000,119,137.8,118,137.8,75,0
INTSNDX50807.PL,D,20220613,000000,156.2,156.2,155,155,50,0
INTSNDX50807.PL,D,20220614,000000,169,169,169,169,12,0
INTSNDX50807.PL,D,20220617,000000,171.2,171.2,171.2,171.2,15,0
INTSNDX50807.PL,D,20220620,000000,164.2,164.8,164,164.8,92,0
INTSNDX50807.PL,D,20220624,000000,139.8,139.8,133.6,133.6,55,0
INTSNDX50807.PL,D,20220630,000000,156,156,156,156,14,0
INTSNDX50807.PL,D,20220701,000000,162.8,162.8,158,158,42,0
INTSNDX50807.PL,D,20220708,000000,142,142,142,142,21,0
INTSNDX50807.PL,D,20220713,000000,153.4,153.4,153.4,153.4,21,0
INTSNDX50807.PL,D,20220718,000000,134.6,134.6,134.6,134.6,40,0
INTSNDX50807.PL,D,20220721,000000,121.4,121.4,118.4,118.4,75,0
INTSNDX50807.PL,D,20220726,000000,125.4,126.8,125.4,126.8,26,0
INTSNDX50807.PL,D,20220729,000000,98.8,98.8,98.5,98.5,25,0
INTSNDX50807.PL,D,20220804,000000,81.3,81.3,77.2,79.2,120,0
INTSNDX50807.PL,D,20220805,000000,76.8,85.4,76.8,81.9,248,0
INTSNDX50807.PL,D,20220808,000000,78.1,79.8,78.1,79.8,46,0
INTSNDX50807.PL,D,20220809,000000,82.6,82.6,82.6,82.6,4,0
INTSNDX50807.PL,D,20220810,000000,91.6,91.6,75.3,75.3,18,0
INTSNDX50807.PL,D,20220811,000000,69.5,71.5,64.7,66,399,0
INTSNDX50807.PL,D,20220812,000000,74.5,74.5,73.2,74.1,161,0
INTSNDX50807.PL,D,20220816,000000,62.7,65.3,60.6,65.3,25958,0
INTSNDX50807.PL,D,20220817,000000,62.7,69.6,62.7,69.6,6481,0
INTSNDX50807.PL,D,20220818,000000,72.1,72.3,66,67.6,12896,0
INTSNDX50807.PL,D,20220819,000000,75,75,75,75,28,0
INTSNDX50807.PL,D,20220822,000000,89.6,91.2,89.6,90,7991,0
INTSNDX50807.PL,D,20220823,000000,100.6,100.6,100.6,100.6,2365,0
INTSNDX50807.PL,D,20220824,000000,102.4,102.4,102.4,102.4,295,0
INTSNDX50807.PL,D,20220825,000000,90.4,93.1,90.4,93.1,1500,0
INTSNDX50807.PL,D,20220826,000000,87.8,97.9,87.8,97.9,510,0
INTSNDX50807.PL,D,20220829,000000,118.2,119.2,112,112,70,0
INTSNDX50807.PL,D,20220830,000000,111,117.8,111,117.8,170,0
INTSNDX50807.PL,D,20220831,000000,119.6,120.8,118,118,187,0
INTSNDX50807.PL,D,20220901,000000,132,132,128.8,131,1151,0
INTSNDX50807.PL,D,20220902,000000,126.6,126.6,126.6,126.6,250,0
INTSNDX50807.PL,D,20220905,000000,135.6,136.4,135.6,136.4,345,0
