<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSPEO44420.PL,D,20211126,000000,45.8,45.8,45.8,45.8,400,0
INTSPEO44420.PL,D,20211129,000000,42.25,42.25,42.25,42.25,10,0
INTSPEO44420.PL,D,20211201,000000,40,40,40,40,5,0
INTSPEO44420.PL,D,20211209,000000,41.25,43.95,41.25,43.65,300,0
INTSPEO44420.PL,D,20211213,000000,41.55,41.55,41.55,41.55,30,0
INTSPEO44420.PL,D,20211214,000000,45.7,45.9,45.7,45.9,415,0
INTSPEO44420.PL,D,20211215,000000,46.35,46.35,46.35,46.35,10,0
INTSPEO44420.PL,D,20211216,000000,44.45,44.85,41.9,41.9,25,0
INTSPEO44420.PL,D,20211217,000000,44.15,44.15,43.8,43.8,15,0
INTSPEO44420.PL,D,20211220,000000,47.55,47.55,44.5,44.5,40,0
INTSPEO44420.PL,D,20211221,000000,43.95,43.95,43.95,43.95,5,0
INTSPEO44420.PL,D,20211223,000000,40.15,40.15,40.15,40.15,5,0
INTSPEO44420.PL,D,20211229,000000,36.05,36.05,36.05,36.05,5,0
INTSPEO44420.PL,D,20220104,000000,32,32,31.7,31.7,15,0
INTSPEO44420.PL,D,20220105,000000,34.25,34.95,34.25,34.95,10,0
INTSPEO44420.PL,D,20220110,000000,31.45,32.9,31.45,32.55,4090,0
INTSPEO44420.PL,D,20220111,000000,30.5,30.5,26.4,26.4,1634,0
INTSPEO44420.PL,D,20220112,000000,24.5,24.5,20.6,21.45,572,0
INTSPEO44420.PL,D,20220113,000000,22.45,22.65,21.45,22,131,0
INTSPEO44420.PL,D,20220114,000000,21.85,24.25,21.85,22.05,5264,0
INTSPEO44420.PL,D,20220117,000000,23.25,23.7,23.25,23.7,111,0
INTSPEO44420.PL,D,20220118,000000,24.3,25.35,24.3,25.35,374,0
INTSPEO44420.PL,D,20220119,000000,25.25,25.4,22.9,23.95,6331,0
INTSPEO44420.PL,D,20220120,000000,24.45,24.8,23.5,23.5,294,0
INTSPEO44420.PL,D,20220121,000000,24.45,24.45,24.45,24.45,55,0
INTSPEO44420.PL,D,20220124,000000,23.45,30.4,23.45,30.4,215,0
INTSPEO44420.PL,D,20220125,000000,28.65,29.05,27.35,29.05,285,0
INTSPEO44420.PL,D,20220126,000000,27.2,27.2,25.05,25.1,353,0
INTSPEO44420.PL,D,20220127,000000,23.45,24,21.2,22.8,773,0
INTSPEO44420.PL,D,20220128,000000,23.75,27.3,23.75,26.75,1203,0
INTSPEO44420.PL,D,20220131,000000,23.05,23.05,22.05,22.05,1000,0
INTSPEO44420.PL,D,20220201,000000,20.3,21.3,19.5,20.7,1824,0
INTSPEO44420.PL,D,20220202,000000,19.5,21.3,19.14,19.74,684,0
INTSPEO44420.PL,D,20220203,000000,21.35,21.5,20.2,20.2,208,0
INTSPEO44420.PL,D,20220204,000000,20.95,22.75,20.95,22.75,84,0
INTSPEO44420.PL,D,20220207,000000,25.3,25.3,25.3,25.3,240,0
INTSPEO44420.PL,D,20220208,000000,23.75,23.75,21,21,230,0
INTSPEO44420.PL,D,20220209,000000,20.4,20.6,20.4,20.6,290,0
INTSPEO44420.PL,D,20220210,000000,21.7,21.9,21,21,470,0
INTSPEO44420.PL,D,20220211,000000,23.2,26,23.2,25.55,987,0
INTSPEO44420.PL,D,20220214,000000,27.55,27.55,24.9,24.9,85,0
INTSPEO44420.PL,D,20220215,000000,24.55,24.55,22.5,22.5,1070,0
INTSPEO44420.PL,D,20220216,000000,22.5,24.7,22.5,23.15,379,0
INTSPEO44420.PL,D,20220217,000000,27.1,27.1,27.1,27.1,250,0
INTSPEO44420.PL,D,20220218,000000,27,28.4,27,28.4,282,0
INTSPEO44420.PL,D,20220221,000000,30.55,37.3,30.4,37.3,236,0
INTSPEO44420.PL,D,20220222,000000,38.5,39.3,38.5,39.3,520,0
INTSPEO44420.PL,D,20220223,000000,36.55,36.55,36.55,36.55,272,0
INTSPEO44420.PL,D,20220224,000000,52.9,57.5,52.9,57.5,1780,0
INTSPEO44420.PL,D,20220225,000000,47.1,47.1,39.2,39.2,6348,0
INTSPEO44420.PL,D,20220228,000000,45.4,45.4,42.65,43.2,1282,0
INTSPEO44420.PL,D,20220301,000000,40.7,51.3,40.7,51.3,756,0
INTSPEO44420.PL,D,20220302,000000,50.6,50.6,50.6,50.6,350,0
INTSPEO44420.PL,D,20220303,000000,50.1,50.1,50.1,50.1,50,0
INTSPEO44420.PL,D,20220304,000000,57.3,59.1,57.2,59.1,1269,0
INTSPEO44420.PL,D,20220307,000000,70.2,70.2,62.6,62.6,103,0
INTSPEO44420.PL,D,20220311,000000,49.9,50.6,49.9,50.6,126,0
INTSPEO44420.PL,D,20220315,000000,53.1,53.1,51.3,51.7,602,0
INTSPEO44420.PL,D,20220316,000000,44.8,45.45,43.75,45.45,88,0
INTSPEO44420.PL,D,20220317,000000,42.45,44.05,41.5,44.05,323,0
INTSPEO44420.PL,D,20220318,000000,45.05,45.3,45.05,45.2,161,0
INTSPEO44420.PL,D,20220321,000000,48.35,48.35,48.35,48.35,30,0
INTSPEO44420.PL,D,20220325,000000,50.2,50.2,50.2,50.2,100,0
INTSPEO44420.PL,D,20220329,000000,41.15,41.25,40.7,40.7,149,0
INTSPEO44420.PL,D,20220330,000000,42.8,42.8,42.8,42.8,150,0
INTSPEO44420.PL,D,20220401,000000,40,40,40,40,32,0
INTSPEO44420.PL,D,20220404,000000,40.9,40.9,40.9,40.9,32,0
INTSPEO44420.PL,D,20220405,000000,43.55,43.55,43.55,43.55,350,0
INTSPEO44420.PL,D,20220406,000000,44.25,44.25,43.7,44.25,710,0
INTSPEO44420.PL,D,20220408,000000,45,45,45,45,600,0
INTSPEO44420.PL,D,20220412,000000,45.5,45.5,45.5,45.5,7,0
INTSPEO44420.PL,D,20220419,000000,47.6,47.6,47.6,47.6,44,0
INTSPEO44420.PL,D,20220422,000000,48.55,49.2,48.55,49.2,140,0
INTSPEO44420.PL,D,20220425,000000,51.5,57.3,51.5,56,93,0
INTSPEO44420.PL,D,20220426,000000,55.1,55.1,55.1,55.1,10,0
INTSPEO44420.PL,D,20220427,000000,59.4,59.4,59.4,59.4,5,0
INTSPEO44420.PL,D,20220428,000000,57.8,57.8,57.8,57.8,425,0
INTSPEO44420.PL,D,20220506,000000,69.4,69.4,67.4,69,340,0
INTSPEO44420.PL,D,20220510,000000,70,70,70,70,300,0
