<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSPGE40337.PL,D,20210514,000000,3,3,3,3,110,0
INTSPGE40337.PL,D,20210518,000000,2.88,2.88,2.88,2.88,110,0
INTSPGE40337.PL,D,20210519,000000,2.55,2.72,2.55,2.72,440,0
INTSPGE40337.PL,D,20210520,000000,2.42,2.42,2.42,2.42,220,0
INTSPGE40337.PL,D,20210521,000000,2.77,3.34,2.56,3.34,850,0
INTSPGE40337.PL,D,20210524,000000,3.71,3.71,3.11,3.11,1943,0
INTSPGE40337.PL,D,20210526,000000,2.8,2.8,2.32,2.32,5170,0
INTSPGE40337.PL,D,20210527,000000,2.45,2.45,2.45,2.45,560,0
INTSPGE40337.PL,D,20210604,000000,2.16,2.16,1.74,1.86,26020,0
INTSPGE40337.PL,D,20210607,000000,1.65,1.68,1.62,1.62,7000,0
INTSPGE40337.PL,D,20210608,000000,1.94,2.02,1.78,1.78,24780,0
INTSPGE40337.PL,D,20210609,000000,2.11,2.29,2.07,2.21,12495,0
INTSPGE40337.PL,D,20210610,000000,2.42,2.42,2.19,2.23,2424,0
INTSPGE40337.PL,D,20210611,000000,2.21,2.38,2.13,2.38,2323,0
INTSPGE40337.PL,D,20210614,000000,2.23,2.34,2.23,2.33,1776,0
INTSPGE40337.PL,D,20210615,000000,2.39,2.59,2.39,2.59,2700,0
INTSPGE40337.PL,D,20210616,000000,2.36,2.36,2.31,2.31,1700,0
INTSPGE40337.PL,D,20210617,000000,2.36,2.38,2.36,2.38,2400,0
INTSPGE40337.PL,D,20210618,000000,2.36,2.39,2.26,2.31,5500,0
INTSPGE40337.PL,D,20210621,000000,2.37,2.44,2.37,2.44,1104,0
INTSPGE40337.PL,D,20210622,000000,2.23,2.27,2.19,2.19,3104,0
INTSPGE40337.PL,D,20210623,000000,2.33,2.33,2.3,2.3,2000,0
INTSPGE40337.PL,D,20210624,000000,2.33,2.33,2.19,2.32,3343,0
INTSPGE40337.PL,D,20210625,000000,2.31,2.48,2.31,2.46,2930,0
INTSPGE40337.PL,D,20210629,000000,2.73,2.73,2.64,2.64,5000,0
INTSPGE40337.PL,D,20210630,000000,2.95,2.95,2.95,2.95,3000,0
INTSPGE40337.PL,D,20210701,000000,3.26,3.26,3.26,3.26,530,0
INTSPGE40337.PL,D,20210708,000000,3.43,3.53,3.43,3.53,61,0
INTSPGE40337.PL,D,20210720,000000,4.12,4.12,4.12,4.12,2400,0
INTSPGE40337.PL,D,20210721,000000,3.9,3.9,3.9,3.9,83,0
INTSPGE40337.PL,D,20210722,000000,3.83,3.83,3.83,3.83,83,0
INTSPGE40337.PL,D,20210806,000000,3.26,3.26,3.26,3.26,60,0
INTSPGE40337.PL,D,20210823,000000,3.22,3.22,2.72,2.72,695,0
INTSPGE40337.PL,D,20210825,000000,2.77,2.77,2.77,2.77,480,0
INTSPGE40337.PL,D,20210826,000000,2.84,2.84,2.84,2.84,215,0
