<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSPLA51037.PL,D,20220505,000000,7.45,7.45,7.3,7.3,300,0
INTSPLA51037.PL,D,20220520,000000,8.13,8.13,8.13,8.13,300,0
INTSPLA51037.PL,D,20220524,000000,8.25,8.25,8.25,8.25,300,0
INTSPLA51037.PL,D,20220601,000000,7.75,7.75,6.3,6.3,621,0
INTSPLA51037.PL,D,20220602,000000,6.32,6.32,6.1,6.1,250,0
INTSPLA51037.PL,D,20220603,000000,5.68,5.68,5.44,5.44,450,0
INTSPLA51037.PL,D,20220606,000000,5.48,5.48,5.48,5.48,60,0
INTSPLA51037.PL,D,20220607,000000,6.24,6.24,6.2,6.2,1060,0
INTSPLA51037.PL,D,20220609,000000,6.91,7.82,6.91,7.82,1650,0
INTSPLA51037.PL,D,20220613,000000,9.08,9.62,9.08,9.62,500,0
INTSPLA51037.PL,D,20220614,000000,9.8,9.8,9.8,9.8,171,0
INTSPLA51037.PL,D,20220615,000000,9.05,9.05,9.05,9.05,221,0
INTSPLA51037.PL,D,20220624,000000,10.4,10.4,10.4,10.4,221,0
INTSPLA51037.PL,D,20220705,000000,13.5,13.5,13.5,13.5,100,0
INTSPLA51037.PL,D,20220707,000000,13,13,13,13,100,0
INTSPLA51037.PL,D,20220801,000000,10.82,10.82,10.82,10.82,92,0
INTSPLA51037.PL,D,20220805,000000,9.65,9.65,9.65,9.65,50,0
INTSPLA51037.PL,D,20220811,000000,7.98,7.98,7.98,7.98,30,0
INTSPLA51037.PL,D,20220822,000000,13,13,13,13,80,0
