<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSPZU43174.PL,D,20211007,000000,7.76,7.76,7.76,7.76,166,0
INTSPZU43174.PL,D,20211008,000000,6.68,6.68,6.48,6.48,2000,0
INTSPZU43174.PL,D,20211013,000000,5.49,5.56,5.26,5.56,3282,0
INTSPZU43174.PL,D,20211014,000000,4.96,4.96,4.96,4.96,200,0
INTSPZU43174.PL,D,20211015,000000,4.84,5.76,4.84,5.76,1950,0
INTSPZU43174.PL,D,20211019,000000,5.44,5.61,5.44,5.61,1482,0
INTSPZU43174.PL,D,20211020,000000,6,6,5.91,5.91,1010,0
INTSPZU43174.PL,D,20211102,000000,4.62,4.62,4.62,4.62,400,0
INTSPZU43174.PL,D,20211108,000000,5.13,5.13,5.13,5.13,100,0
INTSPZU43174.PL,D,20211109,000000,5.27,5.27,5.27,5.27,100,0
INTSPZU43174.PL,D,20211115,000000,5.05,5.05,5.05,5.05,100,0
INTSPZU43174.PL,D,20211118,000000,7.96,7.96,7.96,7.96,500,0
INTSPZU43174.PL,D,20211119,000000,9.46,9.46,9.46,9.46,166,0
INTSPZU43174.PL,D,20211130,000000,10.1,10.1,10.1,10.1,300,0
INTSPZU43174.PL,D,20211216,000000,9.5,9.5,9.5,9.5,250,0
INTSPZU43174.PL,D,20220111,000000,9.53,9.53,8.69,8.69,334,0
INTSPZU43174.PL,D,20220120,000000,9.25,9.32,9.24,9.29,25000,0
INTSPZU43174.PL,D,20220125,000000,10.6,10.66,10.6,10.66,184,0
INTSPZU43174.PL,D,20220126,000000,9.44,9.44,9.4,9.44,25000,0
INTSPZU43174.PL,D,20220127,000000,8.52,8.52,8.52,8.52,250,0
INTSPZU43174.PL,D,20220128,000000,9.15,9.58,9.15,9.58,1250,0
INTSPZU43174.PL,D,20220202,000000,8.46,8.46,8.46,8.46,100,0
INTSPZU43174.PL,D,20220204,000000,8.6,8.6,8.6,8.6,100,0
INTSPZU43174.PL,D,20220214,000000,9.86,9.86,9.86,9.86,250,0
INTSPZU43174.PL,D,20220215,000000,9.65,9.65,9.65,9.65,150,0
INTSPZU43174.PL,D,20220216,000000,9.15,9.47,9.14,9.47,38500,0
INTSPZU43174.PL,D,20220221,000000,11.7,11.7,11.52,11.58,38500,0
INTSPZU43174.PL,D,20220224,000000,14.32,15.2,13.56,13.56,1500,0
INTSPZU43174.PL,D,20220318,000000,10.96,11.14,10.74,11.14,3830,0
INTSPZU43174.PL,D,20220323,000000,10.96,10.96,10.96,10.96,1000,0
INTSPZU43174.PL,D,20220324,000000,10.8,10.8,10.8,10.8,466,0
INTSPZU43174.PL,D,20220325,000000,11.32,11.32,11.24,11.32,1466,0
INTSPZU43174.PL,D,20220406,000000,11.6,11.6,11.6,11.6,100,0
INTSPZU43174.PL,D,20220407,000000,11.5,11.5,11.5,11.5,433,0
INTSPZU43174.PL,D,20220425,000000,12.96,12.96,12.96,12.96,230,0
INTSPZU43174.PL,D,20220426,000000,13.16,13.16,13.16,13.16,230,0
INTSPZU43174.PL,D,20220427,000000,14.34,14.34,14,14,633,0
INTSPZU43174.PL,D,20220510,000000,15.7,15.7,15.7,15.7,100,0
INTSPZU43174.PL,D,20220512,000000,16.24,16.24,16.24,16.24,300,0
INTSPZU43174.PL,D,20220524,000000,11.9,11.9,11.9,11.9,650,0
INTSPZU43174.PL,D,20220525,000000,12.62,12.62,12.62,12.62,500,0
INTSPZU43174.PL,D,20220608,000000,14.56,14.56,14.56,14.56,150,0
INTSPZU43174.PL,D,20220704,000000,15.66,15.66,15.48,15.48,3000,0
INTSPZU43174.PL,D,20220714,000000,15.98,15.98,15.98,15.98,100,0
INTSPZU43174.PL,D,20220721,000000,16.14,16.14,16.14,16.14,2000,0
INTSPZU43174.PL,D,20220812,000000,13.72,13.72,13.72,13.72,100,0
INTSPZU43174.PL,D,20220822,000000,15.52,15.52,15.52,15.52,100,0
