<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSW2019976.PL,D,20171219,000000,6.77,6.77,6.74,6.74,280,0
INTSW2019976.PL,D,20171220,000000,6.88,6.88,6.8,6.8,270,0
INTSW2019976.PL,D,20171227,000000,6.88,6.88,6.85,6.85,260,0
INTSW2019976.PL,D,20180116,000000,5.9,5.9,5.55,5.55,280,0
INTSW2019976.PL,D,20180123,000000,4.98,4.98,4.98,4.98,80,0
INTSW2019976.PL,D,20180129,000000,5.42,5.42,5.42,5.42,9200,0
INTSW2019976.PL,D,20180201,000000,5.7,5.85,5.69,5.85,9987,0
INTSW2019976.PL,D,20180205,000000,6.41,6.41,6.41,6.41,1987,0
INTSW2019976.PL,D,20180206,000000,7.07,7.33,7.07,7.2,9910,0
INTSW2019976.PL,D,20180209,000000,7.55,7.66,7.55,7.66,700,0
INTSW2019976.PL,D,20180212,000000,7.2,7.31,7.2,7.31,5550,0
INTSW2019976.PL,D,20180222,000000,7.4,7.4,7.33,7.33,11600,0
INTSW2019976.PL,D,20180223,000000,7.19,7.19,7.19,7.19,1600,0
INTSW2019976.PL,D,20180226,000000,7.27,7.27,7.27,7.27,125,0
INTSW2019976.PL,D,20180228,000000,7.41,7.6,7.41,7.6,350,0
INTSW2019976.PL,D,20180301,000000,7.85,7.85,7.85,7.85,125,0
INTSW2019976.PL,D,20180302,000000,8.23,8.3,8.22,8.3,3450,0
INTSW2019976.PL,D,20180305,000000,8.16,8.16,8.16,8.16,50,0
INTSW2019976.PL,D,20180307,000000,8.24,8.24,7.9,7.9,450,0
INTSW2019976.PL,D,20180313,000000,7.87,7.87,7.87,7.87,25,0
INTSW2019976.PL,D,20180319,000000,8.85,8.85,8.85,8.85,17,0
INTSW2019976.PL,D,20180320,000000,8.92,8.95,8.92,8.95,147,0
INTSW2019976.PL,D,20180321,000000,8.57,8.61,8.23,8.23,380,0
INTSW2019976.PL,D,20180322,000000,8.5,8.74,8.5,8.74,220,0
INTSW2019976.PL,D,20180326,000000,8.75,9.01,8.75,9.01,89,0
INTSW2019976.PL,D,20180328,000000,9.4,9.4,9.4,9.4,87,0
INTSW2019976.PL,D,20180403,000000,9.24,9.24,9.24,9.24,216,0
INTSW2019976.PL,D,20180417,000000,8.36,8.42,8.31,8.32,23855,0
INTSW2019976.PL,D,20180418,000000,8.27,8.45,8.27,8.29,6950,0
INTSW2019976.PL,D,20180419,000000,8.28,8.28,8.05,8.05,4406,0
INTSW2019976.PL,D,20180420,000000,8.29,8.3,8.29,8.3,900,0
INTSW2019976.PL,D,20180423,000000,8.4,8.4,8.4,8.4,907,0
INTSW2019976.PL,D,20180424,000000,8.29,8.29,8.29,8.29,327,0
INTSW2019976.PL,D,20180425,000000,8.62,8.77,8.62,8.74,9126,0
INTSW2019976.PL,D,20180426,000000,8.61,8.61,8.61,8.61,1000,0
INTSW2019976.PL,D,20180427,000000,8.42,8.42,8.42,8.42,350,0
INTSW2019976.PL,D,20180430,000000,8.31,8.45,8.31,8.45,2600,0
INTSW2019976.PL,D,20180502,000000,8.4,8.4,8.24,8.24,1450,0
INTSW2019976.PL,D,20180504,000000,8.98,8.98,8.85,8.85,1600,0
INTSW2019976.PL,D,20180507,000000,8.8,8.8,8.8,8.8,490,0
INTSW2019976.PL,D,20180508,000000,9.14,9.14,8.85,8.85,2500,0
INTSW2019976.PL,D,20180509,000000,8.85,8.85,8.58,8.58,4890,0
INTSW2019976.PL,D,20180510,000000,8.35,8.35,8.2,8.2,5300,0
INTSW2019976.PL,D,20180511,000000,8.29,8.29,8,8.08,3000,0
INTSW2019976.PL,D,20180514,000000,8.15,8.16,8.15,8.16,5300,0
INTSW2019976.PL,D,20180516,000000,8.55,8.68,8.49,8.52,9273,0
INTSW2019976.PL,D,20180517,000000,8.61,8.68,8.61,8.68,320,0
INTSW2019976.PL,D,20180521,000000,8.87,8.87,8.68,8.68,3400,0
INTSW2019976.PL,D,20180523,000000,9.12,9.12,9.05,9.07,1866,0
INTSW2019976.PL,D,20180524,000000,9.02,9.02,9.02,9.02,40,0
INTSW2019976.PL,D,20180528,000000,8.95,8.95,8.95,8.95,50,0
INTSW2019976.PL,D,20180529,000000,9.61,9.64,9.4,9.4,15950,0
INTSW2019976.PL,D,20180530,000000,9.69,9.69,9.69,9.69,216,0
INTSW2019976.PL,D,20180607,000000,8.43,8.43,8.43,8.43,580,0
INTSW2019976.PL,D,20180608,000000,8.75,8.75,8.75,8.75,500,0
INTSW2019976.PL,D,20180620,000000,9.58,9.58,9.55,9.55,750,0
INTSW2019976.PL,D,20180621,000000,9.7,9.95,9.7,9.95,175,0
INTSW2019976.PL,D,20180622,000000,9.51,9.51,9.51,9.51,60,0
INTSW2019976.PL,D,20180625,000000,9.5,9.5,9.5,9.5,70,0
INTSW2019976.PL,D,20180626,000000,9.53,9.53,9.52,9.52,350,0
INTSW2019976.PL,D,20180628,000000,10,10,10,10,205,0
INTSW2019976.PL,D,20180724,000000,8.6,8.6,8.6,8.6,200,0
INTSW2019976.PL,D,20180726,000000,7.92,7.92,7.81,7.81,300,0
INTSW2019976.PL,D,20180727,000000,7.95,7.95,7.95,7.95,100,0
INTSW2019976.PL,D,20180730,000000,7.7,7.7,7.7,7.7,250,0
INTSW2019976.PL,D,20180801,000000,7.93,7.93,7.89,7.89,130,0
INTSW2019976.PL,D,20180809,000000,7.83,7.83,7.83,7.83,80,0
INTSW2019976.PL,D,20180810,000000,7.88,7.88,7.88,7.88,50,0
INTSW2019976.PL,D,20180823,000000,7.53,7.53,7.53,7.53,80,0
INTSW2019976.PL,D,20180827,000000,7,7,7,7,100,0
INTSW2019976.PL,D,20180828,000000,6.93,6.93,6.93,6.93,190,0
INTSW2019976.PL,D,20180830,000000,6.93,7.16,6.93,7.16,340,0
INTSW2019976.PL,D,20180831,000000,7.32,7.32,7.32,7.32,200,0
INTSW2019976.PL,D,20180904,000000,7.31,7.52,7.31,7.52,4110,0
INTSW2019976.PL,D,20180905,000000,7.7,7.7,7.68,7.68,330,0
INTSW2019976.PL,D,20180906,000000,7.83,7.83,7.83,7.83,130,0
INTSW2019976.PL,D,20180926,000000,7.71,7.71,7.71,7.71,5000,0
INTSW2019976.PL,D,20180927,000000,7.65,7.65,7.65,7.65,5000,0
INTSW2019976.PL,D,20181002,000000,7.95,7.95,7.95,7.95,10000,0
INTSW2019976.PL,D,20181003,000000,7.6,7.6,7.6,7.6,131,0
INTSW2019976.PL,D,20181004,000000,7.79,7.79,7.79,7.79,100,0
INTSW2019976.PL,D,20181009,000000,8.08,8.08,8.08,8.08,100,0
INTSW2019976.PL,D,20181016,000000,8.62,8.62,8.5,8.5,10150,0
INTSW2019976.PL,D,20181017,000000,8.21,8.45,8.21,8.45,360,0
INTSW2019976.PL,D,20181018,000000,8.56,8.56,8.56,8.56,10000,0
INTSW2019976.PL,D,20181024,000000,8.93,8.93,8.93,8.93,70,0
INTSW2019976.PL,D,20181029,000000,9.5,9.62,9.5,9.61,6170,0
INTSW2019976.PL,D,20181030,000000,9.3,9.3,9.3,9.3,6000,0
INTSW2019976.PL,D,20181102,000000,8.6,8.6,8.6,8.6,90,0
INTSW2019976.PL,D,20181105,000000,8.32,8.32,8.32,8.32,50,0
INTSW2019976.PL,D,20181107,000000,7.74,7.74,7.74,7.74,100,0
INTSW2019976.PL,D,20181108,000000,7.75,7.94,7.75,7.94,24653,0
INTSW2019976.PL,D,20181109,000000,8.14,8.18,8.07,8.17,10312,0
INTSW2019976.PL,D,20181114,000000,8.41,8.41,8.01,8.01,29047,0
INTSW2019976.PL,D,20181115,000000,8,8.18,8,8.18,3470,0
INTSW2019976.PL,D,20181116,000000,8.79,8.79,8.79,8.79,410,0
INTSW2019976.PL,D,20181120,000000,8.64,8.85,8.64,8.85,180,0
INTSW2019976.PL,D,20181123,000000,8.28,8.35,8.28,8.35,72,0
INTSW2019976.PL,D,20181126,000000,7.96,7.96,7.96,7.96,600,0
INTSW2019976.PL,D,20181128,000000,7.89,7.89,7.89,7.89,300,0
INTSW2019976.PL,D,20181129,000000,7.61,7.61,7.58,7.58,235,0
INTSW2019976.PL,D,20181130,000000,7.59,7.59,7.59,7.59,135,0
INTSW2019976.PL,D,20181204,000000,7.06,7.06,7.06,7.06,1000,0
INTSW2019976.PL,D,20181206,000000,7.28,7.28,7.27,7.27,1000,0
INTSW2019976.PL,D,20181207,000000,7.36,7.36,7.29,7.29,10100,0
INTSW2019976.PL,D,20181210,000000,7.63,7.63,7.63,7.63,100,0
INTSW2019976.PL,D,20181212,000000,7.96,7.96,7.96,7.96,10000,0
INTSW2019976.PL,D,20181213,000000,7.72,7.72,7.31,7.31,12000,0
INTSW2019976.PL,D,20181214,000000,7.6,7.6,7.6,7.6,6000,0
INTSW2019976.PL,D,20181217,000000,7.5,7.52,7.48,7.52,3000,0
INTSW2019976.PL,D,20181218,000000,7.3,7.3,7.3,7.3,66,0
INTSW2019976.PL,D,20181228,000000,7.65,7.65,7.65,7.65,16000,0
INTSW2019976.PL,D,20190107,000000,7.38,7.38,7.28,7.28,884,0
INTSW2019976.PL,D,20190109,000000,7.05,7.05,7.05,7.05,150,0
INTSW2019976.PL,D,20190110,000000,7.19,7.19,7.19,7.19,90,0
INTSW2019976.PL,D,20190111,000000,6.88,7.12,6.78,7.12,12172,0
INTSW2019976.PL,D,20190114,000000,7.1,7.16,7.1,7.16,450,0
INTSW2019976.PL,D,20190115,000000,6.95,6.95,6.85,6.85,11777,0
INTSW2019976.PL,D,20190116,000000,6.95,6.95,6.95,6.95,100,0
INTSW2019976.PL,D,20190117,000000,6.74,6.74,6.68,6.69,400,0
INTSW2019976.PL,D,20190118,000000,6.62,6.73,6.62,6.63,6287,0
INTSW2019976.PL,D,20190122,000000,6.73,6.77,6.73,6.77,290,0
INTSW2019976.PL,D,20190123,000000,6.75,6.75,6.29,6.29,1462,0
INTSW2019976.PL,D,20190124,000000,6.2,6.21,6.2,6.21,700,0
INTSW2019976.PL,D,20190129,000000,6.57,6.57,6.55,6.55,804,0
INTSW2019976.PL,D,20190131,000000,6.42,6.42,6.42,6.42,862,0
INTSW2019976.PL,D,20190201,000000,6.59,6.64,6.5,6.5,25996,0
INTSW2019976.PL,D,20190204,000000,6.47,6.48,6.25,6.33,2235,0
INTSW2019976.PL,D,20190205,000000,6.31,6.31,6.31,6.31,1350,0
INTSW2019976.PL,D,20190206,000000,6.24,6.27,6.13,6.24,22122,0
INTSW2019976.PL,D,20190207,000000,6.5,6.62,6.49,6.62,7939,0
INTSW2019976.PL,D,20190208,000000,6.62,6.69,6.62,6.69,350,0
INTSW2019976.PL,D,20190211,000000,6.6,6.75,6.6,6.75,9000,0
INTSW2019976.PL,D,20190212,000000,6.7,6.7,6.68,6.68,230,0
INTSW2019976.PL,D,20190213,000000,6.83,6.96,6.83,6.96,5230,0
INTSW2019976.PL,D,20190214,000000,6.93,6.93,6.93,6.93,460,0
INTSW2019976.PL,D,20190218,000000,6.93,7,6.93,7,320,0
INTSW2019976.PL,D,20190220,000000,6.75,6.75,6.6,6.6,11559,0
INTSW2019976.PL,D,20190221,000000,6.68,6.68,6.68,6.68,230,0
INTSW2019976.PL,D,20190222,000000,6.69,6.69,6.69,6.69,100,0
INTSW2019976.PL,D,20190304,000000,6.97,7.05,6.97,7.05,4877,0
INTSW2019976.PL,D,20190307,000000,7.08,7.08,7.08,7.08,665,0
INTSW2019976.PL,D,20190315,000000,6.8,6.8,6.8,6.8,4777,0
INTSW2019976.PL,D,20190321,000000,6.7,6.7,6.7,6.7,100,0
INTSW2019976.PL,D,20190322,000000,6.95,6.95,6.95,6.95,100,0
INTSW2019976.PL,D,20190325,000000,7.16,7.16,7.16,7.16,100,0
INTSW2019976.PL,D,20190326,000000,7.07,7.07,7.07,7.07,760,0
INTSW2019976.PL,D,20190401,000000,6.82,6.82,6.82,6.82,110,0
INTSW2019976.PL,D,20190404,000000,6.31,6.31,6.31,6.31,200,0
INTSW2019976.PL,D,20190405,000000,6.55,6.7,6.55,6.7,1289,0
INTSW2019976.PL,D,20190409,000000,6.64,6.64,6.5,6.6,720,0
INTSW2019976.PL,D,20190410,000000,6.46,6.46,6.39,6.39,795,0
INTSW2019976.PL,D,20190411,000000,6.31,6.31,6.31,6.31,500,0
INTSW2019976.PL,D,20190502,000000,6.96,6.96,6.96,6.96,540,0
INTSW2019976.PL,D,20190506,000000,7.15,7.15,7.13,7.13,300,0
INTSW2019976.PL,D,20190507,000000,7.45,7.45,7.45,7.45,200,0
INTSW2019976.PL,D,20190508,000000,7.99,7.99,7.99,7.99,200,0
INTSW2019976.PL,D,20190515,000000,8.46,8.56,8.42,8.42,5559,0
