<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INVGLDFIZ.PL,D,20080521,000000,1625.01,1635,1625.01,1635,15,0
INVGLDFIZ.PL,D,20080523,000000,1645.1,1645.1,1645,1645,6,0
INVGLDFIZ.PL,D,20080526,000000,1655,1655,1640,1640,45,0
INVGLDFIZ.PL,D,20080527,000000,1638,1645,1610,1610,57,0
INVGLDFIZ.PL,D,20080528,000000,1623,1623,1615,1615,11,0
INVGLDFIZ.PL,D,20080529,000000,1619,1619,1600,1600,31,0
INVGLDFIZ.PL,D,20080530,000000,1550,1561,1550,1560,7,0
INVGLDFIZ.PL,D,20080602,000000,1600,1615,1600,1614,10,0
INVGLDFIZ.PL,D,20080603,000000,1614,1614,1588.5,1588.5,10,0
INVGLDFIZ.PL,D,20080604,000000,1610,1610,1600,1600,10,0
INVGLDFIZ.PL,D,20080605,000000,1600,1600,1600,1600,4,0
INVGLDFIZ.PL,D,20080606,000000,1608,1608,1607.8,1608,5,0
INVGLDFIZ.PL,D,20080609,000000,1601,1604,1600,1600,32,0
INVGLDFIZ.PL,D,20080610,000000,1590,1590,1560,1560,15,0
INVGLDFIZ.PL,D,20080611,000000,1570,1590,1570,1590,19,0
INVGLDFIZ.PL,D,20080612,000000,1580,1580,1580,1580,10,0
INVGLDFIZ.PL,D,20080613,000000,1560,1560,1560,1560,4,0
INVGLDFIZ.PL,D,20080619,000000,1555.15,1600,1550,1600,10,0
INVGLDFIZ.PL,D,20080620,000000,1600,1610,1600,1610,27,0
INVGLDFIZ.PL,D,20080623,000000,1600,1600,1580,1600,45,0
INVGLDFIZ.PL,D,20080624,000000,1599,1599,1555,1555,49,0
INVGLDFIZ.PL,D,20080625,000000,1595,1595,1558,1558,3,0
INVGLDFIZ.PL,D,20080627,000000,1615,1620,1615,1620,28,0
INVGLDFIZ.PL,D,20080630,000000,1620,1635,1620,1626.5,13,0
INVGLDFIZ.PL,D,20080701,000000,1635,1645,1635,1645,3,0
INVGLDFIZ.PL,D,20080702,000000,1636,1636,1635,1635,11,0
INVGLDFIZ.PL,D,20080703,000000,1649,1649,1600,1625,37,0
INVGLDFIZ.PL,D,20080704,000000,1615,1638,1611,1611,3,0
INVGLDFIZ.PL,D,20080707,000000,1613.71,1613.71,1580,1581,23,0
INVGLDFIZ.PL,D,20080708,000000,1595,1595,1595,1595,1,0
INVGLDFIZ.PL,D,20080709,000000,1585,1585,1585,1585,1,0
INVGLDFIZ.PL,D,20080710,000000,1600,1609.99,1600,1609.99,7,0
INVGLDFIZ.PL,D,20080711,000000,1637,1640,1637,1640,8,0
INVGLDFIZ.PL,D,20080714,000000,1639,1645,1634,1645,33,0
INVGLDFIZ.PL,D,20080715,000000,1649,1650,1645,1650,159,0
INVGLDFIZ.PL,D,20080716,000000,1650,1660,1649.99,1660,131,0
INVGLDFIZ.PL,D,20080717,000000,1677.99,1700,1677.99,1699,49,0
INVGLDFIZ.PL,D,20080718,000000,1697.99,1697.99,1665,1675,31,0
INVGLDFIZ.PL,D,20080721,000000,1708,1708,1699,1699,13,0
INVGLDFIZ.PL,D,20080722,000000,1671.05,1671.05,1671.05,1671.05,1,0
INVGLDFIZ.PL,D,20080723,000000,1678,1678,1652,1665,29,0
INVGLDFIZ.PL,D,20080724,000000,1660,1660,1660,1660,2,0
INVGLDFIZ.PL,D,20080725,000000,1679,1679,1650,1650,2,0
INVGLDFIZ.PL,D,20080728,000000,1679,1690,1640,1650,14,0
INVGLDFIZ.PL,D,20080729,000000,1650,1650,1650,1650,1,0
INVGLDFIZ.PL,D,20080730,000000,1635,1635,1601,1601,25,0
INVGLDFIZ.PL,D,20080731,000000,1643.99,1643.99,1643.99,1643.99,10,0
INVGLDFIZ.PL,D,20080801,000000,1643.99,1643.99,1643.99,1643.99,2,0
INVGLDFIZ.PL,D,20080804,000000,1599.99,1599.99,1580,1580,5,0
INVGLDFIZ.PL,D,20080805,000000,1570,1570,1520,1520,38,0
INVGLDFIZ.PL,D,20080806,000000,1501,1501,1490,1490,7,0
INVGLDFIZ.PL,D,20080807,000000,1596.99,1596.99,1540,1540,9,0
INVGLDFIZ.PL,D,20080808,000000,1510,1520,1491,1491,20,0
INVGLDFIZ.PL,D,20080811,000000,1501,1501,1500,1500,3,0
INVGLDFIZ.PL,D,20080812,000000,1489,1489,1450,1460,51,0
INVGLDFIZ.PL,D,20080813,000000,1460.01,1460.01,1460,1460,5,0
INVGLDFIZ.PL,D,20080814,000000,1450,1460,1440.01,1440.01,24,0
INVGLDFIZ.PL,D,20080818,000000,1360,1400,1310,1310,25,0
INVGLDFIZ.PL,D,20080819,000000,1317,1343,1300,1320,35,0
INVGLDFIZ.PL,D,20080820,000000,1418,1418,1350,1350,3,0
INVGLDFIZ.PL,D,20080821,000000,1345,1360,1345,1360,8,0
INVGLDFIZ.PL,D,20080822,000000,1350,1352.99,1335,1352.99,8,0
INVGLDFIZ.PL,D,20080825,000000,1349.99,1356,1349.99,1355,11,0
INVGLDFIZ.PL,D,20080826,000000,1359,1360,1335,1335,9,0
INVGLDFIZ.PL,D,20080827,000000,1360,1366,1354.55,1366,9,0
INVGLDFIZ.PL,D,20080828,000000,1369.15,1379.98,1368.15,1368.15,4,0
INVGLDFIZ.PL,D,20080901,000000,1380,1390,1380,1390,50,0
INVGLDFIZ.PL,D,20080902,000000,1371,1372.5,1316,1316,5,0
INVGLDFIZ.PL,D,20080903,000000,1317.03,1317.03,1317,1317,6,0
INVGLDFIZ.PL,D,20080904,000000,1346.15,1350,1346.15,1350,2,0
INVGLDFIZ.PL,D,20080905,000000,1352,1352,1352,1352,1,0
INVGLDFIZ.PL,D,20080909,000000,1371.15,1399,1370,1371,10,0
INVGLDFIZ.PL,D,20080910,000000,1350,1350,1339,1349,30,0
INVGLDFIZ.PL,D,20080911,000000,1331,1350,1320,1350,23,0
INVGLDFIZ.PL,D,20080912,000000,1379,1379,1350,1350,9,0
INVGLDFIZ.PL,D,20080916,000000,1389,1389,1350,1350,6,0
INVGLDFIZ.PL,D,20080917,000000,1370,1389,1355,1389,16,0
INVGLDFIZ.PL,D,20080918,000000,1431,1550,1431,1507,50,0
INVGLDFIZ.PL,D,20080919,000000,1480,1550,1425,1425,45,0
INVGLDFIZ.PL,D,20080922,000000,1410.01,1410.01,1410.01,1410.01,1,0
INVGLDFIZ.PL,D,20080923,000000,1529,1529,1499,1500,17,0
INVGLDFIZ.PL,D,20080925,000000,1500,1500,1500,1500,3,0
INVGLDFIZ.PL,D,20080926,000000,1500,1530,1500,1530,3,0
INVGLDFIZ.PL,D,20080929,000000,1520,1520,1520,1520,1,0
INVGLDFIZ.PL,D,20080930,000000,1540,1540,1440,1520,9,0
INVGLDFIZ.PL,D,20081001,000000,1510,1530,1510,1530,6,0
INVGLDFIZ.PL,D,20081002,000000,1460,1460,1460,1460,3,0
INVGLDFIZ.PL,D,20081003,000000,1477,1490,1477,1490,7,0
INVGLDFIZ.PL,D,20081006,000000,1440,1480,1425,1480,23,0
INVGLDFIZ.PL,D,20081007,000000,1480,1480,1450,1450,13,0
INVGLDFIZ.PL,D,20081008,000000,1499,1499,1489,1489,11,0
INVGLDFIZ.PL,D,20081009,000000,1499,1499,1499,1499,3,0
INVGLDFIZ.PL,D,20081010,000000,1502.02,1515,1490,1490,50,0
INVGLDFIZ.PL,D,20081013,000000,1471,1490,1455,1470,10,0
INVGLDFIZ.PL,D,20081014,000000,1455,1470,1455,1470,3,0
INVGLDFIZ.PL,D,20081015,000000,1497,1497,1497,1497,1,0
INVGLDFIZ.PL,D,20081016,000000,1481,1481,1421,1421,13,0
INVGLDFIZ.PL,D,20081017,000000,1421,1421,1341,1341,59,0
INVGLDFIZ.PL,D,20081020,000000,1380,1380,1370,1370,3,0
INVGLDFIZ.PL,D,20081021,000000,1380,1380,1340,1370,27,0
INVGLDFIZ.PL,D,20081022,000000,1360,1360,1311.03,1315.01,13,0
INVGLDFIZ.PL,D,20081023,000000,1325.01,1326,1275,1290,54,0
INVGLDFIZ.PL,D,20081024,000000,1298,1298,1201,1210.01,31,0
INVGLDFIZ.PL,D,20081027,000000,1220,1220,1189,1220,31,0
INVGLDFIZ.PL,D,20081028,000000,1210,1231,1210,1212,17,0
INVGLDFIZ.PL,D,20081029,000000,1220,1220,1201.01,1210,7,0
INVGLDFIZ.PL,D,20081030,000000,1260,1260,1260,1260,3,0
INVGLDFIZ.PL,D,20081031,000000,1220,1240,1220,1240,14,0
INVGLDFIZ.PL,D,20081104,000000,1119,1160,1118.98,1119.01,13,0
INVGLDFIZ.PL,D,20081105,000000,1121,1130,1121,1130,2,0
INVGLDFIZ.PL,D,20081107,000000,1170.5,1170.5,1170.5,1170.5,1,0
INVGLDFIZ.PL,D,20081110,000000,1169,1200,1169,1200,54,0
INVGLDFIZ.PL,D,20081112,000000,1190,1190,1189,1190,15,0
INVGLDFIZ.PL,D,20081114,000000,1155,1155,1145,1145,5,0
INVGLDFIZ.PL,D,20081117,000000,1136,1136,1130,1135,20,0
INVGLDFIZ.PL,D,20081118,000000,1137,1137,1136,1136,21,0
INVGLDFIZ.PL,D,20081119,000000,1121,1149,1121,1149,11,0
INVGLDFIZ.PL,D,20081120,000000,1125,1150,1125,1130,84,0
INVGLDFIZ.PL,D,20081121,000000,1145,1150,1145,1150,8,0
