<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LMESFIZ.PL,D,20140512,000000,1472.95,1472.95,1472.95,1472.95,450,0
LMESFIZ.PL,D,20160329,000000,1120,1120,1120,1120,13,0
LMESFIZ.PL,D,20160330,000000,1120,1120,1120,1120,14,0
LMESFIZ.PL,D,20160412,000000,1159.9,1159.9,1159.9,1159.9,2,0
LMESFIZ.PL,D,20160419,000000,1122.1,1150.5,1122.1,1150.5,22,0
LMESFIZ.PL,D,20160421,000000,1150.51,1150.51,1150.51,1150.51,10,0
LMESFIZ.PL,D,20160425,000000,1179.9,1189,1179.9,1189,3,0
LMESFIZ.PL,D,20160718,000000,1299,1299,1299,1299,2,0
LMESFIZ.PL,D,20160728,000000,1299.9,1299.9,1299.9,1299.9,10,0
LMESFIZ.PL,D,20160803,000000,1281.55,1281.55,1281.55,1281.55,30,0
LMESFIZ.PL,D,20160913,000000,1290,1290,1290,1290,1,0
LMESFIZ.PL,D,20160914,000000,1289,1289,1289,1289,1,0
LMESFIZ.PL,D,20160927,000000,1261.1,1261.1,1261.1,1261.1,1,0
LMESFIZ.PL,D,20161129,000000,1270,1279.9,1270,1279.9,2,0
LMESFIZ.PL,D,20170202,000000,1311.1,1311.1,1291.21,1291.21,20,0
LMESFIZ.PL,D,20170220,000000,1301.1,1301.1,1290,1290,40,0
LMESFIZ.PL,D,20170227,000000,1349.9,1349.9,1349.9,1349.9,4,0
LMESFIZ.PL,D,20170303,000000,1339.9,1339.91,1339.9,1339.91,4,0
LMESFIZ.PL,D,20170307,000000,1339.9,1339.9,1339.9,1339.9,2,0
LMESFIZ.PL,D,20170309,000000,1339.9,1339.9,1339.9,1339.9,4,0
LMESFIZ.PL,D,20170310,000000,1359.9,1359.9,1359.9,1359.9,1,0
LMESFIZ.PL,D,20170313,000000,1349.9,1349.9,1349.9,1349.9,1,0
LMESFIZ.PL,D,20170316,000000,1319.1,1319.1,1319.1,1319.1,34,0
LMESFIZ.PL,D,20170317,000000,1350,1350,1350,1350,20,0
LMESFIZ.PL,D,20170419,000000,1331.3,1331.3,1331.3,1331.3,10,0
LMESFIZ.PL,D,20170428,000000,1339.05,1339.05,1339.05,1339.05,45,0
LMESFIZ.PL,D,20170502,000000,1369.9,1369.9,1369.9,1369.9,1,0
LMESFIZ.PL,D,20170710,000000,1409.9,1409.9,1409.9,1409.9,1,0
LMESFIZ.PL,D,20170919,000000,1350,1350,1350,1350,1,0
LMESFIZ.PL,D,20170928,000000,1301.1,1301.1,1300.2,1300.2,9,0
LMESFIZ.PL,D,20171010,000000,1281.15,1281.15,1281.15,1281.15,36,0
LMESFIZ.PL,D,20171219,000000,1211.1,1259.9,1211.1,1259.9,8,0
LMESFIZ.PL,D,20171229,000000,1201.1,1201.1,1200,1200,10,0
LMESFIZ.PL,D,20180104,000000,1249.9,1249.9,1249.9,1249.9,2,0
LMESFIZ.PL,D,20180109,000000,1259.9,1259.9,1259.9,1259.9,6,0
LMESFIZ.PL,D,20180110,000000,1259.9,1259.9,1259.9,1259.9,3,0
LMESFIZ.PL,D,20180115,000000,1270,1270,1267.02,1267.02,10,0
LMESFIZ.PL,D,20180118,000000,1231.1,1231.1,1231.1,1231.1,16,0
LMESFIZ.PL,D,20180122,000000,1256,1256,1256,1256,1,0
LMESFIZ.PL,D,20180129,000000,1261.1,1261.1,1261.1,1261.1,10,0
LMESFIZ.PL,D,20180205,000000,1273.89,1273.89,1273.89,1273.89,2,0
LMESFIZ.PL,D,20190430,000000,1000,1000,1000,1000,10,0
LMESFIZ.PL,D,20190524,000000,991.3,991.3,991.3,991.3,10,0
LMESFIZ.PL,D,20190712,000000,1035.1,1035.1,1035.1,1035.1,1,0
LMESFIZ.PL,D,20191106,000000,1018.1,1018.1,1018.1,1018.1,10,0
LMESFIZ.PL,D,20191211,000000,1022.1,1022.1,1022.1,1022.1,3,0
LMESFIZ.PL,D,20200204,000000,1225.20,1225.20,1225.20,1225.20,20,0
LMESFIZ.PL,D,20200810,000000,1225.00,1225.00,1225.00,1225.00,7,0
LMESFIZ.PL,D,20201030,000000,1015.00,1015.00,1015.00,1015.00,10,0
LMESFIZ.PL,D,20201102,000000,1049.90,1057.00,1049.90,1057.00,5,0
LMESFIZ.PL,D,20201105,000000,1063.20,1063.20,1063.20,1063.20,5,0
LMESFIZ.PL,D,20201109,000000,1071.10,1162.90,1063.20,1159.00,18,0
LMESFIZ.PL,D,20201116,000000,1177.90,1177.90,1177.90,1177.90,2,0
LMESFIZ.PL,D,20201202,000000,1150.50,1151.10,1143.00,1143.00,18,0
LMESFIZ.PL,D,20201203,000000,1147.20,1147.20,1147.20,1147.20,6,0
LMESFIZ.PL,D,20201207,000000,1216.90,1216.90,1216.90,1216.90,2,0
LMESFIZ.PL,D,20201209,000000,1249.80,1249.80,1249.80,1249.80,6,0
LMESFIZ.PL,D,20201215,000000,1191.20,1191.20,1191.20,1191.20,12,0
LMESFIZ.PL,D,20201217,000000,1249.99,1299.88,1249.99,1299.88,12,0
LMESFIZ.PL,D,20210301,000000,1271.20,1271.20,1271.20,1271.20,12,0
LMESFIZ.PL,D,20210317,000000,1359.00,1359.00,1359.00,1359.00,1,0
LMESFIZ.PL,D,20210319,000000,1425.30,1425.30,1425.30,1425.30,11,0
LMESFIZ.PL,D,20210331,000000,1366.10,1366.10,1366.10,1366.10,10,0
LMESFIZ.PL,D,20210407,000000,1445.10,1445.10,1445.10,1445.10,10,0
LMESFIZ.PL,D,20210416,000000,1452.00,1452.00,1452.00,1452.00,5,0
LMESFIZ.PL,D,20210419,000000,1445.11,1445.11,1445.11,1445.11,12,0
LMESFIZ.PL,D,20210421,000000,1446.10,1446.10,1446.10,1446.10,3,0
LMESFIZ.PL,D,20210506,000000,1455.50,1455.50,1455.01,1455.01,8,0
LMESFIZ.PL,D,20210726,000000,1548.40,1548.40,1548.40,1548.40,12,0
LMESFIZ.PL,D,20210727,000000,1548.00,1548.00,1548.00,1548.00,13,0
LMESFIZ.PL,D,20211122,000000,1533.00,1533.00,1533.00,1533.00,24,0
LMESFIZ.PL,D,20211126,000000,1514.10,1514.10,1514.10,1514.10,14,0
LMESFIZ.PL,D,20220823,000000,1105.1,1113.1,1105.1,1113,13,0
