<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCDIEAOPEN.PL,D,20110829,000000,18.85,18.85,18.85,18.85,1754,0
RCDIEAOPEN.PL,D,20110905,000000,18.69,18.69,18.69,18.69,1754,0
RCDIEAOPEN.PL,D,20130227,000000,22.18,22.18,22.18,22.18,22,0
RCDIEAOPEN.PL,D,20130419,000000,18.75,18.75,18.75,18.75,22,0
RCDIEAOPEN.PL,D,20141113,000000,18.32,18.32,18.2,18.2,2328,0
RCDIEAOPEN.PL,D,20141210,000000,15.15,15.15,15.15,15.15,1,0
RCDIEAOPEN.PL,D,20150206,000000,14.94,14.94,14.94,14.94,6,0
RCDIEAOPEN.PL,D,20160606,000000,10.66,10.66,10.66,10.66,1,0
RCDIEAOPEN.PL,D,20170112,000000,12.14,12.14,12.14,12.14,85,0
RCDIEAOPEN.PL,D,20170309,000000,11.25,11.25,11.25,11.25,85,0
RCDIEAOPEN.PL,D,20200320,000000,8.40,8.40,8.40,8.40,6,0
RCDIEAOPEN.PL,D,20200417,000000,7.50,7.50,7.50,7.50,2500,0
RCDIEAOPEN.PL,D,20200422,000000,6.39,6.39,6.26,6.26,1924,0
RCDIEAOPEN.PL,D,20200423,000000,6.37,6.37,6.37,6.37,324,0
RCDIEAOPEN.PL,D,20200428,000000,5.56,5.56,5.56,5.56,85,0
RCDIEAOPEN.PL,D,20200707,000000,8.48,8.48,8.48,8.48,85,0
RCDIEAOPEN.PL,D,20201217,000000,8.51,8.51,8.51,8.51,324,0
RCDIEAOPEN.PL,D,20210615,000000,11.90,11.90,11.90,11.90,2400,0
RCDIEAOPEN.PL,D,20210616,000000,11.98,11.98,11.98,11.98,2428,0
