<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL2GOLD.PL,D,20120914,000000,110.57,110.57,110.57,110.57,1,0
RCFL2GOLD.PL,D,20120918,000000,113.5,113.5,113.5,113.5,5,0
RCFL2GOLD.PL,D,20121003,000000,117.14,117.15,117.14,117.15,1273,0
RCFL2GOLD.PL,D,20121012,000000,115,115,115,115,1296,0
RCFL2GOLD.PL,D,20121102,000000,109,109,108.5,108.5,5,0
RCFL2GOLD.PL,D,20121105,000000,105.36,105.36,105.36,105.36,5,0
RCFL2GOLD.PL,D,20121113,000000,115,115,115,115,5,0
RCFL2GOLD.PL,D,20121128,000000,108,108,108,108,5,0
RCFL2GOLD.PL,D,20121220,000000,99,99,99,99,10,0
RCFL2GOLD.PL,D,20130102,000000,101.82,101.82,101.59,101.59,160,0
RCFL2GOLD.PL,D,20130128,000000,99.35,99.35,99.35,99.35,30,0
RCFL2GOLD.PL,D,20130201,000000,99.12,99.12,99.12,99.12,31,0
RCFL2GOLD.PL,D,20130206,000000,99.79,99.79,99.79,99.79,34,0
RCFL2GOLD.PL,D,20130220,000000,90.92,90.92,90.8,90.8,1273,0
RCFL2GOLD.PL,D,20130221,000000,89,90,89,90,1306,0
RCFL2GOLD.PL,D,20130422,000000,72.99,72.99,72.85,72.85,30,0
RCFL2GOLD.PL,D,20130730,000000,63.25,63.25,63.25,63.25,1000,0
RCFL2GOLD.PL,D,20130731,000000,64.04,64.04,64.04,64.04,1000,0
RCFL2GOLD.PL,D,20130802,000000,62.94,62.94,62.94,62.94,20,0
RCFL2GOLD.PL,D,20130813,000000,63.13,63.13,62.99,62.99,26,0
RCFL2GOLD.PL,D,20130828,000000,72.67,73.21,72.67,73.21,370,0
RCFL2GOLD.PL,D,20131001,000000,59.3,59.3,58.68,58.68,700,0
RCFL2GOLD.PL,D,20131018,000000,59.52,59.52,59.52,59.52,210,0
RCFL2GOLD.PL,D,20131021,000000,59.52,59.52,59.52,59.52,490,0
RCFL2GOLD.PL,D,20131120,000000,56.43,56.43,56.43,56.43,1,0
RCFL2GOLD.PL,D,20131129,000000,53.83,53.83,53.83,53.83,350,0
RCFL2GOLD.PL,D,20131206,000000,52.43,52.43,52.43,52.43,5,0
RCFL2GOLD.PL,D,20140131,000000,54.68,54.68,54.68,54.68,5,0
RCFL2GOLD.PL,D,20140221,000000,59.49,59.75,59.49,59.75,85,0
RCFL2GOLD.PL,D,20140303,000000,61.83,61.83,61.83,61.83,15,0
RCFL2GOLD.PL,D,20140304,000000,61.16,61.16,61.16,61.16,25,0
RCFL2GOLD.PL,D,20140311,000000,61.47,61.47,61.47,61.47,75,0
RCFL2GOLD.PL,D,20140402,000000,56.87,56.87,56.87,56.87,300,0
RCFL2GOLD.PL,D,20140530,000000,53.85,53.85,53.85,53.85,200,0
RCFL2GOLD.PL,D,20140605,000000,52.26,52.26,52.26,52.26,1,0
RCFL2GOLD.PL,D,20140620,000000,58.68,58.68,58.68,58.68,500,0
RCFL2GOLD.PL,D,20140808,000000,60.97,60.97,60.97,60.97,20,0
RCFL2GOLD.PL,D,20140813,000000,60.1,60.1,60.1,60.1,500,0
RCFL2GOLD.PL,D,20140814,000000,60.1,60.1,60.1,60.1,20,0
RCFL2GOLD.PL,D,20140821,000000,57.09,57.09,57.09,57.09,250,0
RCFL2GOLD.PL,D,20140822,000000,57.55,57.55,57.55,57.55,300,0
RCFL2GOLD.PL,D,20140828,000000,59.27,59.27,59.27,59.27,250,0
RCFL2GOLD.PL,D,20140903,000000,57.29,57.29,57.29,57.29,300,0
RCFL2GOLD.PL,D,20140904,000000,57.14,58.17,57.14,58.17,570,0
RCFL2GOLD.PL,D,20141001,000000,54.47,54.47,54.47,54.47,200,0
RCFL2GOLD.PL,D,20141103,000000,51.5,51.5,51.5,51.5,30,0
RCFL2GOLD.PL,D,20150116,000000,65.12,65.12,65.12,65.12,500,0
RCFL2GOLD.PL,D,20150121,000000,69.15,69.15,68.88,68.88,30,0
RCFL2GOLD.PL,D,20150128,000000,67.15,67.15,67.15,67.15,300,0
RCFL2GOLD.PL,D,20150204,000000,63.6,63.6,63.6,63.6,20,0
RCFL2GOLD.PL,D,20150212,000000,61,61,60.37,60.37,57,0
RCFL2GOLD.PL,D,20150219,000000,58.71,58.71,58.71,58.71,200,0
RCFL2GOLD.PL,D,20150302,000000,59.2,59.2,59.2,59.2,30,0
RCFL2GOLD.PL,D,20150305,000000,58.8,58.8,58.76,58.76,181,0
RCFL2GOLD.PL,D,20150306,000000,58.6,58.6,56.51,57.24,280,0
RCFL2GOLD.PL,D,20150311,000000,56.87,56.87,56.87,56.87,100,0
RCFL2GOLD.PL,D,20150318,000000,56.15,56.15,56.15,56.15,100,0
RCFL2GOLD.PL,D,20150320,000000,57.7,57.7,57.7,57.7,80,0
RCFL2GOLD.PL,D,20150327,000000,58.25,58.25,58.25,58.25,35,0
RCFL2GOLD.PL,D,20150330,000000,57.5,57.5,57.5,57.5,25,0
RCFL2GOLD.PL,D,20150430,000000,56.57,56.57,56.56,56.56,950,0
RCFL2GOLD.PL,D,20150508,000000,54.97,54.97,54.97,54.97,50,0
RCFL2GOLD.PL,D,20150525,000000,57.88,57.88,57.88,57.88,33,0
RCFL2GOLD.PL,D,20150618,000000,54.85,54.85,54.82,54.82,250,0
RCFL2GOLD.PL,D,20150629,000000,55.36,55.36,55.36,55.36,50,0
RCFL2GOLD.PL,D,20150709,000000,54.6,54.6,54.6,54.6,10,0
RCFL2GOLD.PL,D,20150714,000000,53.11,53.11,53.11,53.11,140,0
RCFL2GOLD.PL,D,20150716,000000,52.29,52.32,52.29,52.32,200,0
RCFL2GOLD.PL,D,20150717,000000,52.05,52.05,52.05,52.05,21,0
RCFL2GOLD.PL,D,20150720,000000,49.44,49.44,49.44,49.44,14,0
RCFL2GOLD.PL,D,20150722,000000,47.65,47.65,47.65,47.65,20,0
RCFL2GOLD.PL,D,20150724,000000,46.37,46.37,46.37,46.37,50,0
RCFL2GOLD.PL,D,20150730,000000,46.85,46.93,46.85,46.93,100,0
