<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL2OIL.PL,D,20120913,000000,107.44,107.44,107.44,107.44,10,0
RCFL2OIL.PL,D,20120914,000000,105.73,105.73,105.73,105.73,10,0
RCFL2OIL.PL,D,20121115,000000,98,98,98,98,5,0
RCFL2OIL.PL,D,20130205,000000,110,110,110,110,5,0
RCFL2OIL.PL,D,20130828,000000,120.2,120.23,120.2,120.23,220,0
RCFL2OIL.PL,D,20131126,000000,112,112,112,112,220,0
RCFL2OIL.PL,D,20140624,000000,123.8,123.8,123.8,123.8,5,0
RCFL2OIL.PL,D,20140625,000000,123.75,123.75,123.75,123.75,5,0
RCFL2OIL.PL,D,20140626,000000,123.7,123.7,123.7,123.7,3,0
RCFL2OIL.PL,D,20140915,000000,94.73,94.73,94.73,94.73,13,0
RCFL2OIL.PL,D,20141114,000000,60.25,60.25,60.25,60.25,2,0
RCFL2OIL.PL,D,20141223,000000,37.45,37.5,36.82,37,757,0
RCFL2OIL.PL,D,20141230,000000,32.8,32.8,32.8,32.8,100,0
RCFL2OIL.PL,D,20150102,000000,32.09,32.87,32.09,32.87,100,0
RCFL2OIL.PL,D,20150105,000000,32.28,32.28,30.47,30.5,116,0
RCFL2OIL.PL,D,20150107,000000,26.43,27.5,26.3,27.5,170,0
RCFL2OIL.PL,D,20150108,000000,27.44,27.44,27.44,27.44,8,0
RCFL2OIL.PL,D,20150113,000000,22.31,22.31,22.31,22.31,60,0
RCFL2OIL.PL,D,20150114,000000,22.31,22.77,22.31,22.77,95,0
RCFL2OIL.PL,D,20150115,000000,23.87,25.83,23.84,25.83,500,0
RCFL2OIL.PL,D,20150116,000000,24.18,24.18,24.18,24.18,40,0
RCFL2OIL.PL,D,20150119,000000,25.34,25.34,25.34,25.34,60,0
RCFL2OIL.PL,D,20150120,000000,24.3,24.3,23.57,23.57,455,0
RCFL2OIL.PL,D,20150122,000000,24.41,24.41,24.41,24.41,2,0
RCFL2OIL.PL,D,20150123,000000,25.52,25.52,25.49,25.49,77,0
RCFL2OIL.PL,D,20150126,000000,24.26,24.26,24,24.1,798,0
RCFL2OIL.PL,D,20150128,000000,24.78,24.78,24.63,24.63,63,0
RCFL2OIL.PL,D,20150129,000000,24.38,24.38,24.35,24.35,42,0
RCFL2OIL.PL,D,20150202,000000,27.47,29.6,27.47,28.51,794,0
RCFL2OIL.PL,D,20150203,000000,32,32,31.57,31.57,13,0
RCFL2OIL.PL,D,20150204,000000,32.5,32.5,31.21,31.21,200,0
RCFL2OIL.PL,D,20150205,000000,28.26,30,28.26,30,150,0
RCFL2OIL.PL,D,20150206,000000,31.74,32.2,31.74,32.2,125,0
RCFL2OIL.PL,D,20150209,000000,32.33,33.77,32.33,33.77,261,0
RCFL2OIL.PL,D,20150210,000000,32.81,33.66,32.7,32.73,1503,0
RCFL2OIL.PL,D,20150211,000000,31.93,31.93,31.93,31.93,1,0
RCFL2OIL.PL,D,20150213,000000,34.21,34.25,34.21,34.25,495,0
