<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL2OIL3.PL,D,20190111,000000,6.05,6.05,6.05,6.05,110,0
RCFL2OIL3.PL,D,20190115,000000,5.6,5.6,5.6,5.6,110,0
RCFL2OIL3.PL,D,20190218,000000,7.13,7.13,7.13,7.13,200,0
RCFL2OIL3.PL,D,20190227,000000,6.88,6.88,6.88,6.88,100,0
RCFL2OIL3.PL,D,20190409,000000,8.02,8.02,8.02,8.02,300,0
RCFL2OIL3.PL,D,20190903,000000,5.84,5.84,5.84,5.84,1500,0
RCFL2OIL3.PL,D,20190904,000000,5.95,5.95,5.89,5.89,1500,0
RCFL2OIL3.PL,D,20190912,000000,6.45,6.45,6.45,6.45,77,0
RCFL2OIL3.PL,D,20190916,000000,7.6,7.6,7.6,7.6,100,0
RCFL2OIL3.PL,D,20190917,000000,8.05,8.05,8.05,8.05,2,0
RCFL2OIL3.PL,D,20190923,000000,7.12,7.12,7.12,7.12,2,0
RCFL2OIL3.PL,D,20191001,000000,6.26,6.26,6.26,6.26,77,0
RCFL2OIL3.PL,D,20191212,000000,7.41,7.41,7.41,7.41,134,0
RCFL2OIL3.PL,D,20191218,000000,7.5,7.5,7.5,7.5,134,0
RCFL2OIL3.PL,D,20200109,000000,7.5,7.5,7.5,7.5,100,0
RCFL2OIL3.PL,D,20200226,000000,5.46,5.46,5.46,5.46,472,0
RCFL2OIL3.PL,D,20200309,000000,2.15,2.26,2.15,2.24,4412,0
RCFL2OIL3.PL,D,20200310,000000,2.14,2.22,2.14,2.22,11396,0
RCFL2OIL3.PL,D,20200311,000000,2.19,2.19,2.14,2.14,2472,0
RCFL2OIL3.PL,D,20200316,000000,1.7,1.7,1.57,1.62,8700,0
RCFL2OIL3.PL,D,20200317,000000,1.53,1.53,1.48,1.48,4000,0
RCFL2OIL3.PL,D,20200318,000000,1.41,1.41,1.25,1.25,5500,0
RCFL2OIL3.PL,D,20200319,000000,1.21,1.3,1.15,1.3,39097,0
RCFL2OIL3.PL,D,20200320,000000,1.55,1.56,1.28,1.28,19426,0
RCFL2OIL3.PL,D,20200323,000000,1.16,1.17,1.14,1.16,73685,0
RCFL2OIL3.PL,D,20200324,000000,1.36,1.4,1.35,1.35,31355,0
RCFL2OIL3.PL,D,20200325,000000,1.3,1.3,1.3,1.3,58083,0
RCFL2OIL3.PL,D,20200326,000000,1.22,1.22,1.22,1.22,5000,0
RCFL2OIL3.PL,D,20200327,000000,1.17,1.17,1.1,1.1,9000,0
RCFL2OIL3.PL,D,20200330,000000,0.99,1.02,0.96,0.96,14080,0
RCFL2OIL3.PL,D,20200331,000000,1.07,1.07,1.02,1.02,10699,0
RCFL2OIL3.PL,D,20200401,000000,0.94,0.94,0.92,0.92,2400,0
RCFL2OIL3.PL,D,20200402,000000,1.02,1.08,1.02,1.08,1780,0
RCFL2OIL3.PL,D,20200403,000000,1.28,1.52,1.28,1.52,7100,0
RCFL2OIL3.PL,D,20200406,000000,1.45,1.45,1.45,1.45,100,0
RCFL2OIL3.PL,D,20200407,000000,1.51,1.51,1.51,1.51,15262,0
RCFL2OIL3.PL,D,20200408,000000,1.4,1.4,1.4,1.4,10000,0
RCFL2OIL3.PL,D,20200409,000000,1.56,1.7,1.56,1.7,7826,0
RCFL2OIL3.PL,D,20200414,000000,1.39,1.39,1.37,1.37,2436,0
RCFL2OIL3.PL,D,20200415,000000,1.16,1.16,1.03,1.03,14800,0
RCFL2OIL3.PL,D,20200416,000000,1.1,1.13,1.1,1.12,27500,0
RCFL2OIL3.PL,D,20200417,000000,1.02,1.1,1.02,1.06,7281,0
RCFL2OIL3.PL,D,20200420,000000,1.03,1.03,0.93,0.93,14942,0
RCFL2OIL3.PL,D,20200421,000000,0.79,0.79,0.52,0.53,86107,0
RCFL2OIL3.PL,D,20200422,000000,0.42,0.42,0.42,0.42,2912,0
RCFL2OIL3.PL,D,20200505,000000,0.74,0.74,0.74,0.74,1000,0
RCFL2OIL3.PL,D,20200506,000000,0.9,0.9,0.88,0.88,4500,0
RCFL2OIL3.PL,D,20200507,000000,0.79,0.79,0.79,0.79,1000,0
RCFL2OIL3.PL,D,20200518,000000,0.98,1.04,0.97,1.04,6980,0
RCFL2OIL3.PL,D,20200519,000000,1.04,1.04,1.04,1.04,720,0
RCFL2OIL3.PL,D,20200521,000000,1.05,1.05,1.05,1.05,10000,0
RCFL2OIL3.PL,D,20200525,000000,0.97,0.97,0.97,0.97,26016,0
RCFL2OIL3.PL,D,20200529,000000,0.92,0.92,0.92,0.92,5,0
RCFL2OIL3.PL,D,20200603,000000,1.15,1.15,1.14,1.14,41000,0
RCFL2OIL3.PL,D,20200604,000000,1.1,1.12,1.1,1.12,3026,0
RCFL2OIL3.PL,D,20200616,000000,1.18,1.18,1.18,1.18,200,0
RCFL2OIL3.PL,D,20200708,000000,1.31,1.31,1.31,1.31,166,0
RCFL2OIL3.PL,D,20200710,000000,1.21,1.21,1.2,1.2,1863,0
RCFL2OIL3.PL,D,20200715,000000,1.27,1.27,1.27,1.27,1846,0
RCFL2OIL3.PL,D,20200720,000000,1.27,1.27,1.27,1.27,700,0
RCFL2OIL3.PL,D,20200723,000000,1.49,1.49,1.49,1.49,30,0
RCFL2OIL3.PL,D,20200727,000000,1.25,1.25,1.25,1.25,50,0
RCFL2OIL3.PL,D,20200728,000000,1.26,1.26,1.26,1.26,5000,0
RCFL2OIL3.PL,D,20200731,000000,1.22,1.22,1.22,1.22,10000,0
RCFL2OIL3.PL,D,20200803,000000,1.21,1.26,1.21,1.26,14000,0
