<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL2SILVE2.PL,D,20190906,000000,14.44,14.44,14.44,14.44,91,0
RCFL2SILVE2.PL,D,20190930,000000,13.47,13.47,13.47,13.47,109,0
RCFL2SILVE2.PL,D,20200317,000000,6.33,6.33,6.33,6.33,100,0
RCFL2SILVE2.PL,D,20200320,000000,7.12,7.12,6.78,6.85,710,0
RCFL2SILVE2.PL,D,20200324,000000,8.65,8.65,8.65,8.65,100,0
RCFL2SILVE2.PL,D,20200325,000000,8.85,8.85,8.85,8.85,510,0
RCFL2SILVE2.PL,D,20200326,000000,9.27,9.34,9.03,9.03,6000,0
RCFL2SILVE2.PL,D,20200327,000000,8.98,8.98,8.72,8.72,2000,0
RCFL2SILVE2.PL,D,20200330,000000,8.32,8.35,8.32,8.32,3000,0
RCFL2SILVE2.PL,D,20200331,000000,8.55,8.55,8.3,8.44,15144,0
RCFL2SILVE2.PL,D,20200407,000000,10.21,10.21,10.21,10.21,100,0
RCFL2SILVE2.PL,D,20200408,000000,9.8,9.8,9.66,9.66,1094,0
RCFL2SILVE2.PL,D,20200409,000000,10.02,10.35,9.99,10.35,5000,0
RCFL2SILVE2.PL,D,20200414,000000,10.5,10.5,10.5,10.5,500,0
RCFL2SILVE2.PL,D,20200415,000000,9.98,10.31,9.98,10.07,4850,0
RCFL2SILVE2.PL,D,20200420,000000,9.63,9.63,9.6,9.6,6000,0
RCFL2SILVE2.PL,D,20200421,000000,9.7,9.7,9.52,9.52,10200,0
RCFL2SILVE2.PL,D,20200504,000000,9.19,9.23,9.19,9.23,10000,0
RCFL2SILVE2.PL,D,20200505,000000,8.78,8.86,8.78,8.86,10000,0
RCFL2SILVE2.PL,D,20200513,000000,10.04,10.13,10.04,10.13,7500,0
RCFL2SILVE2.PL,D,20200514,000000,10.02,10.16,10.02,10.16,7550,0
RCFL2SILVE2.PL,D,20200518,000000,12.65,12.8,12.15,12.15,7950,0
RCFL2SILVE2.PL,D,20200519,000000,12.05,12.18,12.05,12.18,2800,0
RCFL2SILVE2.PL,D,20200521,000000,12.29,12.29,12.29,12.29,5000,0
RCFL2SILVE2.PL,D,20200601,000000,13.06,13.06,13.06,13.06,100,0
RCFL2SILVE2.PL,D,20200608,000000,11.92,12,11.82,11.82,10000,0
RCFL2SILVE2.PL,D,20200609,000000,11.98,11.98,11.98,11.98,2500,0
RCFL2SILVE2.PL,D,20200612,000000,11.68,11.9,11.68,11.9,10000,0
RCFL2SILVE2.PL,D,20200615,000000,11.06,11.06,10.92,10.92,7500,0
RCFL2SILVE2.PL,D,20200616,000000,11.56,11.56,11.56,11.56,5000,0
RCFL2SILVE2.PL,D,20200619,000000,12,12,12,12,2500,0
