<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3BAYG2.PL,D,20210617,000000,15.16,15.34,15.16,15.34,40,0
RCFL3BAYG2.PL,D,20210902,000000,10.24,10.24,10.24,10.24,20,0
RCFL3BAYG2.PL,D,20211006,000000,9.23,9.23,9.23,9.23,13,0
RCFL3BAYG2.PL,D,20211028,000000,10.98,10.98,10.98,10.98,17,0
RCFL3BAYG2.PL,D,20211103,000000,11.66,11.66,11.66,11.66,15,0
RCFL3BAYG2.PL,D,20211207,000000,8.75,8.75,8.75,8.75,30,0
RCFL3BAYG2.PL,D,20211216,000000,9.57,9.57,9.57,9.57,20,0
RCFL3BAYG2.PL,D,20211221,000000,8.92,8.99,8.92,8.99,210,0
RCFL3BAYG2.PL,D,20220215,000000,13.06,13.06,13.06,13.06,25,0
RCFL3BAYG2.PL,D,20220222,000000,12.54,12.54,12.54,12.54,25,0
RCFL3BAYG2.PL,D,20220407,000000,24.55,24.55,24.55,24.55,25,0
RCFL3BAYG2.PL,D,20220511,000000,15.08,15.08,15.08,15.08,25,0
RCFL3BAYG2.PL,D,20220519,000000,22.25,22.25,22.25,22.25,25,0
RCFL3BAYG2.PL,D,20220531,000000,25,25,25,25,15,0
RCFL3BAYG2.PL,D,20220610,000000,23.1,23.1,23.1,23.1,25,0
RCFL3BAYG2.PL,D,20220701,000000,15.12,15.12,15.12,15.12,30,0
