<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3CCC.PL,D,20171218,000000,259.7,259.7,259.7,259.7,8,0
RCFL3CCC.PL,D,20171220,000000,284.4,284.4,284.4,284.4,70,0
RCFL3CCC.PL,D,20171221,000000,291.5,291.5,291.5,291.5,15,0
RCFL3CCC.PL,D,20171227,000000,280.9,280.9,280.9,280.9,10,0
RCFL3CCC.PL,D,20171228,000000,291,291,291,291,10,0
RCFL3CCC.PL,D,20171229,000000,294.5,294.5,294.5,294.5,10,0
RCFL3CCC.PL,D,20180104,000000,311.3,311.3,311.3,311.3,25,0
RCFL3CCC.PL,D,20180105,000000,311.3,311.3,311.3,311.3,25,0
RCFL3CCC.PL,D,20180108,000000,348.8,348.8,344.6,344.6,7,0
RCFL3CCC.PL,D,20180109,000000,349.1,354.7,338.6,352.2,36,0
RCFL3CCC.PL,D,20180110,000000,340,340,340,340,2,0
RCFL3CCC.PL,D,20180111,000000,325.6,335.1,325.6,335.1,13,0
RCFL3CCC.PL,D,20180112,000000,325,325,325,325,8,0
RCFL3CCC.PL,D,20180116,000000,379.9,379.9,379.9,379.9,5,0
RCFL3CCC.PL,D,20180124,000000,313.9,313.9,295.8,295.8,47,0
RCFL3CCC.PL,D,20180125,000000,312.1,312.1,312.1,312.1,10,0
RCFL3CCC.PL,D,20180129,000000,296.6,296.6,296.6,296.6,1,0
RCFL3CCC.PL,D,20180130,000000,299.1,303.4,299.1,303.4,6,0
RCFL3CCC.PL,D,20180201,000000,291.6,291.6,291.6,291.6,5,0
RCFL3CCC.PL,D,20180206,000000,255.5,255.5,249.6,249.6,13,0
RCFL3CCC.PL,D,20180207,000000,241.4,241.4,241.4,241.4,10,0
RCFL3CCC.PL,D,20180208,000000,272.4,272.4,272.4,272.4,3,0
RCFL3CCC.PL,D,20180209,000000,250.7,250.7,250.7,250.7,3,0
RCFL3CCC.PL,D,20180212,000000,259.2,259.2,238.2,238.8,91,0
RCFL3CCC.PL,D,20180213,000000,232.8,232.8,223.7,223.7,91,0
RCFL3CCC.PL,D,20180215,000000,243.5,243.5,243.5,243.5,10,0
RCFL3CCC.PL,D,20180216,000000,233.9,233.9,233.9,233.9,10,0
