<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3FDX.PL,D,20171214,000000,195.5,195.5,195.5,195.5,10,0
RCFL3FDX.PL,D,20171218,000000,202.9,207.5,202.9,207.5,20,0
RCFL3FDX.PL,D,20171219,000000,206.7,207,206.7,207,18,0
RCFL3FDX.PL,D,20171220,000000,201.5,201.5,194,194,551,0
RCFL3FDX.PL,D,20171222,000000,196.7,196.7,196.7,196.7,8,0
RCFL3FDX.PL,D,20171229,000000,189.6,189.6,189.6,189.6,10,0
RCFL3FDX.PL,D,20180104,000000,195.3,195.3,195.3,195.3,10,0
RCFL3FDX.PL,D,20180105,000000,201.3,201.3,201.3,201.3,10,0
RCFL3FDX.PL,D,20180108,000000,206.5,206.5,206.5,206.5,13,0
RCFL3FDX.PL,D,20180109,000000,207.5,208.2,207.5,208.2,511,0
RCFL3FDX.PL,D,20180110,000000,204,204,204,204,250,0
RCFL3FDX.PL,D,20180111,000000,200.8,200.8,199.5,199.5,34,0
RCFL3FDX.PL,D,20180116,000000,202,204.5,202,204.5,275,0
RCFL3FDX.PL,D,20180117,000000,198.8,198.8,198.8,198.8,9,0
RCFL3FDX.PL,D,20180118,000000,202.1,202.1,202.1,202.1,100,0
RCFL3FDX.PL,D,20180119,000000,204.8,206.8,204.8,206.8,18,0
RCFL3FDX.PL,D,20180123,000000,216.5,216.5,216.5,216.5,9,0
RCFL3FDX.PL,D,20180125,000000,202.9,202.9,202.9,202.9,9,0
RCFL3FDX.PL,D,20180126,000000,202.9,202.9,202.9,202.9,10,0
RCFL3FDX.PL,D,20180130,000000,198.8,198.8,198.8,198.8,9,0
RCFL3FDX.PL,D,20180131,000000,199.3,199.3,197.7,197.7,220,0
RCFL3FDX.PL,D,20180201,000000,199,199,188.9,188.9,60,0
RCFL3FDX.PL,D,20180202,000000,186,186,181.6,181.6,500,0
RCFL3FDX.PL,D,20180206,000000,161,166.2,161,166.2,130,0
RCFL3FDX.PL,D,20180208,000000,168,168,164,164,273,0
RCFL3FDX.PL,D,20180209,000000,160.2,160.2,150.6,156,726,0
RCFL3FDX.PL,D,20180212,000000,159.5,161,159,159,46,0
RCFL3FDX.PL,D,20180214,000000,158.7,158.7,158.7,158.7,12,0
RCFL3FDX.PL,D,20180215,000000,162.9,162.9,162.9,162.9,190,0
RCFL3FDX.PL,D,20180216,000000,164.3,164.3,164.3,164.3,680,0
RCFL3FDX.PL,D,20180219,000000,162.8,162.8,162.8,162.8,11,0
RCFL3FDX.PL,D,20180220,000000,161.4,161.4,161.4,161.4,12,0
RCFL3FDX.PL,D,20180223,000000,164.7,164.7,164.7,164.7,100,0
RCFL3FDX.PL,D,20180302,000000,149.8,149.8,145.3,145.3,44,0
RCFL3FDX.PL,D,20180305,000000,147.3,147.3,147.3,147.3,7,0
RCFL3FDX.PL,D,20180306,000000,156,156,156,156,6,0
RCFL3FDX.PL,D,20180307,000000,151.8,151.8,151.8,151.8,70,0
RCFL3FDX.PL,D,20180308,000000,156,156.8,156,156.8,130,0
RCFL3FDX.PL,D,20180312,000000,163.6,163.6,163.6,163.6,120,0
RCFL3FDX.PL,D,20180320,000000,157.8,157.8,157.8,157.8,13,0
RCFL3FDX.PL,D,20180321,000000,160.2,160.2,160.2,160.2,80,0
RCFL3FDX.PL,D,20180322,000000,157.3,157.3,155.3,155.3,420,0
RCFL3FDX.PL,D,20180323,000000,143,143,143,143,450,0
RCFL3FDX.PL,D,20180410,000000,160.4,160.4,160.4,160.4,140,0
RCFL3FDX.PL,D,20180411,000000,158.5,159,155,157,1750,0
RCFL3FDX.PL,D,20180417,000000,164.5,164.5,164.5,164.5,4,0
RCFL3FDX.PL,D,20180423,000000,164,164,164,164,44,0
RCFL3FDX.PL,D,20180425,000000,163,163,163,163,44,0
RCFL3FDX.PL,D,20180427,000000,168.8,168.8,168.8,168.8,277,0
RCFL3FDX.PL,D,20180510,000000,187,187,187,187,88,0
RCFL3FDX.PL,D,20180517,000000,189.5,189.5,189.4,189.4,700,0
RCFL3FDX.PL,D,20180522,000000,195.3,195.3,195.3,195.3,10,0
RCFL3FDX.PL,D,20180523,000000,189.6,189.6,188,188,20,0
RCFL3FDX.PL,D,20180529,000000,178.4,178.4,171.5,171.5,110,0
RCFL3FDX.PL,D,20180605,000000,178.2,178.2,178.2,178.2,11,0
RCFL3FDX.PL,D,20180608,000000,172.3,172.3,170.8,170.8,165,0
RCFL3FDX.PL,D,20180611,000000,179.2,179.2,179.2,179.2,10,0
RCFL3FDX.PL,D,20180614,000000,189.1,189.1,189.1,189.1,10,0
RCFL3FDX.PL,D,20180618,000000,184.3,184.3,177.6,177.6,34,0
RCFL3FDX.PL,D,20180619,000000,171.8,171.8,171.8,171.8,10,0
RCFL3FDX.PL,D,20180620,000000,174.5,174.5,174,174,12,0
RCFL3FDX.PL,D,20180702,000000,160.2,160.2,160.2,160.2,50,0
RCFL3FDX.PL,D,20180704,000000,161.9,161.9,161.9,161.9,8,0
RCFL3FDX.PL,D,20180709,000000,165.7,165.7,165.7,165.7,8,0
RCFL3FDX.PL,D,20180710,000000,170.1,170.1,170.1,170.1,7,0
RCFL3FDX.PL,D,20180711,000000,164.6,164.6,164.6,164.6,10,0
RCFL3FDX.PL,D,20180712,000000,163.6,163.8,162.7,163.8,24,0
RCFL3FDX.PL,D,20180713,000000,168.4,168.4,168.4,168.4,10,0
RCFL3FDX.PL,D,20180718,000000,173.9,175,173.9,175,160,0
RCFL3FDX.PL,D,20180720,000000,167.8,167.8,164.4,164.4,31,0
RCFL3FDX.PL,D,20180724,000000,173.3,175,173.3,175,171,0
RCFL3FDX.PL,D,20180725,000000,168.8,168.8,168.8,168.8,30,0
RCFL3FDX.PL,D,20180727,000000,178.7,178.7,178.7,178.7,10,0
RCFL3FDX.PL,D,20180801,000000,172.8,172.8,172.8,172.8,10,0
RCFL3FDX.PL,D,20180802,000000,167.3,167.3,167.3,167.3,11,0
RCFL3FDX.PL,D,20180806,000000,171,171,171,171,30,0
RCFL3FDX.PL,D,20180810,000000,162.8,162.8,162.8,162.8,10,0
RCFL3FDX.PL,D,20180813,000000,158,158,158,158,30,0
RCFL3FDX.PL,D,20180814,000000,159.3,159.3,159.3,159.3,30,0
RCFL3FDX.PL,D,20180816,000000,153.4,153.4,153.4,153.4,353,0
RCFL3FDX.PL,D,20180821,000000,158,158,158,158,10,0
RCFL3FDX.PL,D,20180822,000000,159.2,159.2,159.2,159.2,10,0
RCFL3FDX.PL,D,20180823,000000,159.6,159.6,159.6,159.6,100,0
RCFL3FDX.PL,D,20180830,000000,162,162,159.6,159.6,667,0
RCFL3FDX.PL,D,20180831,000000,158,158,158,158,300,0
RCFL3FDX.PL,D,20180903,000000,156.4,156.4,156.4,156.4,10,0
RCFL3FDX.PL,D,20180904,000000,154.5,154.5,153,153.4,200,0
RCFL3FDX.PL,D,20180907,000000,143.2,143.2,143.2,143.2,100,0
RCFL3FDX.PL,D,20180910,000000,143.8,144.2,143.8,144.2,26,0
RCFL3FDX.PL,D,20180913,000000,146.6,146.6,146.6,146.6,6,0
RCFL3FDX.PL,D,20180924,000000,158,158,158,158,10,0
RCFL3FDX.PL,D,20181010,000000,141.6,141.6,141.6,141.6,50,0
RCFL3FDX.PL,D,20181011,000000,130.3,132.5,130.3,132.5,62,0
RCFL3FDX.PL,D,20181012,000000,131,131,131,131,10,0
RCFL3FDX.PL,D,20181022,000000,126.8,126.8,126.8,126.8,10,0
RCFL3FDX.PL,D,20181024,000000,119.4,119.4,119.4,119.4,88,0
RCFL3FDX.PL,D,20181025,000000,116.8,116.8,116.8,116.8,88,0
RCFL3FDX.PL,D,20181026,000000,113.2,113.5,113.2,113.5,53,0
