<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3ING.PL,D,20210525,000000,9.86,9.86,9.86,9.86,330,0
RCFL3ING.PL,D,20210602,000000,10.16,10.16,10.16,10.16,330,0
RCFL3ING.PL,D,20210721,000000,8.64,8.64,8.64,8.64,1000,0
RCFL3ING.PL,D,20210728,000000,9.31,9.31,9.31,9.31,500,0
RCFL3ING.PL,D,20210806,000000,11.44,11.44,11.44,11.44,200,0
RCFL3ING.PL,D,20210809,000000,12.96,13.36,12.96,13.36,740,0
RCFL3ING.PL,D,20210810,000000,13.62,14.88,13.62,14.48,360,0
RCFL3ING.PL,D,20210811,000000,14.78,14.98,14.78,14.98,122,0
RCFL3ING.PL,D,20210816,000000,14.72,14.72,14.52,14.52,103,0
RCFL3ING.PL,D,20210818,000000,13.86,13.96,13.62,13.96,660,0
RCFL3ING.PL,D,20210819,000000,13.04,13.1,12.46,12.64,1020,0
RCFL3ING.PL,D,20210820,000000,12.36,12.68,12.36,12.68,130,0
RCFL3ING.PL,D,20210823,000000,12.26,13.68,12.12,13.68,200,0
RCFL3ING.PL,D,20210825,000000,13.58,13.66,13.58,13.66,25,0
RCFL3ING.PL,D,20210826,000000,13,13.42,13,13.42,110,0
RCFL3ING.PL,D,20210827,000000,12.9,13.92,12.9,13.86,810,0
RCFL3ING.PL,D,20210830,000000,14.16,16.02,14.16,16.02,1934,0
RCFL3ING.PL,D,20210831,000000,15.72,15.84,15.48,15.84,602,0
RCFL3ING.PL,D,20210901,000000,16.54,16.54,16.54,16.54,8,0
RCFL3ING.PL,D,20210903,000000,16.52,16.52,16.52,16.52,10,0
RCFL3ING.PL,D,20210906,000000,16.22,16.68,16.22,16.68,200,0
RCFL3ING.PL,D,20210908,000000,16.28,16.28,16.22,16.22,340,0
RCFL3ING.PL,D,20210913,000000,16.06,16.48,16.06,16.48,200,0
RCFL3ING.PL,D,20210914,000000,16.18,16.24,16.18,16.24,150,0
RCFL3ING.PL,D,20210915,000000,16.48,16.6,16.48,16.6,1290,0
RCFL3ING.PL,D,20210920,000000,15.88,15.88,15.1,15.44,469,0
RCFL3ING.PL,D,20210921,000000,16.06,16.66,16.06,16.66,24,0
RCFL3ING.PL,D,20210922,000000,16.5,16.98,16.5,16.76,393,0
RCFL3ING.PL,D,20210924,000000,17.14,17.14,17.14,17.14,100,0
RCFL3ING.PL,D,20211006,000000,20.9,23.7,20.9,23.15,180,0
RCFL3ING.PL,D,20211007,000000,21.5,21.5,21.4,21.4,200,0
RCFL3ING.PL,D,20211011,000000,23.55,23.55,23.55,23.55,8,0
RCFL3ING.PL,D,20211013,000000,22.95,22.95,22.95,22.95,20,0
RCFL3ING.PL,D,20211020,000000,25.2,25.25,25.2,25.25,123,0
RCFL3ING.PL,D,20220304,000000,11.56,11.56,11.56,11.56,30,0
RCFL3ING.PL,D,20220307,000000,10.66,12.36,10.16,12.36,870,0
RCFL3ING.PL,D,20220308,000000,14.24,14.24,13.32,13.32,600,0
RCFL3ING.PL,D,20220309,000000,14.14,14.14,14.14,14.14,300,0
RCFL3ING.PL,D,20220314,000000,15.56,15.56,15.56,15.56,200,0
RCFL3ING.PL,D,20220316,000000,15.92,15.92,15.92,15.92,500,0
RCFL3ING.PL,D,20220318,000000,15.32,15.32,15.32,15.32,25,0
RCFL3ING.PL,D,20220324,000000,14.36,14.36,14.36,14.36,20,0
RCFL3ING.PL,D,20220406,000000,15.08,15.28,15.08,15.28,175,0
RCFL3ING.PL,D,20220411,000000,13.82,14.4,13.82,14.4,870,0
RCFL3ING.PL,D,20220419,000000,12.12,12.36,12.12,12.36,100,0
RCFL3ING.PL,D,20220420,000000,11.04,11.04,11.04,11.04,30,0
RCFL3ING.PL,D,20220428,000000,8.09,8.09,8.09,8.09,316,0
RCFL3ING.PL,D,20220518,000000,8.47,8.47,8.47,8.47,40,0
RCFL3ING.PL,D,20220523,000000,8.03,8.03,8.03,8.03,50,0
RCFL3ING.PL,D,20220615,000000,5.61,5.61,5.61,5.61,300,0
RCFL3ING.PL,D,20220705,000000,5.69,5.69,5.69,5.69,50,0
RCFL3ING.PL,D,20220707,000000,4.58,4.58,4.58,4.58,80,0
RCFL3ING.PL,D,20220708,000000,4.85,4.85,4.85,4.85,100,0
RCFL3ING.PL,D,20220712,000000,4.2,4.2,4.2,4.2,320,0
RCFL3ING.PL,D,20220713,000000,3.7,3.7,3.7,3.7,400,0
RCFL3ING.PL,D,20220714,000000,3.55,3.55,3.55,3.55,90,0
RCFL3ING.PL,D,20220718,000000,3.64,3.64,3.53,3.53,220,0
RCFL3ING.PL,D,20220729,000000,3.69,4.05,3.69,4.05,240,0
RCFL3ING.PL,D,20220804,000000,3.85,3.85,3.85,3.85,80,0
RCFL3ING.PL,D,20220808,000000,3.61,3.61,3.61,3.61,160,0
RCFL3ING.PL,D,20220811,000000,4.04,4.04,4.04,4.04,80,0
RCFL3ING.PL,D,20220817,000000,3.71,3.71,3.71,3.71,1350,0
RCFL3ING.PL,D,20220819,000000,3.44,3.44,3.44,3.44,1350,0
RCFL3ING.PL,D,20220822,000000,3.04,3.04,3.04,3.04,220,0
RCFL3ING.PL,D,20220826,000000,2.74,2.74,2.74,2.74,200,0
RCFL3ING.PL,D,20220829,000000,2.74,2.74,2.74,2.74,500,0
RCFL3ING.PL,D,20220830,000000,2.51,2.51,2.51,2.51,125,0
RCFL3ING.PL,D,20220902,000000,2.37,2.37,2.3,2.3,750,0
