<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3PEO1.PL,D,20201210,000000,14.16,14.44,13.88,14.44,721,0
RCFL3PEO1.PL,D,20201211,000000,15.1,15.1,12.64,13.76,1231,0
RCFL3PEO1.PL,D,20201214,000000,14.62,14.82,14.62,14.82,194,0
RCFL3PEO1.PL,D,20201216,000000,14.9,15.54,14.9,15.54,196,0
RCFL3PEO1.PL,D,20201217,000000,14.12,14.12,13.14,13.16,1802,0
RCFL3PEO1.PL,D,20201218,000000,12.68,13.48,12.16,13.48,860,0
RCFL3PEO1.PL,D,20201221,000000,12.18,12.18,10.94,12.06,1340,0
RCFL3PEO1.PL,D,20201222,000000,12.48,13.04,12.38,13.04,827,0
RCFL3PEO1.PL,D,20201223,000000,13.02,13.5,13.02,13.5,1089,0
RCFL3PEO1.PL,D,20201228,000000,14.24,14.4,14.24,14.4,220,0
RCFL3PEO1.PL,D,20201229,000000,15.02,15.02,15.02,15.02,100,0
RCFL3PEO1.PL,D,20201230,000000,13.86,13.86,13.1,13.72,1839,0
RCFL3PEO1.PL,D,20210104,000000,13.96,14.1,13.38,14,1205,0
RCFL3PEO1.PL,D,20210105,000000,14.12,14.66,14.12,14.66,440,0
RCFL3PEO1.PL,D,20210107,000000,15.24,16.14,15.2,16.14,1600,0
RCFL3PEO1.PL,D,20210108,000000,17.04,19.26,17.04,19.26,590,0
RCFL3PEO1.PL,D,20210111,000000,18.7,21.1,18.7,19.82,430,0
RCFL3PEO1.PL,D,20210112,000000,18.28,18.28,18.28,18.28,380,0
RCFL3PEO1.PL,D,20210115,000000,16.48,17.14,16.48,17.14,520,0
RCFL3PEO1.PL,D,20210118,000000,17.74,17.74,17.74,17.74,100,0
RCFL3PEO1.PL,D,20210125,000000,15.38,15.54,14.74,15.54,310,0
RCFL3PEO1.PL,D,20210126,000000,14.56,15.42,14.56,15.42,140,0
RCFL3PEO1.PL,D,20210127,000000,14.8,14.8,14.8,14.8,100,0
RCFL3PEO1.PL,D,20210128,000000,13.68,15.18,13.68,15.18,582,0
RCFL3PEO1.PL,D,20210129,000000,15.12,15.12,15.12,15.12,72,0
RCFL3PEO1.PL,D,20210201,000000,15.02,15.02,15.02,15.02,84,0
RCFL3PEO1.PL,D,20210202,000000,15.2,16.04,15.2,16.04,500,0
RCFL3PEO1.PL,D,20210203,000000,15.94,15.94,15.86,15.86,200,0
RCFL3PEO1.PL,D,20210204,000000,15.2,15.2,15.2,15.2,100,0
RCFL3PEO1.PL,D,20210212,000000,15.2,15.2,15.04,15.04,200,0
RCFL3PEO1.PL,D,20210215,000000,16.02,16.02,16.02,16.02,100,0
RCFL3PEO1.PL,D,20210216,000000,16.22,18.06,16.22,17.84,240,0
RCFL3PEO1.PL,D,20210223,000000,15.2,15.2,15.2,15.2,50,0
RCFL3PEO1.PL,D,20210226,000000,18.06,18.06,18.06,18.06,50,0
RCFL3PEO1.PL,D,20210302,000000,21.8,21.8,21.8,21.8,300,0
RCFL3PEO1.PL,D,20210310,000000,21.9,21.9,21.9,21.9,300,0
RCFL3PEO1.PL,D,20210311,000000,22,22,20.55,20.55,150,0
RCFL3PEO1.PL,D,20210312,000000,22.25,22.25,22.25,22.25,100,0
RCFL3PEO1.PL,D,20210315,000000,22.25,22.25,22.25,22.25,150,0
RCFL3PEO1.PL,D,20210316,000000,21.1,21.1,21.1,21.1,100,0
RCFL3PEO1.PL,D,20210406,000000,20.25,20.25,20.25,20.25,100,0
RCFL3PEO1.PL,D,20210415,000000,22.65,22.65,22.65,22.65,220,0
RCFL3PEO1.PL,D,20210419,000000,23.3,23.3,23.3,23.3,150,0
RCFL3PEO1.PL,D,20210428,000000,24.75,24.75,24.75,24.75,220,0
RCFL3PEO1.PL,D,20210429,000000,27.75,30.1,27.75,30.1,250,0
RCFL3PEO1.PL,D,20210504,000000,27.1,27.1,27.1,27.1,70,0
RCFL3PEO1.PL,D,20210512,000000,31.75,32,31.75,32,100,0
RCFL3PEO1.PL,D,20210517,000000,35.4,35.4,35.4,35.4,270,0
RCFL3PEO1.PL,D,20210519,000000,38,38,37.95,37.95,350,0
RCFL3PEO1.PL,D,20210521,000000,40.65,40.65,40.65,40.65,25,0
RCFL3PEO1.PL,D,20210524,000000,39.8,39.8,39.8,39.8,25,0
RCFL3PEO1.PL,D,20210526,000000,40,40,40,40,25,0
RCFL3PEO1.PL,D,20210608,000000,47.25,47.25,47.25,47.25,150,0
RCFL3PEO1.PL,D,20210630,000000,40.6,41.25,40.6,41.25,250,0
RCFL3PEO1.PL,D,20210714,000000,39.85,39.85,39.85,39.85,120,0
RCFL3PEO1.PL,D,20210719,000000,36,36.65,35.5,35.5,680,0
RCFL3PEO1.PL,D,20210721,000000,38.65,38.65,38.65,38.65,500,0
RCFL3PEO1.PL,D,20210722,000000,41.05,41.05,41,41,300,0
RCFL3PEO1.PL,D,20210803,000000,42.85,42.85,41.6,41.6,80,0
RCFL3PEO1.PL,D,20210804,000000,43.8,47,43.8,47,130,0
RCFL3PEO1.PL,D,20210805,000000,47.45,47.45,47.45,47.45,50,0
RCFL3PEO1.PL,D,20210806,000000,48,48,48,48,82,0
