<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3PKP.PL,D,20211022,000000,8.44,8.53,8.44,8.53,1147,0
RCFL3PKP.PL,D,20211026,000000,7.35,7.35,7.35,7.35,1147,0
RCFL3PKP.PL,D,20211105,000000,7.6,7.85,7.6,7.69,1400,0
RCFL3PKP.PL,D,20211110,000000,6.85,6.85,6.85,6.85,1399,0
RCFL3PKP.PL,D,20211115,000000,4.89,5.22,4.89,5.22,2200,0
RCFL3PKP.PL,D,20211117,000000,4.77,4.77,4.06,4.34,4439,0
RCFL3PKP.PL,D,20211119,000000,4.37,4.43,4.37,4.43,708,0
RCFL3PKP.PL,D,20211123,000000,4.28,4.28,4.28,4.28,499,0
RCFL3PKP.PL,D,20211125,000000,4.13,4.13,4.13,4.13,1000,0
RCFL3PKP.PL,D,20211126,000000,3.72,3.72,3.7,3.7,2000,0
RCFL3PKP.PL,D,20211129,000000,3.46,3.62,3.46,3.62,4241,0
RCFL3PKP.PL,D,20211201,000000,4.06,4.06,3.88,3.88,5860,0
RCFL3PKP.PL,D,20211202,000000,3.58,4.05,3.52,4.05,19862,0
RCFL3PKP.PL,D,20211203,000000,4.31,4.31,3.8,3.92,4929,0
RCFL3PKP.PL,D,20211206,000000,3.74,3.74,3.74,3.74,500,0
RCFL3PKP.PL,D,20211207,000000,3.9,4.02,3.9,4,2900,0
RCFL3PKP.PL,D,20211208,000000,3.81,3.81,3.81,3.81,49,0
RCFL3PKP.PL,D,20211209,000000,4.25,4.25,3.91,4.23,6500,0
RCFL3PKP.PL,D,20211210,000000,4.13,4.13,4,4,1440,0
RCFL3PKP.PL,D,20211213,000000,3.88,3.88,3.76,3.76,8559,0
RCFL3PKP.PL,D,20211214,000000,3.63,3.63,3.46,3.46,2000,0
RCFL3PKP.PL,D,20211215,000000,3.43,3.44,3.28,3.28,7898,0
RCFL3PKP.PL,D,20211216,000000,3.39,3.51,3.39,3.51,12666,0
RCFL3PKP.PL,D,20211217,000000,3.34,3.42,3.34,3.42,12956,0
RCFL3PKP.PL,D,20211220,000000,3.26,3.29,3.14,3.29,4999,0
RCFL3PKP.PL,D,20211221,000000,3.25,3.25,3,3,5478,0
RCFL3PKP.PL,D,20211222,000000,3.06,3.06,3.04,3.05,32500,0
RCFL3PKP.PL,D,20211223,000000,3.04,3.04,3.04,3.04,500,0
RCFL3PKP.PL,D,20211227,000000,2.85,2.85,2.72,2.72,5000,0
RCFL3PKP.PL,D,20211228,000000,2.69,2.71,2.57,2.67,3500,0
RCFL3PKP.PL,D,20211229,000000,3.13,3.13,3.13,3.13,1308,0
RCFL3PKP.PL,D,20220105,000000,3.16,3.16,3.16,3.16,1308,0
RCFL3PKP.PL,D,20220110,000000,3.42,3.42,3.38,3.38,6000,0
RCFL3PKP.PL,D,20220111,000000,3.39,3.47,3.39,3.46,11000,0
RCFL3PKP.PL,D,20220112,000000,3.72,3.78,3.72,3.77,5000,0
RCFL3PKP.PL,D,20220117,000000,3.84,3.84,3.84,3.84,3559,0
RCFL3PKP.PL,D,20220118,000000,3.67,3.79,3.67,3.76,79000,0
RCFL3PKP.PL,D,20220119,000000,3.52,3.58,3.49,3.58,34500,0
RCFL3PKP.PL,D,20220121,000000,2.99,3.05,2.99,3.05,5740,0
RCFL3PKP.PL,D,20220125,000000,2.47,2.47,2.47,2.47,500,0
RCFL3PKP.PL,D,20220131,000000,2.39,2.39,2.39,2.39,2000,0
RCFL3PKP.PL,D,20220202,000000,2.73,2.73,2.73,2.73,3000,0
RCFL3PKP.PL,D,20220209,000000,2.31,2.31,2.28,2.28,10000,0
RCFL3PKP.PL,D,20220214,000000,2.1,2.1,2.09,2.09,12900,0
RCFL3PKP.PL,D,20220215,000000,2.09,2.09,2.09,2.09,800,0
RCFL3PKP.PL,D,20220217,000000,2.03,2.03,1.96,1.96,7900,0
RCFL3PKP.PL,D,20220218,000000,1.82,1.82,1.82,1.82,5000,0
RCFL3PKP.PL,D,20220221,000000,1.59,1.59,1.59,1.59,3000,0
RCFL3PKP.PL,D,20220224,000000,0.98,1.28,0.98,1.28,35000,0
RCFL3PKP.PL,D,20220228,000000,1.87,1.87,1.79,1.79,2,0
RCFL3PKP.PL,D,20220302,000000,1.92,1.92,1.92,1.92,2599,0
