<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3TEN2.PL,D,20220110,000000,10.92,10.92,10.92,10.92,300,0
RCFL3TEN2.PL,D,20220120,000000,6.72,6.92,6.04,6.04,1600,0
RCFL3TEN2.PL,D,20220121,000000,6.05,6.05,4.94,4.94,2058,0
RCFL3TEN2.PL,D,20220124,000000,5.13,5.24,4.13,4.18,15920,0
RCFL3TEN2.PL,D,20220125,000000,4.17,4.17,3.15,3.15,22430,0
RCFL3TEN2.PL,D,20220126,000000,2.69,3,2.35,2.54,10876,0
RCFL3TEN2.PL,D,20220127,000000,2.5,2.9,2.5,2.9,3850,0
RCFL3TEN2.PL,D,20220128,000000,2.48,2.48,2.29,2.31,6560,0
RCFL3TEN2.PL,D,20220131,000000,2.57,2.57,2.57,2.57,3000,0
RCFL3TEN2.PL,D,20220201,000000,2.96,2.97,2.39,2.5,7092,0
RCFL3TEN2.PL,D,20220202,000000,2.73,2.81,2.73,2.81,5770,0
RCFL3TEN2.PL,D,20220203,000000,2.6,2.6,2.6,2.6,500,0
RCFL3TEN2.PL,D,20220207,000000,2.34,2.34,2.32,2.32,7000,0
RCFL3TEN2.PL,D,20220210,000000,2.4,2.4,2.4,2.4,1700,0
RCFL3TEN2.PL,D,20220211,000000,2.47,2.47,2.47,2.47,1600,0
RCFL3TEN2.PL,D,20220214,000000,2.13,2.13,2.01,2.08,4150,0
RCFL3TEN2.PL,D,20220215,000000,2.22,2.22,2.22,2.22,750,0
RCFL3TEN2.PL,D,20220217,000000,2,2,1.77,1.77,13000,0
RCFL3TEN2.PL,D,20220218,000000,1.71,1.71,1.56,1.58,19000,0
RCFL3TEN2.PL,D,20220221,000000,1.45,1.47,1.45,1.47,2122,0
RCFL3TEN2.PL,D,20220222,000000,1.48,1.48,1.38,1.38,4651,0
RCFL3TEN2.PL,D,20220223,000000,1.43,1.43,1.33,1.33,9741,0
RCFL3TEN2.PL,D,20220224,000000,0.98,1.1,0.74,1.03,63313,0
RCFL3TEN2.PL,D,20220225,000000,1.17,1.23,1.13,1.18,11650,0
RCFL3TEN2.PL,D,20220228,000000,1.2,1.37,1.2,1.36,7150,0
RCFL3TEN2.PL,D,20220301,000000,1.47,1.47,1.44,1.45,5000,0
RCFL3TEN2.PL,D,20220302,000000,1.51,1.51,1.51,1.51,130,0
RCFL3TEN2.PL,D,20220308,000000,1.24,1.24,1.12,1.13,14000,0
RCFL3TEN2.PL,D,20220309,000000,1.26,1.28,1.26,1.28,12000,0
RCFL3TEN2.PL,D,20220310,000000,1.35,1.44,1.33,1.44,4620,0
RCFL3TEN2.PL,D,20220311,000000,1.48,1.6,1.48,1.6,3471,0
RCFL3TEN2.PL,D,20220315,000000,1.35,1.35,1.35,1.35,2000,0
RCFL3TEN2.PL,D,20220316,000000,1.43,1.43,1.31,1.31,5996,0
RCFL3TEN2.PL,D,20220317,000000,1.39,1.6,1.38,1.6,5186,0
RCFL3TEN2.PL,D,20220318,000000,1.63,1.63,1.52,1.52,9170,0
RCFL3TEN2.PL,D,20220321,000000,1.64,1.64,1.59,1.59,4338,0
RCFL3TEN2.PL,D,20220322,000000,1.63,1.63,1.55,1.55,6000,0
RCFL3TEN2.PL,D,20220323,000000,1.56,1.56,1.56,1.56,3500,0
RCFL3TEN2.PL,D,20220324,000000,1.38,1.47,1.38,1.47,11990,0
RCFL3TEN2.PL,D,20220328,000000,1.52,1.52,1.52,1.52,4000,0
RCFL3TEN2.PL,D,20220329,000000,1.5,1.5,1.49,1.49,1870,0
RCFL3TEN2.PL,D,20220330,000000,1.48,1.48,1.45,1.45,31200,0
RCFL3TEN2.PL,D,20220331,000000,1.18,1.18,1.15,1.15,2900,0
RCFL3TEN2.PL,D,20220401,000000,1.09,1.21,1.09,1.09,24972,0
