<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3WIGESG.PL,D,20200316,000000,1.8,1.8,1.8,1.8,300,0
RCFL3WIGESG.PL,D,20200324,000000,2.64,2.64,2.64,2.64,220,0
RCFL3WIGESG.PL,D,20200402,000000,2.67,2.67,2.67,2.67,200,0
RCFL3WIGESG.PL,D,20200406,000000,3.12,3.12,3.12,3.12,320,0
RCFL3WIGESG.PL,D,20200407,000000,3.5,3.5,3.5,3.5,400,0
RCFL3WIGESG.PL,D,20200408,000000,3.15,3.15,3.15,3.15,300,0
RCFL3WIGESG.PL,D,20200414,000000,3.57,3.57,3.57,3.57,250,0
RCFL3WIGESG.PL,D,20200422,000000,3.15,3.15,3.15,3.15,40,0
RCFL3WIGESG.PL,D,20200505,000000,3.37,3.37,3.37,3.37,200,0
RCFL3WIGESG.PL,D,20200507,000000,3.22,3.22,3.22,3.22,200,0
RCFL3WIGESG.PL,D,20200514,000000,3.25,3.25,3.25,3.25,280,0
RCFL3WIGESG.PL,D,20200526,000000,3.72,3.72,3.72,3.72,300,0
RCFL3WIGESG.PL,D,20210121,000000,5.46,5.46,5.46,5.46,200,0
RCFL3WIGESG.PL,D,20210128,000000,5.21,5.21,5.21,5.21,270,0
RCFL3WIGESG.PL,D,20210223,000000,5.39,5.39,5.39,5.39,200,0
RCFL3WIGESG.PL,D,20210429,000000,6.23,6.23,6.23,6.23,190,0
