<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL4ALE.PL,D,20201110,000000,24.45,24.45,23.75,23.75,100,0
RCFL4ALE.PL,D,20201112,000000,19.76,20,18.5,18.5,541,0
RCFL4ALE.PL,D,20201117,000000,9.35,10.2,8.81,9.51,6360,0
RCFL4ALE.PL,D,20201118,000000,8.34,8.86,8.34,8.86,1093,0
RCFL4ALE.PL,D,20201119,000000,9.58,10.78,9.58,10.78,2599,0
RCFL4ALE.PL,D,20201120,000000,12.1,15.54,12.1,14.82,6893,0
RCFL4ALE.PL,D,20201123,000000,14.86,14.86,13.24,13.82,500,0
RCFL4ALE.PL,D,20201124,000000,13.42,15.1,12.74,15.1,200,0
RCFL4ALE.PL,D,20201126,000000,12.72,12.78,11.86,11.86,300,0
RCFL4ALE.PL,D,20201201,000000,12.76,12.76,12.76,12.76,100,0
RCFL4ALE.PL,D,20201203,000000,13,13,11.98,11.98,600,0
RCFL4ALE.PL,D,20201210,000000,12.88,12.88,12.88,12.88,70,0
RCFL4ALE.PL,D,20201211,000000,13.1,13.7,13.1,13.7,971,0
RCFL4ALE.PL,D,20201222,000000,18.16,18.16,18.16,18.16,2,0
RCFL4ALE.PL,D,20210118,000000,12.38,12.38,12.38,12.38,71,0
RCFL4ALE.PL,D,20210126,000000,10.1,10.1,10.1,10.1,3000,0
RCFL4ALE.PL,D,20210127,000000,10.66,10.66,7.95,7.95,3150,0
RCFL4ALE.PL,D,20210128,000000,7.18,8.25,6.8,8.01,409,0
RCFL4ALE.PL,D,20210129,000000,9.17,9.2,8.95,9.2,1838,0
RCFL4ALE.PL,D,20210201,000000,8.56,8.56,8.49,8.49,241,0
RCFL4ALE.PL,D,20210202,000000,8.5,8.5,8.5,8.5,200,0
RCFL4ALE.PL,D,20210204,000000,7.6,7.6,7.6,7.6,120,0
RCFL4ALE.PL,D,20210205,000000,7.7,7.7,7.7,7.7,120,0
RCFL4ALE.PL,D,20210208,000000,7.57,7.57,7.04,7.04,112,0
RCFL4ALE.PL,D,20210209,000000,6.83,6.83,6.83,6.83,150,0
RCFL4ALE.PL,D,20210211,000000,5.94,6.98,5.94,6.98,450,0
RCFL4ALE.PL,D,20210222,000000,6.3,6.3,6.3,6.3,1500,0
RCFL4ALE.PL,D,20210223,000000,5.04,5.04,5.04,5.04,1500,0
RCFL4ALE.PL,D,20210224,000000,5.63,5.63,5.25,5.25,2200,0
RCFL4ALE.PL,D,20210226,000000,4.42,4.42,4.42,4.42,26,0
RCFL4ALE.PL,D,20210301,000000,5.01,5.01,4.7,4.7,660,0
RCFL4ALE.PL,D,20210302,000000,5.27,5.27,5.27,5.27,100,0
RCFL4ALE.PL,D,20210303,000000,6.17,6.17,6.17,6.17,350,0
RCFL4ALE.PL,D,20210304,000000,5.04,5.06,5.04,5.06,1010,0
RCFL4ALE.PL,D,20210305,000000,4.81,4.81,4.81,4.81,100,0
RCFL4ALE.PL,D,20210308,000000,4.8,4.8,4.77,4.77,17000,0
RCFL4ALE.PL,D,20210310,000000,5.11,5.11,5.08,5.08,17000,0
RCFL4ALE.PL,D,20210312,000000,5.2,5.2,5.2,5.2,150,0
RCFL4ALE.PL,D,20210317,000000,3.5,3.69,3.5,3.61,18073,0
RCFL4ALE.PL,D,20210324,000000,2.74,2.74,2.36,2.5,8045,0
RCFL4ALE.PL,D,20210325,000000,2.52,2.52,2.04,2.04,24252,0
RCFL4ALE.PL,D,20210326,000000,2.14,2.14,2.11,2.11,2938,0
RCFL4ALE.PL,D,20210329,000000,2.18,2.2,2.18,2.2,3250,0
RCFL4ALE.PL,D,20210331,000000,2.32,2.32,2.32,2.32,150,0
RCFL4ALE.PL,D,20210406,000000,2.78,2.78,2.78,2.78,100,0
RCFL4ALE.PL,D,20210409,000000,2.9,3.12,2.9,3.12,21023,0
RCFL4ALE.PL,D,20210414,000000,3.16,3.16,3.06,3.12,5400,0
RCFL4ALE.PL,D,20210415,000000,3,3,3,3,345,0
RCFL4ALE.PL,D,20210419,000000,2.8,2.8,2.8,2.8,2020,0
RCFL4ALE.PL,D,20210422,000000,2.4,2.4,2.4,2.4,1000,0
RCFL4ALE.PL,D,20210426,000000,2.6,2.6,2.6,2.6,1000,0
RCFL4ALE.PL,D,20210504,000000,2.49,2.49,2.2,2.2,4000,0
RCFL4ALE.PL,D,20210505,000000,2.18,2.18,1.97,1.97,2000,0
RCFL4ALE.PL,D,20210506,000000,1.86,1.86,1.74,1.74,1222,0
RCFL4ALE.PL,D,20210507,000000,1.92,1.92,1.92,1.92,2000,0
RCFL4ALE.PL,D,20210513,000000,1.7,1.7,1.7,1.7,2000,0
RCFL4ALE.PL,D,20210514,000000,1.68,1.68,1.68,1.68,1559,0
RCFL4ALE.PL,D,20210517,000000,2.04,2.04,2.04,2.04,2000,0
RCFL4ALE.PL,D,20210518,000000,2.43,2.65,2.43,2.65,5281,0
RCFL4ALE.PL,D,20210520,000000,2.45,2.45,2.45,2.45,2000,0
RCFL4ALE.PL,D,20210601,000000,2.9,2.9,2.9,2.9,6700,0
RCFL4ALE.PL,D,20210608,000000,2.99,2.99,2.99,2.99,1000,0
RCFL4ALE.PL,D,20210610,000000,2.87,2.87,2.87,2.87,1308,0
RCFL4ALE.PL,D,20210611,000000,2.6,2.6,2.6,2.6,1000,0
RCFL4ALE.PL,D,20210614,000000,2.66,2.66,2.66,2.66,2000,0
RCFL4ALE.PL,D,20210615,000000,2.85,2.85,2.85,2.85,2000,0
RCFL4ALE.PL,D,20210616,000000,2.64,2.64,2.64,2.64,2000,0
RCFL4ALE.PL,D,20210617,000000,2.88,2.89,2.75,2.78,6150,0
RCFL4ALE.PL,D,20210618,000000,2.91,2.91,2.83,2.83,10720,0
RCFL4ALE.PL,D,20210622,000000,2.68,2.68,2.43,2.43,4000,0
RCFL4ALE.PL,D,20210623,000000,2.71,2.73,2.71,2.73,2750,0
RCFL4ALE.PL,D,20210624,000000,2.92,3.35,2.92,3.35,4200,0
RCFL4ALE.PL,D,20210625,000000,3.42,3.7,3.42,3.7,2073,0
RCFL4ALE.PL,D,20210629,000000,3.64,4.13,3.64,4.13,3500,0
RCFL4ALE.PL,D,20210630,000000,4.33,4.33,4.04,4.04,2400,0
RCFL4ALE.PL,D,20210701,000000,3.86,4.3,3.86,4.3,8086,0
RCFL4ALE.PL,D,20210702,000000,4.58,4.9,4.49,4.49,1800,0
RCFL4ALE.PL,D,20210705,000000,4.6,4.94,4.6,4.89,2565,0
RCFL4ALE.PL,D,20210706,000000,4.96,5.11,4.96,5.11,773,0
RCFL4ALE.PL,D,20210713,000000,6,6.04,6,6.04,215,0
RCFL4ALE.PL,D,20210714,000000,6.1,6.11,6.1,6.11,2392,0
RCFL4ALE.PL,D,20210715,000000,5.97,5.97,5.97,5.97,2212,0
RCFL4ALE.PL,D,20210716,000000,6.16,6.16,6.16,6.16,180,0
RCFL4ALE.PL,D,20210721,000000,6.34,6.34,6.34,6.34,5,0
RCFL4ALE.PL,D,20210723,000000,6.05,6.05,6.02,6.02,873,0
RCFL4ALE.PL,D,20210730,000000,4.35,4.35,4.35,4.35,250,0
RCFL4ALE.PL,D,20210802,000000,4,4.14,4,4.14,1030,0
RCFL4ALE.PL,D,20210805,000000,3.63,3.63,3.44,3.44,3670,0
RCFL4ALE.PL,D,20210806,000000,3.3,3.47,3.3,3.47,1350,0
RCFL4ALE.PL,D,20210811,000000,3.09,3.09,3.09,3.09,850,0
RCFL4ALE.PL,D,20210817,000000,3.22,3.22,3.22,3.22,800,0
RCFL4ALE.PL,D,20210819,000000,3.33,3.38,3.33,3.38,2050,0
RCFL4ALE.PL,D,20210823,000000,3.57,3.57,3.57,3.57,300,0
RCFL4ALE.PL,D,20210824,000000,3.61,3.61,3.61,3.61,200,0
RCFL4ALE.PL,D,20210825,000000,3.72,4.04,3.72,4.04,10800,0
RCFL4ALE.PL,D,20210826,000000,4.39,4.39,4.39,4.39,600,0
RCFL4ALE.PL,D,20210830,000000,4.4,4.4,4.4,4.4,3650,0
RCFL4ALE.PL,D,20210901,000000,5.28,5.28,5.28,5.28,360,0
RCFL4ALE.PL,D,20210903,000000,4.5,4.5,4.5,4.5,600,0
RCFL4ALE.PL,D,20210906,000000,4.76,4.83,4.76,4.83,500,0
RCFL4ALE.PL,D,20210907,000000,4.32,4.32,4.32,4.32,410,0
RCFL4ALE.PL,D,20210908,000000,4.18,4.18,4.18,4.18,200,0
RCFL4ALE.PL,D,20210909,000000,3.62,3.62,3.62,3.62,200,0
RCFL4ALE.PL,D,20210914,000000,2.96,2.96,2.91,2.91,1150,0
RCFL4ALE.PL,D,20210916,000000,2.89,2.89,2.89,2.89,740,0
RCFL4ALE.PL,D,20210917,000000,3.1,3.33,3.1,3.33,3910,0
RCFL4ALE.PL,D,20210920,000000,3.03,3.18,2.87,2.87,3500,0
RCFL4ALE.PL,D,20211006,000000,1.81,1.81,1.81,1.81,546,0
RCFL4ALE.PL,D,20211008,000000,2.2,2.2,2.2,2.2,546,0
RCFL4ALE.PL,D,20211013,000000,1.37,1.37,1.37,1.37,2000,0
RCFL4ALE.PL,D,20211014,000000,1.12,1.31,1.05,1.31,8306,0
RCFL4ALE.PL,D,20211015,000000,1.1,1.1,1.1,1.1,2000,0
RCFL4ALE.PL,D,20211018,000000,1.17,1.17,1.17,1.17,1500,0
RCFL4ALE.PL,D,20211019,000000,1.07,1.07,1.07,1.07,1000,0
RCFL4ALE.PL,D,20211020,000000,1.02,1.07,1.02,1.07,2841,0
RCFL4ALE.PL,D,20211021,000000,1.06,1.07,1.02,1.02,298625,0
RCFL4ALE.PL,D,20211022,000000,1.01,1.09,1.01,1.09,12000,0
RCFL4ALE.PL,D,20211025,000000,1.01,1.01,0.96,0.96,18398,0
RCFL4ALE.PL,D,20211026,000000,0.9,0.9,0.82,0.82,14217,0
RCFL4ALE.PL,D,20211027,000000,0.75,0.87,0.7,0.87,559285,0
RCFL4ALE.PL,D,20211028,000000,0.82,0.82,0.74,0.74,274548,0
RCFL4ALE.PL,D,20211029,000000,0.75,0.75,0.65,0.65,257000,0
RCFL4ALE.PL,D,20211102,000000,0.65,0.65,0.65,0.65,100,0
RCFL4ALE.PL,D,20211103,000000,0.63,0.63,0.59,0.6,9000,0
RCFL4ALE.PL,D,20211104,000000,0.61,0.68,0.61,0.68,16500,0
RCFL4ALE.PL,D,20211105,000000,0.84,0.95,0.83,0.95,22401,0
RCFL4ALE.PL,D,20211108,000000,0.9,0.9,0.79,0.79,15812,0
RCFL4ALE.PL,D,20211109,000000,0.71,0.71,0.45,0.48,312134,0
RCFL4ALE.PL,D,20211110,000000,0.47,0.48,0.4,0.45,83629,0
RCFL4ALE.PL,D,20211112,000000,0.43,0.43,0.36,0.4,39446,0
RCFL4ALE.PL,D,20211115,000000,0.38,0.43,0.37,0.41,42795,0
RCFL4ALE.PL,D,20211116,000000,0.45,0.51,0.45,0.5,223996,0
RCFL4ALE.PL,D,20211117,000000,0.5,0.5,0.42,0.45,37234,0
RCFL4ALE.PL,D,20211118,000000,0.44,0.54,0.44,0.54,97562,0
RCFL4ALE.PL,D,20211119,000000,0.54,0.56,0.52,0.52,6700,0
RCFL4ALE.PL,D,20211122,000000,0.53,0.56,0.44,0.45,175024,0
RCFL4ALE.PL,D,20211123,000000,0.44,0.45,0.42,0.43,40123,0
RCFL4ALE.PL,D,20211124,000000,0.4,0.4,0.36,0.37,176650,0
RCFL4ALE.PL,D,20211125,000000,0.32,0.32,0.32,0.32,89000,0
RCFL4ALE.PL,D,20211126,000000,0.3,0.41,0.3,0.38,189026,0
RCFL4ALE.PL,D,20211129,000000,0.35,0.4,0.33,0.33,35658,0
RCFL4ALE.PL,D,20211130,000000,0.34,0.34,0.32,0.32,8055,0
RCFL4ALE.PL,D,20211201,000000,0.29,0.29,0.26,0.27,90257,0
RCFL4ALE.PL,D,20211202,000000,0.23,0.25,0.2,0.21,850060,0
RCFL4ALE.PL,D,20211203,000000,0.2,0.23,0.19,0.2,1372892,0
RCFL4ALE.PL,D,20211206,000000,0.19,0.2,0.17,0.17,334251,0
RCFL4ALE.PL,D,20211207,000000,0.18,0.23,0.18,0.21,640449,0
RCFL4ALE.PL,D,20211208,000000,0.25,0.25,0.24,0.25,331683,0
RCFL4ALE.PL,D,20211209,000000,0.26,0.27,0.26,0.27,210300,0
RCFL4ALE.PL,D,20211210,000000,0.23,0.24,0.22,0.22,296118,0
RCFL4ALE.PL,D,20211214,000000,0.2,0.21,0.2,0.2,151399,0
RCFL4ALE.PL,D,20211215,000000,0.19,0.2,0.16,0.16,60568,0
RCFL4ALE.PL,D,20211216,000000,0.19,0.22,0.19,0.22,9342,0
RCFL4ALE.PL,D,20211217,000000,0.2,0.22,0.2,0.22,278906,0
RCFL4ALE.PL,D,20211220,000000,0.23,0.25,0.23,0.25,436030,0
RCFL4ALE.PL,D,20211221,000000,0.25,0.27,0.24,0.26,67980,0
RCFL4ALE.PL,D,20211222,000000,0.26,0.28,0.26,0.28,127149,0
RCFL4ALE.PL,D,20211223,000000,0.31,0.31,0.22,0.22,298960,0
RCFL4ALE.PL,D,20211227,000000,0.23,0.28,0.23,0.28,53460,0
RCFL4ALE.PL,D,20211228,000000,0.24,0.26,0.24,0.24,71636,0
RCFL4ALE.PL,D,20211230,000000,0.23,0.24,0.21,0.21,67362,0
RCFL4ALE.PL,D,20220103,000000,0.25,0.25,0.25,0.25,20000,0
RCFL4ALE.PL,D,20220104,000000,0.22,0.22,0.22,0.22,91406,0
RCFL4ALE.PL,D,20220105,000000,0.21,0.22,0.19,0.19,22045,0
RCFL4ALE.PL,D,20220107,000000,0.19,0.25,0.19,0.25,48600,0
RCFL4ALE.PL,D,20220110,000000,0.25,0.25,0.22,0.22,65497,0
RCFL4ALE.PL,D,20220111,000000,0.24,0.25,0.24,0.25,147213,0
RCFL4ALE.PL,D,20220112,000000,0.29,0.31,0.29,0.31,57140,0
RCFL4ALE.PL,D,20220113,000000,0.3,0.36,0.3,0.36,206754,0
RCFL4ALE.PL,D,20220114,000000,0.31,0.32,0.31,0.32,1362,0
RCFL4ALE.PL,D,20220117,000000,0.31,0.31,0.31,0.31,3300,0
RCFL4ALE.PL,D,20220118,000000,0.25,0.25,0.23,0.24,253356,0
RCFL4ALE.PL,D,20220119,000000,0.22,0.24,0.22,0.23,20000,0
RCFL4ALE.PL,D,20220120,000000,0.25,0.25,0.25,0.25,11514,0
RCFL4ALE.PL,D,20220121,000000,0.21,0.21,0.2,0.2,15475,0
