<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL4BAS.PL,D,20210630,000000,8.81,8.81,8.81,8.81,50,0
RCFL4BAS.PL,D,20210809,000000,9.01,9.01,9.01,9.01,50,0
RCFL4BAS.PL,D,20210914,000000,8.19,8.19,8.19,8.19,850,0
RCFL4BAS.PL,D,20211001,000000,7.4,7.4,7.4,7.4,850,0
RCFL4BAS.PL,D,20211126,000000,4.75,4.75,4.75,4.75,100,0
RCFL4BAS.PL,D,20211208,000000,5.24,5.24,5.24,5.24,100,0
RCFL4BAS.PL,D,20220128,000000,7.77,7.77,7.77,7.77,1200,0
RCFL4BAS.PL,D,20220131,000000,7.77,7.77,7.77,7.77,1000,0
RCFL4BAS.PL,D,20220202,000000,7.92,7.92,7.92,7.92,700,0
RCFL4BAS.PL,D,20220203,000000,7.66,7.66,7.66,7.66,1500,0
RCFL4BAS.PL,D,20220207,000000,7.22,7.22,7.22,7.22,3000,0
RCFL4BAS.PL,D,20220208,000000,7.88,7.88,7.88,7.88,3000,0
RCFL4BAS.PL,D,20220210,000000,8.03,8.03,8.03,8.03,1000,0
RCFL4BAS.PL,D,20220214,000000,7.04,7.04,7.04,7.04,1999,0
RCFL4BAS.PL,D,20220215,000000,7.19,7.76,7.19,7.76,6000,0
RCFL4BAS.PL,D,20220217,000000,7.49,7.49,7.49,7.49,1000,0
RCFL4BAS.PL,D,20220222,000000,6.12,6.14,6.12,6.14,2999,0
RCFL4BAS.PL,D,20220301,000000,4.11,4.11,3.8,3.8,1300,0
RCFL4BAS.PL,D,20220302,000000,3.72,3.72,3.72,3.72,1150,0
RCFL4BAS.PL,D,20220304,000000,2.94,2.94,2.61,2.61,2450,0
RCFL4BAS.PL,D,20220324,000000,2.33,2.33,2.33,2.33,333,0
RCFL4BAS.PL,D,20220328,000000,2.42,2.42,2.42,2.42,333,0
RCFL4BAS.PL,D,20220330,000000,2.36,2.36,2.36,2.36,4415,0
RCFL4BAS.PL,D,20220404,000000,2.01,2.01,2.01,2.01,4415,0
RCFL4BAS.PL,D,20220413,000000,1.96,1.96,1.96,1.96,333,0
RCFL4BAS.PL,D,20220420,000000,2.24,2.24,2.24,2.24,333,0
RCFL4BAS.PL,D,20220429,000000,1.85,1.85,1.85,1.85,300,0
RCFL4BAS.PL,D,20220527,000000,2.22,2.22,2.22,2.22,300,0
RCFL4BAS.PL,D,20220630,000000,0.76,0.76,0.76,0.76,1000,0
RCFL4BAS.PL,D,20220711,000000,0.86,0.86,0.86,0.86,1000,0
RCFL4BAS.PL,D,20220824,000000,0.78,0.78,0.78,0.78,1000,0
