<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL4MWIG40.PL,D,20190430,000000,9.02,9.02,9.02,9.02,110,0
RCFL4MWIG40.PL,D,20190605,000000,7.48,7.48,7.48,7.48,110,0
RCFL4MWIG40.PL,D,20190611,000000,8.18,8.18,8.18,8.18,60,0
RCFL4MWIG40.PL,D,20190619,000000,8.65,8.65,8.65,8.65,120,0
RCFL4MWIG40.PL,D,20190621,000000,7.77,7.77,7.77,7.77,30,0
RCFL4MWIG40.PL,D,20190627,000000,8.9,8.9,8.9,8.9,15,0
RCFL4MWIG40.PL,D,20190801,000000,7.6,7.6,7.6,7.6,25,0
RCFL4MWIG40.PL,D,20190805,000000,7.1,7.1,7.1,7.1,3000,0
RCFL4MWIG40.PL,D,20190812,000000,6.6,6.6,6.6,6.6,30,0
RCFL4MWIG40.PL,D,20190819,000000,6.42,6.42,6.42,6.42,80,0
RCFL4MWIG40.PL,D,20190828,000000,6,6,6,6,1000,0
RCFL4MWIG40.PL,D,20190902,000000,6.47,6.47,6.47,6.47,40,0
RCFL4MWIG40.PL,D,20190911,000000,6.88,6.88,6.88,6.88,37,0
RCFL4MWIG40.PL,D,20191021,000000,5.42,5.42,5.42,5.42,20,0
RCFL4MWIG40.PL,D,20191030,000000,5.8,5.8,5.8,5.8,20,0
RCFL4MWIG40.PL,D,20191105,000000,6.15,6.15,6.15,6.15,50,0
RCFL4MWIG40.PL,D,20191106,000000,6.3,6.3,6.3,6.3,100,0
RCFL4MWIG40.PL,D,20191119,000000,6.35,6.35,6.2,6.2,225,0
RCFL4MWIG40.PL,D,20191217,000000,6.42,6.42,6.42,6.42,154,0
RCFL4MWIG40.PL,D,20191227,000000,7.05,7.05,7.05,7.05,50,0
RCFL4MWIG40.PL,D,20200117,000000,8.08,8.08,8.08,8.08,500,0
RCFL4MWIG40.PL,D,20200120,000000,8.17,8.17,8.17,8.17,198,0
RCFL4MWIG40.PL,D,20200131,000000,7.43,7.43,7.43,7.43,50,0
RCFL4MWIG40.PL,D,20200203,000000,7.35,7.35,7.35,7.35,100,0
RCFL4MWIG40.PL,D,20200204,000000,7.55,7.55,7.55,7.55,300,0
RCFL4MWIG40.PL,D,20200206,000000,8.42,8.42,8.42,8.42,200,0
RCFL4MWIG40.PL,D,20200212,000000,8.2,8.2,8.2,8.2,200,0
RCFL4MWIG40.PL,D,20200214,000000,7.98,7.98,7.93,7.93,201,0
RCFL4MWIG40.PL,D,20200217,000000,7.94,7.98,7.94,7.98,150,0
RCFL4MWIG40.PL,D,20200219,000000,7.54,7.54,7.54,7.54,4000,0
RCFL4MWIG40.PL,D,20200220,000000,8.19,8.19,8.19,8.19,1,0
RCFL4MWIG40.PL,D,20200224,000000,7.08,7.08,6.77,6.77,1451,0
