<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL4NAG2.PL,D,20200514,000000,5.15,5.15,5.15,5.15,10000,0
RCFL4NAG2.PL,D,20200518,000000,5.9,5.9,5.9,5.9,10000,0
RCFL4NAG2.PL,D,20200617,000000,2.47,2.47,2.47,2.47,824,0
RCFL4NAG2.PL,D,20200618,000000,2.43,2.43,2.43,2.43,1748,0
RCFL4NAG2.PL,D,20200622,000000,2.68,2.68,2.68,2.68,2572,0
RCFL4NAG2.PL,D,20200625,000000,1.87,1.87,1.87,1.87,412,0
RCFL4NAG2.PL,D,20200626,000000,1.58,1.58,1.5,1.5,2192,0
RCFL4NAG2.PL,D,20200630,000000,2.51,2.51,2.51,2.51,412,0
RCFL4NAG2.PL,D,20200706,000000,2.67,2.67,2.65,2.65,2192,0
RCFL4NAG2.PL,D,20200720,000000,1.95,1.95,1.74,1.74,3050,0
RCFL4NAG2.PL,D,20200722,000000,1.65,1.65,1.65,1.65,695,0
RCFL4NAG2.PL,D,20200723,000000,1.87,2.02,1.87,2.02,4000,0
RCFL4NAG2.PL,D,20200724,000000,2.25,2.25,2.25,2.25,695,0
RCFL4NAG2.PL,D,20200727,000000,2.3,2.35,2.3,2.35,1000,0
RCFL4NAG2.PL,D,20200728,000000,2.3,2.3,2.3,2.3,1000,0
RCFL4NAG2.PL,D,20200729,000000,2.45,2.45,2.45,2.45,550,0
RCFL4NAG2.PL,D,20200730,000000,2.42,2.42,2.42,2.42,500,0
RCFL4NAG2.PL,D,20200901,000000,5.72,5.72,4.7,4.7,5450,0
RCFL4NAG2.PL,D,20200904,000000,4.35,4.35,4.35,4.35,5450,0
RCFL4NAG2.PL,D,20200907,000000,4.68,4.68,4.68,4.68,5000,0
RCFL4NAG2.PL,D,20200908,000000,4.8,4.8,4.8,4.8,5000,0
RCFL4NAG2.PL,D,20200914,000000,3.17,3.17,3.17,3.17,3142,0
RCFL4NAG2.PL,D,20200916,000000,2.69,2.69,2.69,2.69,3142,0
RCFL4NAG2.PL,D,20201229,000000,0.47,0.47,0.47,0.47,4660,0
RCFL4NAG2.PL,D,20201230,000000,0.49,0.49,0.49,0.49,4660,0
RCFL4NAG2.PL,D,20220427,000000,2.15,2.15,2.08,2.08,200,0
