<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL4OPL.PL,D,20200709,000000,6.78,6.78,6.78,6.78,300,0
RCFL4OPL.PL,D,20200716,000000,10.18,10.18,10.18,10.18,240,0
RCFL4OPL.PL,D,20200717,000000,11.12,13.86,10.5,10.5,922,0
RCFL4OPL.PL,D,20210525,000000,5,5.1,5,5.1,3970,0
RCFL4OPL.PL,D,20210526,000000,5.07,5.09,4.9,4.9,8952,0
RCFL4OPL.PL,D,20210527,000000,4.98,4.98,4.98,4.98,1985,0
RCFL4OPL.PL,D,20210528,000000,5.24,5.3,5.24,5.3,4453,0
RCFL4OPL.PL,D,20210531,000000,5.35,5.4,4.98,5,23105,0
RCFL4OPL.PL,D,20210601,000000,5.43,5.43,5.37,5.37,13700,0
RCFL4OPL.PL,D,20210604,000000,5.27,5.41,5.27,5.41,675,0
RCFL4OPL.PL,D,20210607,000000,6.4,6.43,6.15,6.43,8651,0
RCFL4OPL.PL,D,20210608,000000,5.86,5.86,5.86,5.86,10000,0
RCFL4OPL.PL,D,20210615,000000,5.18,5.18,5.08,5.08,5080,0
RCFL4OPL.PL,D,20210616,000000,4.83,4.83,4.83,4.83,241,0
RCFL4OPL.PL,D,20210618,000000,4.64,4.64,4.46,4.46,67990,0
RCFL4OPL.PL,D,20210623,000000,4.69,4.76,4.69,4.75,30000,0
RCFL4OPL.PL,D,20210625,000000,4.88,4.88,4.8,4.8,7435,0
RCFL4OPL.PL,D,20210628,000000,5.2,5.2,5.2,5.2,300,0
RCFL4OPL.PL,D,20210629,000000,5.07,5.07,5.07,5.07,200,0
RCFL4OPL.PL,D,20210630,000000,5.1,5.1,5.1,5.1,200,0
RCFL4OPL.PL,D,20210715,000000,7.22,7.22,6.88,6.92,37445,0
RCFL4OPL.PL,D,20210719,000000,6.86,6.86,6.86,6.86,300,0
RCFL4OPL.PL,D,20210906,000000,9.65,9.65,9.65,9.65,100,0
RCFL4OPL.PL,D,20210907,000000,10,10,9.54,9.54,67,0
RCFL4OPL.PL,D,20210910,000000,8.24,8.24,8.24,8.24,47,0
RCFL4OPL.PL,D,20210913,000000,9.16,9.23,9.16,9.23,12,0
RCFL4OPL.PL,D,20210914,000000,9.47,9.87,9.47,9.87,451,0
RCFL4OPL.PL,D,20210915,000000,10.12,10.12,10.12,10.12,10,0
RCFL4OPL.PL,D,20210916,000000,9.09,9.2,8.84,8.84,35,0
RCFL4OPL.PL,D,20210917,000000,7.86,7.86,7.86,7.86,175,0
RCFL4OPL.PL,D,20210921,000000,8.88,8.88,8.88,8.88,400,0
RCFL4OPL.PL,D,20210928,000000,10.08,10.08,10.08,10.08,150,0
RCFL4OPL.PL,D,20211012,000000,8.19,8.19,8.19,8.19,150,0
RCFL4OPL.PL,D,20211108,000000,7.91,7.91,7.7,7.7,400,0
RCFL4OPL.PL,D,20211119,000000,9.94,10.12,9.94,10.12,400,0
RCFL4OPL.PL,D,20211122,000000,11,11,11,11,45,0
RCFL4OPL.PL,D,20211125,000000,11,11,11,11,400,0
RCFL4OPL.PL,D,20211203,000000,9.67,9.7,9.4,9.4,405,0
RCFL4OPL.PL,D,20211215,000000,7.35,7.35,7.35,7.35,200,0
RCFL4OPL.PL,D,20211230,000000,10.2,10.42,10.2,10.42,405,0
RCFL4OPL.PL,D,20220103,000000,10.38,10.38,10.36,10.36,300,0
RCFL4OPL.PL,D,20220217,000000,6.99,6.99,6.99,6.99,200,0
RCFL4OPL.PL,D,20220218,000000,8.5,8.5,8.5,8.5,350,0
RCFL4OPL.PL,D,20220223,000000,7.13,7.13,6.46,6.46,1199,0
RCFL4OPL.PL,D,20220224,000000,6.09,6.15,6.09,6.15,1199,0
RCFL4OPL.PL,D,20220328,000000,6.68,6.68,6.68,6.68,350,0
RCFL4OPL.PL,D,20220329,000000,6.45,6.45,6.45,6.45,300,0
RCFL4OPL.PL,D,20220421,000000,4.26,4.26,4.24,4.24,1800,0
RCFL4OPL.PL,D,20220422,000000,4,4,3.75,3.75,5650,0
RCFL4OPL.PL,D,20220425,000000,3.91,3.91,3.91,3.91,485,0
RCFL4OPL.PL,D,20220426,000000,3.43,3.43,3.07,3.08,9064,0
RCFL4OPL.PL,D,20220428,000000,2.95,3.15,2.93,3.03,2656,0
RCFL4OPL.PL,D,20220429,000000,2.73,2.81,2.71,2.71,4262,0
RCFL4OPL.PL,D,20220504,000000,2.79,2.79,2.79,2.79,500,0
RCFL4OPL.PL,D,20220505,000000,2.39,2.39,2.39,2.39,950,0
RCFL4OPL.PL,D,20220506,000000,2.12,2.12,2.12,2.12,300,0
RCFL4OPL.PL,D,20220509,000000,2.06,2.06,2.06,2.06,550,0
RCFL4OPL.PL,D,20220511,000000,2.07,2.1,2,2.02,18200,0
RCFL4OPL.PL,D,20220513,000000,2.15,2.15,2.15,2.15,128,0
RCFL4OPL.PL,D,20220517,000000,2.04,2.04,2.04,2.04,221,0
RCFL4OPL.PL,D,20220518,000000,1.99,1.99,1.99,1.99,100,0
RCFL4OPL.PL,D,20220523,000000,1.83,1.87,1.83,1.87,2017,0
RCFL4OPL.PL,D,20220524,000000,2.16,2.16,2.11,2.11,2017,0
RCFL4OPL.PL,D,20220530,000000,1.85,1.85,1.85,1.85,1079,0
RCFL4OPL.PL,D,20220606,000000,1.84,1.88,1.84,1.88,2421,0
RCFL4OPL.PL,D,20220607,000000,1.75,1.75,1.75,1.75,906,0
RCFL4OPL.PL,D,20220608,000000,1.67,1.67,1.55,1.55,5483,0
RCFL4OPL.PL,D,20220609,000000,1.43,1.43,1.4,1.42,3225,0
RCFL4OPL.PL,D,20220613,000000,1.29,1.29,1.26,1.26,3664,0
RCFL4OPL.PL,D,20220615,000000,1.32,1.32,1.32,1.32,450,0
RCFL4OPL.PL,D,20220617,000000,1.23,1.24,1.23,1.24,3000,0
RCFL4OPL.PL,D,20220704,000000,2.23,2.23,2.23,2.23,470,0
RCFL4OPL.PL,D,20220705,000000,2.12,2.12,2.12,2.12,1480,0
RCFL4OPL.PL,D,20220706,000000,2.24,2.24,2.24,2.24,555,0
RCFL4OPL.PL,D,20220712,000000,2.13,2.13,2.13,2.13,900,0
RCFL4OPL.PL,D,20220804,000000,1.55,1.56,1.55,1.56,3555,0
RCFL4OPL.PL,D,20220808,000000,1.87,1.87,1.87,1.87,3000,0
