<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL4PGE.PL,D,20200518,000000,7.16,7.16,7.16,7.16,300,0
RCFL4PGE.PL,D,20200527,000000,8.22,8.22,8.22,8.22,300,0
RCFL4PGE.PL,D,20200529,000000,10.97,10.97,10.97,10.97,167,0
RCFL4PGE.PL,D,20200601,000000,13.08,13.08,13.08,13.08,167,0
RCFL4PGE.PL,D,20200602,000000,17.58,18.66,17.58,18.66,1089,0
RCFL4PGE.PL,D,20200603,000000,18.72,25.2,18.72,22.25,5783,0
RCFL4PGE.PL,D,20200604,000000,21.2,22,20.95,21.1,932,0
RCFL4PGE.PL,D,20200605,000000,24.95,29.3,24.95,29.3,720,0
RCFL4PGE.PL,D,20200608,000000,27.8,30.15,27.8,29.2,7080,0
RCFL4PGE.PL,D,20200615,000000,49.55,50.7,49.55,50.7,220,0
RCFL4PGE.PL,D,20200616,000000,46.9,46.9,46.9,46.9,66,0
RCFL4PGE.PL,D,20200618,000000,44.25,52,44.25,52,160,0
RCFL4PGE.PL,D,20200619,000000,64,64,60,60,245,0
RCFL4PGE.PL,D,20200622,000000,59,59,59,59,83,0
RCFL4PGE.PL,D,20200623,000000,62,62,62,62,500,0
RCFL4PGE.PL,D,20200624,000000,44.9,44.95,44.9,44.95,102,0
RCFL4PGE.PL,D,20200625,000000,33.4,33.4,33.4,33.4,25,0
RCFL4PGE.PL,D,20200629,000000,30,30,30,30,18,0
RCFL4PGE.PL,D,20200630,000000,34.7,34.7,34.7,34.7,100,0
RCFL4PGE.PL,D,20200702,000000,34.4,34.4,34.4,34.4,100,0
RCFL4PGE.PL,D,20200703,000000,35.4,35.4,35.4,35.4,100,0
RCFL4PGE.PL,D,20200713,000000,35.5,35.7,35.5,35.7,158,0
RCFL4PGE.PL,D,20200715,000000,30.85,30.85,30.6,30.6,158,0
RCFL4PGE.PL,D,20200720,000000,26.75,46.3,26.75,46.3,1155,0
RCFL4PGE.PL,D,20200721,000000,56.5,56.5,41.1,41.1,885,0
RCFL4PGE.PL,D,20200722,000000,34,40.35,34,40.35,130,0
RCFL4PGE.PL,D,20200723,000000,35.5,35.5,35.5,35.5,100,0
RCFL4PGE.PL,D,20200724,000000,30.15,30.15,29.95,29.95,300,0
RCFL4PGE.PL,D,20200727,000000,31.75,31.75,31.75,31.75,300,0
RCFL4PGE.PL,D,20200728,000000,35,35,35,35,300,0
RCFL4PGE.PL,D,20200729,000000,27.95,27.95,27.85,27.85,400,0
RCFL4PGE.PL,D,20200731,000000,22.6,22.6,22.6,22.6,200,0
RCFL4PGE.PL,D,20200803,000000,22.6,22.6,22.6,22.6,88,0
RCFL4PGE.PL,D,20200805,000000,19.84,21.65,19.84,21.65,380,0
RCFL4PGE.PL,D,20200806,000000,19.82,19.82,19.82,19.82,250,0
RCFL4PGE.PL,D,20200807,000000,16.2,16.2,16.2,16.2,320,0
RCFL4PGE.PL,D,20200810,000000,18,18,18,18,111,0
RCFL4PGE.PL,D,20200820,000000,16.84,16.84,16.84,16.84,300,0
RCFL4PGE.PL,D,20200825,000000,16.44,16.44,16.44,16.44,300,0
RCFL4PGE.PL,D,20200827,000000,15,15,14.82,14.82,440,0
RCFL4PGE.PL,D,20200831,000000,12.24,12.24,12.24,12.24,300,0
RCFL4PGE.PL,D,20200901,000000,11.74,11.74,10.28,10.28,500,0
RCFL4PGE.PL,D,20200902,000000,10.56,10.56,10.56,10.56,1000,0
RCFL4PGE.PL,D,20200903,000000,12.1,12.62,10.18,10.18,19496,0
RCFL4PGE.PL,D,20200904,000000,10.56,10.56,10.56,10.56,500,0
RCFL4PGE.PL,D,20200907,000000,8.49,9.36,8.22,8.22,32871,0
RCFL4PGE.PL,D,20200908,000000,9.77,11,9.77,10.42,500,0
RCFL4PGE.PL,D,20200909,000000,9.42,9.42,9.42,9.42,1000,0
RCFL4PGE.PL,D,20200910,000000,8.63,8.63,8.63,8.63,1000,0
RCFL4PGE.PL,D,20200911,000000,8.66,8.66,8.66,8.66,22,0
RCFL4PGE.PL,D,20200914,000000,8.55,8.55,8.02,8.02,1000,0
RCFL4PGE.PL,D,20200915,000000,7.97,8.33,7.97,8.33,1310,0
RCFL4PGE.PL,D,20200916,000000,6.85,6.85,6.79,6.79,530,0
RCFL4PGE.PL,D,20200917,000000,7.77,8.05,7.77,8.05,3000,0
RCFL4PGE.PL,D,20200921,000000,6.07,6.07,5.53,5.55,1086,0
RCFL4PGE.PL,D,20200922,000000,5.49,5.49,5.49,5.49,200,0
RCFL4PGE.PL,D,20200924,000000,4.99,4.99,4.8,4.96,1100,0
RCFL4PGE.PL,D,20200925,000000,8.34,8.34,7.79,7.79,90,0
RCFL4PGE.PL,D,20200928,000000,10.54,11.62,10.54,10.7,3230,0
RCFL4PGE.PL,D,20200929,000000,10.76,10.76,10.76,10.76,1000,0
RCFL4PGE.PL,D,20201001,000000,13.34,13.34,13.34,13.34,1040,0
RCFL4PGE.PL,D,20201005,000000,14,14,14,14,500,0
RCFL4PGE.PL,D,20201009,000000,6.96,7.77,6.96,7.77,166,0
RCFL4PGE.PL,D,20201012,000000,6.52,6.52,6.52,6.52,38,0
RCFL4PGE.PL,D,20201016,000000,5.06,5.06,5.06,5.06,97,0
RCFL4PGE.PL,D,20201019,000000,6.02,6.02,6.02,6.02,42,0
RCFL4PGE.PL,D,20201027,000000,3.79,3.79,3.79,3.79,600,0
RCFL4PGE.PL,D,20201028,000000,2.99,2.99,2.78,2.78,1280,0
RCFL4PGE.PL,D,20201029,000000,2.37,2.37,2.1,2.1,1000,0
RCFL4PGE.PL,D,20201103,000000,2.98,2.98,2.98,2.98,600,0
RCFL4PGE.PL,D,20201104,000000,3.3,3.3,3.3,3.3,600,0
RCFL4PGE.PL,D,20201105,000000,4.08,4.08,3.99,3.99,2200,0
RCFL4PGE.PL,D,20201106,000000,3.3,3.3,3.3,3.3,400,0
RCFL4PGE.PL,D,20201109,000000,3.65,5.28,3.65,5.28,1450,0
RCFL4PGE.PL,D,20201110,000000,4.92,5.96,4.92,5.96,300,0
RCFL4PGE.PL,D,20201112,000000,5.87,5.87,5.87,5.87,500,0
RCFL4PGE.PL,D,20201117,000000,5.63,5.63,5.63,5.63,1000,0
RCFL4PGE.PL,D,20201118,000000,6.39,6.39,6.39,6.39,200,0
RCFL4PGE.PL,D,20201119,000000,5.51,5.58,5.51,5.58,2000,0
RCFL4PGE.PL,D,20201120,000000,5.47,5.47,5.47,5.47,200,0
RCFL4PGE.PL,D,20201123,000000,6.21,6.23,6.21,6.23,650,0
RCFL4PGE.PL,D,20201124,000000,5.67,5.67,5.67,5.67,150,0
RCFL4PGE.PL,D,20201126,000000,5.66,5.66,5.66,5.66,150,0
RCFL4PGE.PL,D,20201203,000000,3.99,3.99,3.99,3.99,500,0
RCFL4PGE.PL,D,20201209,000000,6.77,6.77,6.46,6.7,4500,0
RCFL4PGE.PL,D,20201210,000000,7.96,7.96,7.24,7.72,4111,0
RCFL4PGE.PL,D,20201211,000000,7.54,7.54,7.54,7.54,35,0
RCFL4PGE.PL,D,20201215,000000,7.23,7.25,7.23,7.25,4960,0
RCFL4PGE.PL,D,20201216,000000,7.85,8.09,7.85,8.09,400,0
