<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL4PKO3.PL,D,20220228,000000,2.46,2.7,2.46,2.7,20000,0
RCFL4PKO3.PL,D,20220301,000000,2.87,2.87,2.21,2.21,11150,0
RCFL4PKO3.PL,D,20220303,000000,2.01,2.1,1.92,1.92,6000,0
RCFL4PKO3.PL,D,20220304,000000,1.68,1.68,1.68,1.68,5000,0
RCFL4PKO3.PL,D,20220307,000000,0.98,1.21,0.85,1.21,68675,0
RCFL4PKO3.PL,D,20220308,000000,1.34,1.36,1.34,1.36,11945,0
RCFL4PKO3.PL,D,20220309,000000,1.39,1.47,1.39,1.47,32500,0
RCFL4PKO3.PL,D,20220318,000000,2.15,2.15,2.15,2.15,19000,0
RCFL4PKO3.PL,D,20220322,000000,2.04,2.07,2.01,2.02,9000,0
RCFL4PKO3.PL,D,20220323,000000,2.05,2.05,2.02,2.02,3000,0
RCFL4PKO3.PL,D,20220324,000000,1.99,1.99,1.9,1.9,10000,0
RCFL4PKO3.PL,D,20220330,000000,2.22,2.22,2.22,2.22,12000,0
RCFL4PKO3.PL,D,20220407,000000,2.15,2.17,2.12,2.12,18000,0
RCFL4PKO3.PL,D,20220411,000000,2,2,2,2,7000,0
RCFL4PKO3.PL,D,20220412,000000,1.8,1.8,1.75,1.75,5000,0
RCFL4PKO3.PL,D,20220413,000000,1.67,1.67,1.67,1.67,6000,0
RCFL4PKO3.PL,D,20220414,000000,1.71,1.71,1.7,1.7,11750,0
RCFL4PKO3.PL,D,20220419,000000,1.65,1.65,1.54,1.54,3139,0
RCFL4PKO3.PL,D,20220421,000000,1.76,1.76,1.76,1.76,14889,0
RCFL4PKO3.PL,D,20220425,000000,1.15,1.16,1.12,1.16,18314,0
RCFL4PKO3.PL,D,20220426,000000,1.12,1.12,1.12,1.12,200,0
RCFL4PKO3.PL,D,20220429,000000,0.97,0.97,0.9,0.91,13547,0
RCFL4PKO3.PL,D,20220502,000000,0.85,0.85,0.81,0.81,8971,0
RCFL4PKO3.PL,D,20220504,000000,0.82,0.82,0.76,0.76,5587,0
RCFL4PKO3.PL,D,20220505,000000,0.75,0.75,0.72,0.72,10944,0
RCFL4PKO3.PL,D,20220510,000000,0.59,0.59,0.59,0.59,12460,0
RCFL4PKO3.PL,D,20220511,000000,0.54,0.55,0.54,0.55,3927,0
RCFL4PKO3.PL,D,20220512,000000,0.45,0.54,0.45,0.51,4430,0
RCFL4PKO3.PL,D,20220513,000000,0.56,0.62,0.56,0.62,60,0
RCFL4PKO3.PL,D,20220516,000000,0.64,0.7,0.59,0.59,5134,0
RCFL4PKO3.PL,D,20220518,000000,0.72,0.72,0.7,0.7,12000,0
RCFL4PKO3.PL,D,20220519,000000,0.64,0.64,0.64,0.64,2000,0
RCFL4PKO3.PL,D,20220524,000000,0.7,0.76,0.7,0.73,5857,0
RCFL4PKO3.PL,D,20220525,000000,0.71,0.71,0.71,0.71,5322,0
RCFL4PKO3.PL,D,20220527,000000,0.64,0.65,0.64,0.65,2500,0
RCFL4PKO3.PL,D,20220530,000000,0.68,0.73,0.68,0.73,3967,0
RCFL4PKO3.PL,D,20220603,000000,0.66,0.66,0.61,0.61,9437,0
RCFL4PKO3.PL,D,20220606,000000,0.66,0.66,0.66,0.66,5013,0
RCFL4PKO3.PL,D,20220608,000000,0.57,0.57,0.57,0.57,1215,0
RCFL4PKO3.PL,D,20220609,000000,0.59,0.59,0.55,0.55,3190,0
RCFL4PKO3.PL,D,20220610,000000,0.47,0.49,0.46,0.49,17250,0
RCFL4PKO3.PL,D,20220613,000000,0.36,0.36,0.36,0.36,430,0
RCFL4PKO3.PL,D,20220614,000000,0.38,0.38,0.38,0.38,10605,0
RCFL4PKO3.PL,D,20220617,000000,0.4,0.4,0.4,0.4,4000,0
RCFL4PKO3.PL,D,20220623,000000,0.39,0.41,0.39,0.41,6000,0
RCFL4PKO3.PL,D,20220704,000000,0.28,0.33,0.28,0.33,32700,0
RCFL4PKO3.PL,D,20220705,000000,0.35,0.35,0.29,0.29,2210,0
RCFL4PKO3.PL,D,20220728,000000,0.24,0.24,0.24,0.24,10,0
RCFL4PKO3.PL,D,20220804,000000,0.25,0.25,0.25,0.25,2200,0
RCFL4PKO3.PL,D,20220809,000000,0.3,0.3,0.3,0.3,2200,0
RCFL4PKO3.PL,D,20220810,000000,0.26,0.3,0.26,0.3,3000,0
RCFL4PKO3.PL,D,20220817,000000,0.25,0.25,0.25,0.25,3500,0
RCFL4PKO3.PL,D,20220818,000000,0.23,0.23,0.23,0.23,10000,0
RCFL4PKO3.PL,D,20220824,000000,0.22,0.22,0.22,0.22,12000,0
RCFL4PKO3.PL,D,20220901,000000,0.18,0.18,0.18,0.18,900,0
RCFL4PKO3.PL,D,20220902,000000,0.17,0.17,0.17,0.17,5000,0
