<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL4RDGB.PL,D,20200326,000000,0.46,0.46,0.46,0.46,10,0
RCFL4RDGB.PL,D,20200408,000000,0.6,0.6,0.6,0.6,1,0
RCFL4RDGB.PL,D,20200414,000000,0.67,0.67,0.67,0.67,25,0
RCFL4RDGB.PL,D,20200420,000000,0.45,0.45,0.45,0.45,100,0
RCFL4RDGB.PL,D,20200424,000000,0.46,0.46,0.46,0.46,100,0
RCFL4RDGB.PL,D,20200430,000000,0.37,0.37,0.37,0.37,15,0
RCFL4RDGB.PL,D,20200504,000000,0.27,0.27,0.27,0.27,30,0
RCFL4RDGB.PL,D,20200511,000000,0.28,0.32,0.28,0.32,70,0
RCFL4RDGB.PL,D,20200513,000000,0.27,0.27,0.27,0.27,120,0
RCFL4RDGB.PL,D,20200515,000000,0.24,0.24,0.19,0.19,651,0
RCFL4RDGB.PL,D,20200716,000000,0.22,0.22,0.22,0.22,2000,0
RCFL4RDGB.PL,D,20200720,000000,0.15,0.15,0.15,0.15,2000,0
RCFL4RDGB.PL,D,20200728,000000,0.18,0.18,0.18,0.18,10,0
RCFL4RDGB.PL,D,20201125,000000,0.19,0.19,0.19,0.19,461,0
RCFL4RDGB.PL,D,20201127,000000,0.18,0.18,0.18,0.18,200,0
RCFL4RDGB.PL,D,20201130,000000,0.14,0.14,0.14,0.14,661,0
RCFL4RDGB.PL,D,20210330,000000,0.24,0.24,0.24,0.24,4000,0
RCFL4RDGB.PL,D,20210910,000000,0.16,0.16,0.16,0.16,10,0
RCFL4RDGB.PL,D,20210929,000000,0.27,0.27,0.27,0.27,4000,0
