<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL4TKAG.PL,D,20210615,000000,112.6,112.6,112.6,112.6,10,0
RCFL4TKAG.PL,D,20210616,000000,66.8,66.8,66.8,66.8,11,0
RCFL4TKAG.PL,D,20211105,000000,51.1,51.6,51.1,51.6,1000,0
RCFL4TKAG.PL,D,20211116,000000,72.1,72.1,71.9,71.9,1000,0
RCFL4TKAG.PL,D,20211129,000000,63.6,63.6,63.3,63.3,900,0
RCFL4TKAG.PL,D,20211130,000000,58.5,58.5,58.5,58.5,500,0
RCFL4TKAG.PL,D,20211203,000000,46.25,46.25,45.5,45.6,1400,0
RCFL4TKAG.PL,D,20220317,000000,16.22,16.22,16.22,16.22,30,0
RCFL4TKAG.PL,D,20220420,000000,7.78,7.8,7.74,7.74,101,0
RCFL4TKAG.PL,D,20220421,000000,7.96,8.98,7.96,8.88,3533,0
RCFL4TKAG.PL,D,20220427,000000,7.56,7.56,7.56,7.56,59,0
RCFL4TKAG.PL,D,20220511,000000,9.94,9.94,9.85,9.85,72,0
RCFL4TKAG.PL,D,20220512,000000,9.1,9.1,9.1,9.1,2,0
RCFL4TKAG.PL,D,20220518,000000,11.4,11.4,11.4,11.4,100,0
RCFL4TKAG.PL,D,20220519,000000,10.24,10.28,10.24,10.28,200,0
RCFL4TKAG.PL,D,20220525,000000,11.94,11.94,11.82,11.82,100,0
RCFL4TKAG.PL,D,20220624,000000,2.38,2.38,2.32,2.32,1426,0
RCFL4TKAG.PL,D,20220630,000000,1.52,1.61,1.52,1.61,1225,0
RCFL4TKAG.PL,D,20220701,000000,1.66,1.66,1.66,1.66,201,0
