<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL6FW20.PL,D,20201030,000000,4.15,4.15,4.15,4.15,100,0
RCFL6FW20.PL,D,20201103,000000,4.87,4.87,4.87,4.87,100,0
RCFL6FW20.PL,D,20210120,000000,15.42,15.96,15.42,15.96,526,0
RCFL6FW20.PL,D,20210126,000000,14.46,15.08,14.46,15.08,360,0
RCFL6FW20.PL,D,20210127,000000,16.12,16.12,16.12,16.12,80,0
RCFL6FW20.PL,D,20210128,000000,12.22,14.52,11.88,14.52,480,0
RCFL6FW20.PL,D,20210208,000000,14.98,14.98,13.94,13.94,540,0
RCFL6FW20.PL,D,20210216,000000,15.66,15.98,15.66,15.98,500,0
RCFL6FW20.PL,D,20210217,000000,16,16,16,16,250,0
RCFL6FW20.PL,D,20210218,000000,15.84,15.84,15.84,15.84,125,0
RCFL6FW20.PL,D,20210301,000000,12.26,12.26,12.26,12.26,125,0
RCFL6FW20.PL,D,20210302,000000,13.74,13.74,13.74,13.74,100,0
RCFL6FW20.PL,D,20210304,000000,12.78,12.96,12.74,12.96,400,0
RCFL6FW20.PL,D,20210309,000000,15.1,15.1,15.1,15.1,60,0
RCFL6FW20.PL,D,20210315,000000,16.42,16.42,16.42,16.42,200,0
RCFL6FW20.PL,D,20210317,000000,11.96,11.96,11.96,11.96,100,0
RCFL6FW20.PL,D,20210318,000000,12.96,12.96,12.96,12.96,400,0
RCFL6FW20.PL,D,20210324,000000,11.56,11.56,11.56,11.56,100,0
RCFL6FW20.PL,D,20210408,000000,13.9,13.9,13.9,13.9,4,0
RCFL6FW20.PL,D,20210414,000000,14.48,14.48,14.48,14.48,100,0
RCFL6FW20.PL,D,20210419,000000,15.34,15.34,15.34,15.34,100,0
RCFL6FW20.PL,D,20210420,000000,14.7,14.7,13.92,14.02,600,0
RCFL6FW20.PL,D,20210421,000000,13.96,13.96,13.96,13.96,100,0
RCFL6FW20.PL,D,20210422,000000,14.14,14.14,14.14,14.14,100,0
RCFL6FW20.PL,D,20210423,000000,13.88,13.88,13.02,13.02,200,0
RCFL6FW20.PL,D,20210426,000000,13.96,13.96,13.92,13.92,300,0
RCFL6FW20.PL,D,20210427,000000,14.36,14.36,14.36,14.36,100,0
RCFL6FW20.PL,D,20210505,000000,14.58,15.38,14.58,15.26,599,0
RCFL6FW20.PL,D,20210507,000000,17.8,17.8,17.8,17.8,4,0
RCFL6FW20.PL,D,20210824,000000,29.65,29.75,29.65,29.75,65,0
RCFL6FW20.PL,D,20210826,000000,31.6,31.6,31.6,31.6,18,0
RCFL6FW20.PL,D,20210831,000000,34.6,34.6,34.55,34.55,18,0
RCFL6FW20.PL,D,20210909,000000,33.65,33.65,33.65,33.65,66,0
RCFL6FW20.PL,D,20210929,000000,30.25,30.25,30.25,30.25,80,0
RCFL6FW20.PL,D,20211004,000000,33,33,33,33,80,0
RCFL6FW20.PL,D,20211118,000000,27.15,27.15,27.15,27.15,1000,0
RCFL6FW20.PL,D,20211119,000000,23.9,23.9,23.9,23.9,1000,0
RCFL6FW20.PL,D,20211129,000000,18.34,18.34,18.34,18.34,166,0
RCFL6FW20.PL,D,20211208,000000,23.05,23.05,23.05,23.05,140,0
RCFL6FW20.PL,D,20211214,000000,21.7,21.7,21.7,21.7,166,0
RCFL6FW20.PL,D,20211230,000000,23.2,23.2,23.2,23.2,140,0
RCFL6FW20.PL,D,20220215,000000,17.62,17.62,17.62,17.62,109,0
RCFL6FW20.PL,D,20220216,000000,18.56,18.56,18.56,18.56,109,0
RCFL6FW20.PL,D,20220218,000000,16.5,16.5,16.5,16.5,122,0
RCFL6FW20.PL,D,20220224,000000,6.38,6.38,2.9,4.54,1132,0
RCFL6FW20.PL,D,20220304,000000,4.61,4.61,4.61,4.61,333,0
RCFL6FW20.PL,D,20220307,000000,4.04,4.04,4.04,4.04,248,0
RCFL6FW20.PL,D,20220310,000000,4.4,4.4,4.4,4.4,370,0
RCFL6FW20.PL,D,20220511,000000,1.56,1.56,1.56,1.56,500,0
RCFL6FW20.PL,D,20220512,000000,1.32,1.36,1.32,1.36,4000,0
RCFL6FW20.PL,D,20220516,000000,1.81,1.92,1.81,1.92,37500,0
RCFL6FW20.PL,D,20220517,000000,2.08,2.08,2.08,2.08,700,0
RCFL6FW20.PL,D,20220519,000000,1.79,1.86,1.67,1.86,37040,0
RCFL6FW20.PL,D,20220520,000000,2.02,2.02,1.96,1.96,4328,0
RCFL6FW20.PL,D,20220530,000000,2.15,2.15,2.15,2.15,500,0
RCFL6FW20.PL,D,20220531,000000,2.26,2.26,2.26,2.26,1888,0
RCFL6FW20.PL,D,20220609,000000,1.78,1.78,1.78,1.78,700,0
RCFL6FW20.PL,D,20220614,000000,1.26,1.26,1.26,1.26,1000,0
RCFL6FW20.PL,D,20220622,000000,1.19,1.19,1.19,1.19,5000,0
RCFL6FW20.PL,D,20220628,000000,1.4,1.4,1.4,1.4,5000,0
RCFL6FW20.PL,D,20220705,000000,1.08,1.08,1.08,1.08,1500,0
RCFL6FW20.PL,D,20220707,000000,1.14,1.14,1.14,1.14,1500,0
RCFL6FW20.PL,D,20220805,000000,1.05,1.05,1.05,1.05,947,0
RCFL6FW20.PL,D,20220808,000000,0.99,0.99,0.99,0.99,947,0
RCFL6FW20.PL,D,20220810,000000,0.98,1.08,0.98,1.08,2030,0
RCFL6FW20.PL,D,20220817,000000,1.1,1.1,1.1,1.1,904,0
RCFL6FW20.PL,D,20220819,000000,1.01,1.01,1.01,1.01,3502,0
RCFL6FW20.PL,D,20220824,000000,0.86,0.86,0.8,0.8,4906,0
RCFL6FW20.PL,D,20220825,000000,0.88,0.88,0.88,0.88,500,0
RCFL6FW20.PL,D,20220829,000000,0.65,0.65,0.65,0.65,1850,0
RCFL6FW20.PL,D,20220830,000000,0.69,0.69,0.69,0.69,1150,0
RCFL6FW20.PL,D,20220831,000000,0.57,0.57,0.57,0.57,1745,0
RCFL6FW20.PL,D,20220901,000000,0.5,0.5,0.47,0.48,5078,0
RCFL6FW20.PL,D,20220902,000000,0.42,0.42,0.42,0.42,2444,0
