<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS2ESX.PL,D,20120921,000000,90.31,90.31,90.31,90.31,50,0
RCFS2ESX.PL,D,20120924,000000,90.94,90.94,90.94,90.94,25,0
RCFS2ESX.PL,D,20120925,000000,88.73,88.73,88.73,88.73,25,0
RCFS2ESX.PL,D,20140801,000000,47.11,47.11,47.11,47.11,17,0
RCFS2ESX.PL,D,20140814,000000,47.11,47.11,47.11,47.11,17,0
RCFS2ESX.PL,D,20140828,000000,45.23,45.23,45.23,45.23,45,0
RCFS2ESX.PL,D,20140902,000000,43.82,43.82,43.82,43.82,45,0
RCFS2ESX.PL,D,20150817,000000,30.05,30.05,30.05,30.05,1000,0
RCFS2ESX.PL,D,20150818,000000,29.75,29.75,29.75,29.75,30,0
RCFS2ESX.PL,D,20150819,000000,30.07,30.07,30.07,30.07,30,0
RCFS2ESX.PL,D,20150825,000000,34.96,34.96,34.96,34.96,250,0
RCFS2ESX.PL,D,20151023,000000,29.33,29.33,29.33,29.33,25,0
RCFS2ESX.PL,D,20151029,000000,29.77,29.77,29.77,29.77,15,0
RCFS2ESX.PL,D,20151030,000000,29.62,29.62,29.62,29.62,17,0
RCFS2ESX.PL,D,20151102,000000,28.98,28.98,28.98,28.98,40,0
RCFS2ESX.PL,D,20151104,000000,28.61,28.88,28.61,28.88,60,0
RCFS2ESX.PL,D,20151105,000000,28.46,28.46,28.46,28.46,21,0
RCFS2ESX.PL,D,20151109,000000,28.63,28.9,28.63,28.9,60,0
RCFS2ESX.PL,D,20151116,000000,30.2,30.22,30.2,30.22,77,0
RCFS2ESX.PL,D,20151117,000000,28.68,28.68,28.68,28.68,39,0
RCFS2ESX.PL,D,20151120,000000,28.52,28.52,28.52,28.52,36,0
RCFS2ESX.PL,D,20151124,000000,29.3,29.3,29.3,29.3,36,0
RCFS2ESX.PL,D,20151125,000000,28.51,28.51,28.51,28.51,36,0
RCFS2ESX.PL,D,20151130,000000,27.7,27.7,27.7,27.7,40,0
RCFS2ESX.PL,D,20151203,000000,30,30,30,30,76,0
RCFS2ESX.PL,D,20160113,000000,34.93,34.93,34.93,34.93,30,0
RCFS2ESX.PL,D,20160114,000000,38.01,38.17,37.02,37.02,70,0
RCFS2ESX.PL,D,20160118,000000,39.99,39.99,39.99,39.99,135,0
RCFS2ESX.PL,D,20160119,000000,38.2,38.99,38.2,38.99,890,0
RCFS2ESX.PL,D,20160120,000000,41.48,41.48,41.27,41.27,639,0
RCFS2ESX.PL,D,20160208,000000,40.56,40.56,40.56,40.56,100,0
RCFS2ESX.PL,D,20160209,000000,42.86,42.86,42.86,42.86,100,0
RCFS2ESX.PL,D,20160210,000000,42.99,42.99,42,42,65,0
RCFS2ESX.PL,D,20160211,000000,46.33,46.4,46.33,46.4,37,0
RCFS2ESX.PL,D,20160215,000000,41.35,41.35,40.65,40.65,50,0
RCFS2ESX.PL,D,20160301,000000,36.88,36.88,36.23,36.23,37,0
RCFS2ESX.PL,D,20160304,000000,35.04,35.04,35.04,35.04,4000,0
RCFS2ESX.PL,D,20160317,000000,35.42,35.42,35.42,35.42,40,0
RCFS2ESX.PL,D,20160413,000000,33.87,33.87,33.87,33.87,40,0
RCFS2ESX.PL,D,20160414,000000,33.97,34.04,33.97,34.04,125,0
RCFS2ESX.PL,D,20160419,000000,32.5,32.5,32.2,32.21,155,0
RCFS2ESX.PL,D,20160505,000000,35.63,35.63,35.63,35.63,30,0
