<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS2GAMES.PL,D,20200612,000000,3.96,3.96,3.96,3.96,100,0
RCFS2GAMES.PL,D,20200622,000000,3.38,3.38,3.38,3.38,1200,0
RCFS2GAMES.PL,D,20200630,000000,3.43,3.43,3.43,3.43,800,0
RCFS2GAMES.PL,D,20200708,000000,3.09,3.09,3.09,3.09,3289,0
RCFS2GAMES.PL,D,20200709,000000,3.15,3.15,3.15,3.15,4000,0
RCFS2GAMES.PL,D,20200710,000000,3.26,3.26,3.26,3.26,2380,0
RCFS2GAMES.PL,D,20200713,000000,3.23,3.23,3.23,3.23,500,0
RCFS2GAMES.PL,D,20200714,000000,3.41,3.42,3.35,3.42,1500,0
RCFS2GAMES.PL,D,20200715,000000,3.06,3.06,3.06,3.06,500,0
RCFS2GAMES.PL,D,20200720,000000,3.2,3.2,3.2,3.2,1000,0
RCFS2GAMES.PL,D,20200721,000000,3.22,3.22,3.22,3.22,2000,0
RCFS2GAMES.PL,D,20200723,000000,3.31,3.31,3.31,3.31,1000,0
RCFS2GAMES.PL,D,20200727,000000,3.18,3.18,3.18,3.18,1000,0
RCFS2GAMES.PL,D,20200728,000000,3.27,3.27,3.27,3.27,1200,0
RCFS2GAMES.PL,D,20200729,000000,3.21,3.21,3.21,3.21,500,0
RCFS2GAMES.PL,D,20200807,000000,3.11,3.11,3.11,3.11,1000,0
RCFS2GAMES.PL,D,20200814,000000,3.07,3.07,3.07,3.07,3000,0
RCFS2GAMES.PL,D,20200819,000000,3,3,3,3,2000,0
RCFS2GAMES.PL,D,20200827,000000,2.88,2.88,2.88,2.88,1500,0
RCFS2GAMES.PL,D,20200904,000000,3.08,3.08,3.08,3.08,2000,0
RCFS2GAMES.PL,D,20200910,000000,3.1,3.1,3.1,3.1,3000,0
RCFS2GAMES.PL,D,20200915,000000,3.25,3.25,3.25,3.25,150,0
RCFS2GAMES.PL,D,20200916,000000,3.24,3.24,3.24,3.24,110,0
RCFS2GAMES.PL,D,20200917,000000,3.27,3.27,3.26,3.26,280,0
RCFS2GAMES.PL,D,20200921,000000,3.38,3.38,3.38,3.38,40,0
RCFS2GAMES.PL,D,20200929,000000,2.94,2.94,2.94,2.94,150,0
RCFS2GAMES.PL,D,20201007,000000,3.32,3.35,3.32,3.35,580,0
RCFS2GAMES.PL,D,20201008,000000,3.22,3.22,3.22,3.22,10000,0
RCFS2GAMES.PL,D,20201012,000000,3.11,3.11,3.11,3.11,150,0
RCFS2GAMES.PL,D,20201013,000000,2.9,2.9,2.86,2.86,10500,0
RCFS2GAMES.PL,D,20201014,000000,2.8,2.8,2.8,2.8,1500,0
RCFS2GAMES.PL,D,20201105,000000,2.6,2.6,2.6,2.6,3500,0
RCFS2GAMES.PL,D,20201109,000000,2.5,2.5,2.5,2.5,1000,0
RCFS2GAMES.PL,D,20201203,000000,2.84,2.84,2.84,2.84,1500,0
RCFS2GAMES.PL,D,20201209,000000,2.9,2.9,2.9,2.9,500,0
RCFS2GAMES.PL,D,20201214,000000,3.9,3.9,3.69,3.69,2000,0
RCFS2GAMES.PL,D,20201216,000000,3.53,3.53,3.53,3.53,1000,0
RCFS2GAMES.PL,D,20201218,000000,3.9,3.9,3.73,3.73,7380,0
RCFS2GAMES.PL,D,20201221,000000,3.9,3.97,3.9,3.97,3000,0
RCFS2GAMES.PL,D,20201222,000000,3.86,3.88,3.86,3.88,10000,0
RCFS2GAMES.PL,D,20201223,000000,3.89,3.89,3.89,3.89,2000,0
RCFS2GAMES.PL,D,20201229,000000,3.4,3.4,3.4,3.4,2000,0
RCFS2GAMES.PL,D,20210104,000000,3.36,3.36,3.27,3.27,4589,0
RCFS2GAMES.PL,D,20210107,000000,3.61,3.61,3.61,3.61,1000,0
RCFS2GAMES.PL,D,20210331,000000,3.86,3.86,3.83,3.83,5000,0
RCFS2GAMES.PL,D,20210412,000000,3.88,3.88,3.88,3.88,1000,0
RCFS2GAMES.PL,D,20210416,000000,4.11,4.11,4.11,4.11,2000,0
