<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS2PKN1.PL,D,20211011,000000,6.63,6.63,6.63,6.63,100,0
RCFS2PKN1.PL,D,20211013,000000,6.78,6.78,6.78,6.78,100,0
RCFS2PKN1.PL,D,20211124,000000,7.53,7.53,7.53,7.53,1000,0
RCFS2PKN1.PL,D,20211129,000000,9.16,9.16,9.16,9.16,1000,0
RCFS2PKN1.PL,D,20211209,000000,8.82,8.82,8.82,8.82,500,0
RCFS2PKN1.PL,D,20211214,000000,8.74,8.74,8.74,8.74,500,0
RCFS2PKN1.PL,D,20211216,000000,8.7,8.7,8.7,8.7,1000,0
RCFS2PKN1.PL,D,20211217,000000,8.8,8.8,8.8,8.8,500,0
RCFS2PKN1.PL,D,20220112,000000,6.93,6.93,6.93,6.93,500,0
RCFS2PKN1.PL,D,20220321,000000,6.77,6.77,6.77,6.77,4,0
RCFS2PKN1.PL,D,20220331,000000,6.46,6.46,6.46,6.46,4,0
