<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS2PZU.PL,D,20171220,000000,19.05,19.05,19.05,19.05,530,0
RCFS2PZU.PL,D,20180104,000000,16.5,16.5,16.5,16.5,530,0
RCFS2PZU.PL,D,20180105,000000,16.5,16.5,16.5,16.5,530,0
RCFS2PZU.PL,D,20180406,000000,19.19,19.19,19.19,19.19,70,0
RCFS2PZU.PL,D,20180412,000000,18.06,18.06,18.06,18.06,70,0
RCFS2PZU.PL,D,20180416,000000,18,18,18,18,1,0
RCFS2PZU.PL,D,20180418,000000,17.75,17.75,17.75,17.75,50,0
RCFS2PZU.PL,D,20180504,000000,18.65,18.65,18.65,18.65,50,0
RCFS2PZU.PL,D,20180524,000000,22.4,22.4,22.4,22.4,206,0
RCFS2PZU.PL,D,20180607,000000,20.36,20.36,20.36,20.36,206,0
RCFS2PZU.PL,D,20180718,000000,20.83,20.83,20.83,20.83,1,0
RCFS2PZU.PL,D,20180808,000000,16.67,16.67,16.67,16.67,55,0
RCFS2PZU.PL,D,20180813,000000,17.54,17.54,17.54,17.54,55,0
RCFS2PZU.PL,D,20180824,000000,15.45,15.45,15.45,15.45,100,0
RCFS2PZU.PL,D,20180903,000000,14.45,14.45,14.45,14.45,70,0
RCFS2PZU.PL,D,20180906,000000,14.69,14.69,14.69,14.69,70,0
RCFS2PZU.PL,D,20180912,000000,16,16,16,16,100,0
RCFS2PZU.PL,D,20181024,000000,16.44,16.44,16.44,16.44,60,0
RCFS2PZU.PL,D,20181025,000000,16.98,16.98,16.98,16.98,60,0
RCFS2PZU.PL,D,20181102,000000,15.41,15.41,15.41,15.41,65,0
RCFS2PZU.PL,D,20181119,000000,15.96,15.96,15.96,15.96,65,0
RCFS2PZU.PL,D,20181203,000000,13.25,13.25,13.25,13.25,80,0
RCFS2PZU.PL,D,20181212,000000,13.41,13.41,13.41,13.41,80,0
RCFS2PZU.PL,D,20200311,000000,19,19,19,19,100,0
RCFS2PZU.PL,D,20200313,000000,21.46,21.46,21.46,21.46,100,0
RCFS2PZU.PL,D,20200626,000000,16.7,16.7,16.7,16.7,180,0
RCFS2PZU.PL,D,20200715,000000,16.3,16.3,16.3,16.3,120,0
RCFS2PZU.PL,D,20200723,000000,16.78,16.78,16.78,16.78,110,0
RCFS2PZU.PL,D,20200727,000000,17.06,17.06,17.06,17.06,200,0
RCFS2PZU.PL,D,20200728,000000,16.94,16.94,16.94,16.94,100,0
RCFS2PZU.PL,D,20200730,000000,17.88,17.88,17.88,17.88,100,0
RCFS2PZU.PL,D,20200804,000000,17.3,17.3,17.3,17.3,210,0
RCFS2PZU.PL,D,20201028,000000,29.15,29.15,29.15,29.15,100,0
RCFS2PZU.PL,D,20201030,000000,27.35,27.35,27.3,27.3,200,0
RCFS2PZU.PL,D,20201102,000000,25.15,25.15,25.15,25.15,100,0
RCFS2PZU.PL,D,20201105,000000,24.4,24.4,24.35,24.35,200,0
RCFS2PZU.PL,D,20211102,000000,4.73,4.73,4.73,4.73,150,0
RCFS2PZU.PL,D,20211116,000000,4.99,4.99,4.99,4.99,150,0
