<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS3CBK1.PL,D,20181220,000000,25.3,25.3,25.3,25.3,30,0
RCFS3CBK1.PL,D,20190102,000000,28.3,28.3,28.3,28.3,30,0
RCFS3CBK1.PL,D,20190115,000000,21.34,21.34,21.34,21.34,37,0
RCFS3CBK1.PL,D,20190122,000000,16.29,16.29,16.29,16.29,37,0
RCFS3CBK1.PL,D,20190222,000000,14.43,14.43,14.35,14.35,57,0
RCFS3CBK1.PL,D,20190401,000000,10.48,10.48,10.48,10.48,57,0
RCFS3CBK1.PL,D,20200805,000000,2.4,2.4,2.4,2.4,40,0
RCFS3CBK1.PL,D,20210929,000000,0.36,0.36,0.36,0.36,110,0
RCFS3CBK1.PL,D,20211122,000000,0.21,0.21,0.21,0.21,150,0
RCFS3CBK1.PL,D,20211125,000000,0.2,0.2,0.2,0.2,200,0
