<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS3CCC2.PL,D,20210201,000000,8.57,8.57,8.57,8.57,100,0
RCFS3CCC2.PL,D,20210202,000000,8.8,10.1,8.7,8.72,2167,0
RCFS3CCC2.PL,D,20210204,000000,7.64,7.64,6.61,6.97,1704,0
RCFS3CCC2.PL,D,20210208,000000,5.65,5.9,5.62,5.76,953,0
RCFS3CCC2.PL,D,20210209,000000,5.64,5.64,4.36,5.16,19784,0
RCFS3CCC2.PL,D,20210210,000000,4.69,5.14,4.69,5.12,28409,0
RCFS3CCC2.PL,D,20210211,000000,5.1,5.68,5.1,5.13,5150,0
RCFS3CCC2.PL,D,20210212,000000,5.82,5.82,5.62,5.62,2560,0
RCFS3CCC2.PL,D,20210215,000000,5.1,5.4,5.1,5.4,2987,0
RCFS3CCC2.PL,D,20210216,000000,4.61,4.62,4.59,4.59,2431,0
RCFS3CCC2.PL,D,20210217,000000,4.64,4.83,3.9,4.83,55143,0
RCFS3CCC2.PL,D,20210218,000000,4.57,5.1,4.33,5.1,1103,0
RCFS3CCC2.PL,D,20210219,000000,4.87,5.36,4.83,4.87,10508,0
RCFS3CCC2.PL,D,20210222,000000,5.45,5.78,5.39,5.64,33913,0
RCFS3CCC2.PL,D,20210223,000000,5.3,6.15,5.3,5.8,4011,0
RCFS3CCC2.PL,D,20210224,000000,5.53,5.61,5.1,5.61,11865,0
RCFS3CCC2.PL,D,20210225,000000,5.71,5.71,5.71,5.71,1000,0
RCFS3CCC2.PL,D,20210226,000000,6.05,6.05,5.76,5.86,6038,0
RCFS3CCC2.PL,D,20210301,000000,5.69,5.69,5.53,5.53,850,0
RCFS3CCC2.PL,D,20210302,000000,5.51,5.56,5.51,5.56,2508,0
RCFS3CCC2.PL,D,20210303,000000,6.01,6.01,6.01,6.01,1800,0
RCFS3CCC2.PL,D,20210304,000000,6.31,6.31,6.3,6.3,13600,0
RCFS3CCC2.PL,D,20210305,000000,6.18,6.18,5.95,5.95,4100,0
RCFS3CCC2.PL,D,20210308,000000,5.97,5.97,5.44,5.44,1355,0
RCFS3CCC2.PL,D,20210309,000000,5.17,5.17,5.17,5.17,1900,0
RCFS3CCC2.PL,D,20210311,000000,5.4,5.62,5.4,5.62,2400,0
RCFS3CCC2.PL,D,20210312,000000,5.4,5.62,5.4,5.62,2000,0
RCFS3CCC2.PL,D,20210315,000000,5.91,5.91,5.91,5.91,200,0
RCFS3CCC2.PL,D,20210316,000000,5.72,5.72,5.54,5.59,950,0
RCFS3CCC2.PL,D,20210317,000000,5.79,6.72,5.79,6.67,5622,0
RCFS3CCC2.PL,D,20210318,000000,6.4,6.4,6.03,6.03,2700,0
RCFS3CCC2.PL,D,20210319,000000,6.34,6.34,6.21,6.32,6300,0
RCFS3CCC2.PL,D,20210322,000000,6.53,6.53,5.93,6.07,1067,0
RCFS3CCC2.PL,D,20210324,000000,6.29,6.73,6.19,6.7,3900,0
RCFS3CCC2.PL,D,20210325,000000,6.74,7.3,6.36,7.3,7470,0
RCFS3CCC2.PL,D,20210326,000000,6.7,6.7,5.61,5.61,1300,0
RCFS3CCC2.PL,D,20210329,000000,5.09,5.66,5.09,5.66,4400,0
RCFS3CCC2.PL,D,20210331,000000,5.37,5.79,5.37,5.79,1100,0
RCFS3CCC2.PL,D,20210401,000000,5.32,5.32,5.11,5.11,1100,0
RCFS3CCC2.PL,D,20210407,000000,4.42,4.42,4.42,4.42,1200,0
RCFS3CCC2.PL,D,20210408,000000,4.22,4.22,4.22,4.22,2400,0
