<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS3CDPRO4.PL,D,20210309,000000,14.76,14.96,14.48,14.96,416,0
RCFS3CDPRO4.PL,D,20210310,000000,14.86,17.5,14.86,17.5,536,0
RCFS3CDPRO4.PL,D,20210311,000000,18.18,18.64,14.6,15.16,1360,0
RCFS3CDPRO4.PL,D,20210312,000000,14.12,14.12,12.86,13.78,450,0
RCFS3CDPRO4.PL,D,20210315,000000,13.2,13.6,12.52,13.14,820,0
RCFS3CDPRO4.PL,D,20210316,000000,13.18,13.32,13.02,13.32,620,0
RCFS3CDPRO4.PL,D,20210317,000000,13.5,13.9,13.5,13.9,548,0
RCFS3CDPRO4.PL,D,20210318,000000,13.84,14.44,13.84,14.44,822,0
RCFS3CDPRO4.PL,D,20210319,000000,14.9,14.9,13.9,13.9,200,0
RCFS3CDPRO4.PL,D,20210322,000000,14.88,15.22,14.88,15.22,500,0
RCFS3CDPRO4.PL,D,20210326,000000,15.46,15.46,15.46,15.46,200,0
RCFS3CDPRO4.PL,D,20210329,000000,13.46,13.5,9.42,9.59,7774,0
RCFS3CDPRO4.PL,D,20210330,000000,9.29,12.46,9.18,12.46,6480,0
RCFS3CDPRO4.PL,D,20210331,000000,17.64,18.36,16.64,17.32,1950,0
RCFS3CDPRO4.PL,D,20210401,000000,17.12,17.12,15.74,16.52,1444,0
RCFS3CDPRO4.PL,D,20210406,000000,15.46,16.3,15.18,15.38,744,0
RCFS3CDPRO4.PL,D,20210407,000000,15.92,16.84,15.92,16.76,2960,0
RCFS3CDPRO4.PL,D,20210408,000000,17.66,19.18,17.54,19.18,1206,0
RCFS3CDPRO4.PL,D,20210409,000000,18.24,18.4,16.28,18.4,1520,0
RCFS3CDPRO4.PL,D,20210413,000000,17.96,17.96,17.96,17.96,111,0
RCFS3CDPRO4.PL,D,20210414,000000,17,17,17,17,111,0
RCFS3CDPRO4.PL,D,20210416,000000,16.56,21,16.56,21,1622,0
RCFS3CDPRO4.PL,D,20210419,000000,19.78,20.2,18.4,20.2,530,0
RCFS3CDPRO4.PL,D,20210420,000000,19.94,19.94,19.94,19.94,270,0
RCFS3CDPRO4.PL,D,20210421,000000,20.1,22.25,20.1,22.25,200,0
RCFS3CDPRO4.PL,D,20210513,000000,27.35,27.45,27.35,27.45,45,0
RCFS3CDPRO4.PL,D,20210518,000000,19.34,22.1,19.34,22.1,360,0
RCFS3CDPRO4.PL,D,20210519,000000,21.75,21.75,21.75,21.75,80,0
RCFS3CDPRO4.PL,D,20210520,000000,19.44,19.44,19.44,19.44,200,0
RCFS3CDPRO4.PL,D,20210521,000000,20.2,20.2,20.2,20.2,27,0
RCFS3CDPRO4.PL,D,20210524,000000,20.95,21.05,20.9,21,507,0
