<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS3GOLD1.PL,D,20200320,000000,12.43,12.43,12.43,12.43,20,0
RCFS3GOLD1.PL,D,20200323,000000,12.5,12.5,12.5,12.5,19,0
RCFS3GOLD1.PL,D,20200324,000000,9.51,9.51,8.5,8.51,312,0
RCFS3GOLD1.PL,D,20200330,000000,8.67,8.67,8.67,8.67,100,0
RCFS3GOLD1.PL,D,20200609,000000,6.86,6.86,6.86,6.86,1,0
RCFS3GOLD1.PL,D,20200617,000000,6.87,6.87,6.87,6.87,7200,0
RCFS3GOLD1.PL,D,20200722,000000,5.33,5.33,5.33,5.33,100,0
RCFS3GOLD1.PL,D,20200724,000000,4.9,4.9,4.9,4.9,100,0
RCFS3GOLD1.PL,D,20200805,000000,4,4,4,4,100,0
RCFS3GOLD1.PL,D,20200806,000000,3.82,3.82,3.82,3.82,261,0
RCFS3GOLD1.PL,D,20200810,000000,4.07,4.07,4.04,4.04,20000,0
RCFS3GOLD1.PL,D,20200811,000000,4.26,4.26,4.26,4.26,261,0
RCFS3GOLD1.PL,D,20200908,000000,4.77,4.77,4.77,4.77,10418,0
RCFS3GOLD1.PL,D,20200916,000000,4.39,4.39,4.39,4.39,400,0
RCFS3GOLD1.PL,D,20200918,000000,4.47,4.47,4.47,4.47,400,0
RCFS3GOLD1.PL,D,20200921,000000,5,5,5,5,300,0
RCFS3GOLD1.PL,D,20201124,000000,5.3,5.31,5.3,5.31,27200,0
RCFS3GOLD1.PL,D,20201127,000000,5.66,5.66,5.66,5.66,10418,0
RCFS3GOLD1.PL,D,20220615,000000,5.22,5.22,5.22,5.22,7,0
RCFS3GOLD1.PL,D,20220726,000000,6.38,6.38,6.38,6.38,6,0
