<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS3ING.PL,D,20211118,000000,2.48,2.48,2.48,2.48,1000,0
RCFS3ING.PL,D,20211119,000000,2.58,2.58,2.58,2.58,1000,0
RCFS3ING.PL,D,20211209,000000,2.75,2.75,2.75,2.75,1000,0
RCFS3ING.PL,D,20211210,000000,2.83,2.83,2.83,2.83,1000,0
RCFS3ING.PL,D,20220211,000000,2.02,2.02,2.02,2.02,1500,0
RCFS3ING.PL,D,20220214,000000,2.16,2.16,2.16,2.16,1500,0
RCFS3ING.PL,D,20220218,000000,2.3,2.3,2.3,2.3,700,0
RCFS3ING.PL,D,20220221,000000,2.46,2.46,2.46,2.46,700,0
RCFS3ING.PL,D,20220223,000000,2.41,2.41,2.41,2.41,710,0
RCFS3ING.PL,D,20220224,000000,2.77,2.77,2.77,2.77,710,0
RCFS3ING.PL,D,20220711,000000,6.29,6.29,6.29,6.29,1200,0
RCFS3ING.PL,D,20220714,000000,7.3,7.3,7.3,7.3,50,0
RCFS3ING.PL,D,20220721,000000,7.13,7.13,7.13,7.13,1250,0
