<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS3LPP1.PL,D,20201007,000000,9.19,9.19,9.19,9.19,100,0
RCFS3LPP1.PL,D,20201008,000000,10.08,10.08,10.08,10.08,50,0
RCFS3LPP1.PL,D,20201009,000000,10.28,10.42,9.97,9.97,180,0
RCFS3LPP1.PL,D,20201016,000000,10.92,11.92,10.92,11.92,373,0
RCFS3LPP1.PL,D,20201019,000000,12.8,12.8,11.88,11.88,243,0
RCFS3LPP1.PL,D,20201023,000000,13.76,14.62,13.76,14.62,300,0
RCFS3LPP1.PL,D,20201026,000000,14.76,14.76,14.76,14.76,100,0
RCFS3LPP1.PL,D,20201027,000000,15.88,15.88,15.88,15.88,200,0
RCFS3LPP1.PL,D,20201028,000000,15.8,15.8,15.8,15.8,100,0
RCFS3LPP1.PL,D,20201104,000000,11,11.38,10.4,10.4,938,0
RCFS3LPP1.PL,D,20201105,000000,7.71,7.71,7.71,7.71,600,0
RCFS3LPP1.PL,D,20201109,000000,5.16,5.16,5.16,5.16,300,0
RCFS3LPP1.PL,D,20201217,000000,3.88,3.88,3.88,3.88,300,0
RCFS3LPP1.PL,D,20201218,000000,3.64,3.71,3.64,3.71,600,0
RCFS3LPP1.PL,D,20201221,000000,3.21,3.55,3.21,3.35,5700,0
RCFS3LPP1.PL,D,20201228,000000,2.79,2.79,2.79,2.79,2000,0
RCFS3LPP1.PL,D,20210105,000000,2.55,2.55,2.54,2.54,1000,0
RCFS3LPP1.PL,D,20210107,000000,2.35,2.35,2.35,2.35,3000,0
RCFS3LPP1.PL,D,20210111,000000,2.41,2.41,2.41,2.41,400,0
RCFS3LPP1.PL,D,20210113,000000,2.94,2.94,2.94,2.94,160,0
RCFS3LPP1.PL,D,20210122,000000,2.83,2.83,2.83,2.83,500,0
RCFS3LPP1.PL,D,20210301,000000,2.49,2.49,2.49,2.49,160,0
RCFS3LPP1.PL,D,20210312,000000,2,2,2,2,1200,0
RCFS3LPP1.PL,D,20210325,000000,2.35,2.35,2.35,2.35,500,0
RCFS3LPP1.PL,D,20210624,000000,0.5,0.5,0.5,0.5,5000,0
RCFS3LPP1.PL,D,20210625,000000,0.35,0.35,0.34,0.34,6000,0
RCFS3LPP1.PL,D,20210628,000000,0.33,0.33,0.33,0.33,3500,0
RCFS3LPP1.PL,D,20210629,000000,0.35,0.35,0.35,0.35,1500,0
RCFS3LPP1.PL,D,20210701,000000,0.34,0.34,0.34,0.34,3130,0
RCFS3LPP1.PL,D,20210706,000000,0.29,0.31,0.29,0.31,3200,0
RCFS3LPP1.PL,D,20210707,000000,0.27,0.27,0.26,0.26,159000,0
RCFS3LPP1.PL,D,20210708,000000,0.26,0.29,0.26,0.29,4879,0
RCFS3LPP1.PL,D,20210712,000000,0.26,0.26,0.26,0.26,13560,0
RCFS3LPP1.PL,D,20210719,000000,0.27,0.27,0.27,0.27,5000,0
RCFS3LPP1.PL,D,20210720,000000,0.25,0.25,0.25,0.25,400,0
RCFS3LPP1.PL,D,20210723,000000,0.23,0.25,0.23,0.25,2988,0
RCFS3LPP1.PL,D,20210727,000000,0.25,0.26,0.25,0.26,5500,0
RCFS3LPP1.PL,D,20210728,000000,0.23,0.23,0.23,0.23,2000,0
RCFS3LPP1.PL,D,20210804,000000,0.2,0.2,0.2,0.2,17000,0
RCFS3LPP1.PL,D,20210806,000000,0.22,0.22,0.22,0.22,4540,0
RCFS3LPP1.PL,D,20210910,000000,0.18,0.19,0.18,0.19,10350,0
RCFS3LPP1.PL,D,20211001,000000,0.16,0.16,0.16,0.16,15000,0
RCFS3LPP1.PL,D,20211007,000000,0.27,0.27,0.27,0.27,445,0
RCFS3LPP1.PL,D,20211019,000000,0.16,0.16,0.16,0.16,3090,0
RCFS3LPP1.PL,D,20211112,000000,0.14,0.14,0.12,0.12,3000,0
RCFS3LPP1.PL,D,20211130,000000,0.19,0.19,0.19,0.19,5000,0
RCFS3LPP1.PL,D,20211209,000000,0.1,0.1,0.1,0.1,12944,0
RCFS3LPP1.PL,D,20220113,000000,0.05,0.05,0.05,0.05,1988,0
RCFS3LPP1.PL,D,20220127,000000,0.06,0.06,0.06,0.06,163907,0
RCFS3LPP1.PL,D,20220224,000000,0.18,0.19,0.18,0.19,31600,0
RCFS3LPP1.PL,D,20220302,000000,0.23,0.23,0.23,0.23,250,0
RCFS3LPP1.PL,D,20220502,000000,0.1,0.1,0.1,0.1,15000,0
