<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS3MBK4.PL,D,20220614,000000,11.9,11.9,11.74,11.74,140,0
RCFS3MBK4.PL,D,20220701,000000,11.4,11.5,11.24,11.5,400,0
RCFS3MBK4.PL,D,20220705,000000,13.2,13.2,13.2,13.2,190,0
RCFS3MBK4.PL,D,20220708,000000,11.6,11.6,11.6,11.6,190,0
RCFS3MBK4.PL,D,20220714,000000,18.46,19.04,18.46,19.04,5706,0
RCFS3MBK4.PL,D,20220715,000000,18.96,18.96,18.08,18.08,400,0
RCFS3MBK4.PL,D,20220718,000000,17.3,17.3,16.74,16.88,300,0
RCFS3MBK4.PL,D,20220719,000000,17.28,17.28,15.22,15.22,300,0
RCFS3MBK4.PL,D,20220722,000000,13.6,13.6,13.6,13.6,100,0
RCFS3MBK4.PL,D,20220727,000000,15.3,15.32,15.3,15.32,1628,0
RCFS3MBK4.PL,D,20220812,000000,7.51,7.54,7.51,7.54,3858,0
RCFS3MBK4.PL,D,20220902,000000,12.16,12.16,11.56,11.56,300,0
