<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS4PEO1.PL,D,20210818,000000,9.57,9.57,9.57,9.57,103,0
RCFS4PEO1.PL,D,20210830,000000,8.45,8.45,8.45,8.45,117,0
RCFS4PEO1.PL,D,20210831,000000,8.3,8.3,8.3,8.3,119,0
RCFS4PEO1.PL,D,20210901,000000,7.9,7.9,7.9,7.9,125,0
RCFS4PEO1.PL,D,20210906,000000,7.6,7.6,7.6,7.6,130,0
RCFS4PEO1.PL,D,20210920,000000,9.2,9.2,9.2,9.2,594,0
RCFS4PEO1.PL,D,20211001,000000,6.7,6.7,6.6,6.6,550,0
RCFS4PEO1.PL,D,20211004,000000,6.01,6.01,5.2,5.42,1724,0
RCFS4PEO1.PL,D,20211006,000000,4.6,4.6,4.57,4.57,631,0
RCFS4PEO1.PL,D,20211011,000000,4.02,4.02,4.02,4.02,445,0
RCFS4PEO1.PL,D,20211013,000000,3.72,3.98,3.72,3.98,10300,0
RCFS4PEO1.PL,D,20211018,000000,3.53,3.53,3.53,3.53,3000,0
RCFS4PEO1.PL,D,20211020,000000,3.67,3.67,3.67,3.67,3000,0
RCFS4PEO1.PL,D,20211029,000000,2.9,2.9,2.9,2.9,200,0
RCFS4PEO1.PL,D,20211102,000000,2.84,2.84,2.84,2.84,1000,0
RCFS4PEO1.PL,D,20211103,000000,2.6,2.9,2.6,2.9,6000,0
RCFS4PEO1.PL,D,20211105,000000,2.7,2.7,2.62,2.65,9000,0
RCFS4PEO1.PL,D,20211108,000000,2.76,2.76,2.76,2.76,1000,0
RCFS4PEO1.PL,D,20211110,000000,3.04,3.04,3.04,3.04,2000,0
RCFS4PEO1.PL,D,20211115,000000,2.88,2.94,2.88,2.94,3000,0
RCFS4PEO1.PL,D,20211119,000000,3.32,3.78,3.32,3.78,3300,0
RCFS4PEO1.PL,D,20211122,000000,3.62,3.62,3.62,3.62,300,0
RCFS4PEO1.PL,D,20211124,000000,3.36,3.5,3.36,3.5,10800,0
RCFS4PEO1.PL,D,20211126,000000,4.1,4.25,4.05,4.25,4650,0
RCFS4PEO1.PL,D,20211209,000000,3.67,3.67,3.67,3.67,510,0
RCFS4PEO1.PL,D,20211210,000000,3.76,3.76,3.76,3.76,510,0
RCFS4PEO1.PL,D,20211213,000000,4.14,4.14,4.14,4.14,1450,0
RCFS4PEO1.PL,D,20211214,000000,4.07,4.07,4.07,4.07,1450,0
RCFS4PEO1.PL,D,20220104,000000,2.78,2.78,2.78,2.78,700,0
RCFS4PEO1.PL,D,20220105,000000,2.8,2.8,2.8,2.8,700,0
RCFS4PEO1.PL,D,20220110,000000,2.48,2.48,2.48,2.48,500,0
RCFS4PEO1.PL,D,20220112,000000,1.88,1.93,1.88,1.93,1400,0
RCFS4PEO1.PL,D,20220113,000000,1.79,1.79,1.79,1.79,1000,0
RCFS4PEO1.PL,D,20220114,000000,1.87,1.87,1.87,1.87,700,0
RCFS4PEO1.PL,D,20220118,000000,2.01,2.01,1.95,1.95,1700,0
RCFS4PEO1.PL,D,20220121,000000,1.91,1.91,1.91,1.91,1260,0
RCFS4PEO1.PL,D,20220126,000000,1.99,1.99,1.99,1.99,400,0
RCFS4PEO1.PL,D,20220127,000000,1.75,1.75,1.75,1.75,400,0
RCFS4PEO1.PL,D,20220128,000000,2.03,2.03,2.03,2.03,3500,0
RCFS4PEO1.PL,D,20220207,000000,1.9,1.9,1.9,1.9,260,0
RCFS4PEO1.PL,D,20220209,000000,1.65,1.65,1.65,1.65,1000,0
RCFS4PEO1.PL,D,20220211,000000,1.9,1.9,1.83,1.83,1900,0
RCFS4PEO1.PL,D,20220214,000000,1.99,1.99,1.99,1.99,1500,0
RCFS4PEO1.PL,D,20220215,000000,1.88,1.88,1.88,1.88,466,0
RCFS4PEO1.PL,D,20220216,000000,1.85,1.85,1.8,1.8,1466,0
RCFS4PEO1.PL,D,20220217,000000,1.9,1.9,1.9,1.9,1000,0
RCFS4PEO1.PL,D,20220218,000000,2.08,2.08,2.08,2.08,1500,0
RCFS4PEO1.PL,D,20220222,000000,2.99,2.99,2.58,2.58,6000,0
RCFS4PEO1.PL,D,20220223,000000,2.47,2.47,2.47,2.47,700,0
RCFS4PEO1.PL,D,20220224,000000,3.68,3.68,3.68,3.68,700,0
RCFS4PEO1.PL,D,20220225,000000,3,3,1.9,2.07,8639,0
RCFS4PEO1.PL,D,20220228,000000,1.61,1.61,1.55,1.55,5639,0
RCFS4PEO1.PL,D,20220302,000000,2.13,2.13,1.8,1.8,3000,0
RCFS4PEO1.PL,D,20220304,000000,2.45,3.06,2.39,3.06,123549,0
RCFS4PEO1.PL,D,20220307,000000,3.76,4.05,3.54,3.54,123545,0
