<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS4SILVE1.PL,D,20200421,000000,12,12,12,12,12,0
RCFS4SILVE1.PL,D,20200518,000000,5.67,5.67,5.67,5.67,12,0
RCFS4SILVE1.PL,D,20200708,000000,3.95,3.95,3.95,3.95,880,0
RCFS4SILVE1.PL,D,20200709,000000,3.45,3.5,3.36,3.5,6000,0
RCFS4SILVE1.PL,D,20200713,000000,3.3,3.3,3.3,3.3,2000,0
RCFS4SILVE1.PL,D,20200716,000000,3.12,3.12,3.12,3.12,1000,0
RCFS4SILVE1.PL,D,20200720,000000,2.97,2.97,2.81,2.81,5000,0
RCFS4SILVE1.PL,D,20200721,000000,2.43,2.45,2.08,2.08,4987,0
RCFS4SILVE1.PL,D,20200722,000000,1.61,1.82,1.55,1.65,17000,0
RCFS4SILVE1.PL,D,20200723,000000,1.46,1.48,1.42,1.48,8000,0
RCFS4SILVE1.PL,D,20200724,000000,1.51,1.54,1.43,1.43,30500,0
RCFS4SILVE1.PL,D,20200727,000000,1.13,1.14,1.06,1.08,38950,0
RCFS4SILVE1.PL,D,20200729,000000,1.07,1.08,1.06,1.07,19079,0
RCFS4SILVE1.PL,D,20200730,000000,1.24,1.27,1.21,1.27,4855,0
RCFS4SILVE1.PL,D,20200731,000000,1.06,1.07,1.06,1.06,7700,0
RCFS4SILVE1.PL,D,20200803,000000,1.05,1.06,1.05,1.06,14083,0
RCFS4SILVE1.PL,D,20200804,000000,1.04,1.04,0.89,0.89,20116,0
RCFS4SILVE1.PL,D,20200805,000000,0.72,0.73,0.66,0.66,10749,0
RCFS4SILVE1.PL,D,20200806,000000,0.61,0.62,0.5,0.5,46400,0
RCFS4SILVE1.PL,D,20200807,000000,0.55,0.62,0.55,0.6,6100,0
RCFS4SILVE1.PL,D,20200810,000000,0.54,0.54,0.47,0.47,7000,0
RCFS4SILVE1.PL,D,20200811,000000,0.59,0.59,0.59,0.59,11400,0
RCFS4SILVE1.PL,D,20200812,000000,0.68,0.69,0.64,0.67,49196,0
RCFS4SILVE1.PL,D,20200813,000000,0.63,0.63,0.63,0.63,1500,0
RCFS4SILVE1.PL,D,20200814,000000,1.35,1.35,0.54,0.54,10800,0
RCFS4SILVE1.PL,D,20200817,000000,0.44,0.44,0.44,0.44,18400,0
RCFS4SILVE1.PL,D,20200818,000000,0.42,0.42,0.42,0.42,300,0
RCFS4SILVE1.PL,D,20200819,000000,0.46,0.46,0.46,0.46,5000,0
RCFS4SILVE1.PL,D,20200821,000000,0.54,0.54,0.5,0.5,9800,0
RCFS4SILVE1.PL,D,20200824,000000,0.5,0.5,0.5,0.5,2000,0
RCFS4SILVE1.PL,D,20200826,000000,0.56,0.57,0.56,0.57,4600,0
RCFS4SILVE1.PL,D,20200827,000000,0.45,0.45,0.45,0.45,5000,0
RCFS4SILVE1.PL,D,20200908,000000,0.5,0.56,0.5,0.56,25160,0
RCFS4SILVE1.PL,D,20200910,000000,0.43,0.47,0.43,0.47,22000,0
RCFS4SILVE1.PL,D,20200915,000000,0.48,0.48,0.48,0.48,9000,0
RCFS4SILVE1.PL,D,20200916,000000,0.44,0.44,0.44,0.44,400,0
RCFS4SILVE1.PL,D,20200917,000000,0.45,0.45,0.45,0.45,9150,0
RCFS4SILVE1.PL,D,20200921,000000,0.61,0.61,0.61,0.61,4700,0
RCFS4SILVE1.PL,D,20200922,000000,0.69,0.69,0.58,0.66,51695,0
RCFS4SILVE1.PL,D,20200923,000000,0.75,0.75,0.69,0.69,11421,0
RCFS4SILVE1.PL,D,20200924,000000,0.89,0.89,0.89,0.89,7546,0
RCFS4SILVE1.PL,D,20200925,000000,0.78,0.78,0.78,0.78,8939,0
RCFS4SILVE1.PL,D,20200928,000000,0.78,0.78,0.78,0.78,2800,0
RCFS4SILVE1.PL,D,20200929,000000,0.66,0.66,0.62,0.62,27999,0
RCFS4SILVE1.PL,D,20201009,000000,0.53,0.53,0.53,0.53,8939,0
RCFS4SILVE1.PL,D,20201014,000000,0.54,0.54,0.54,0.54,10,0
RCFS4SILVE1.PL,D,20201130,000000,0.7,0.7,0.64,0.64,6000,0
RCFS4SILVE1.PL,D,20201211,000000,0.45,0.45,0.45,0.45,44100,0
RCFS4SILVE1.PL,D,20201216,000000,0.38,0.38,0.38,0.38,9000,0
RCFS4SILVE1.PL,D,20210111,000000,0.35,0.35,0.35,0.35,2000,0
RCFS4SILVE1.PL,D,20210118,000000,0.33,0.33,0.33,0.33,7550,0
RCFS4SILVE1.PL,D,20210201,000000,0.2,0.2,0.2,0.2,4000,0
RCFS4SILVE1.PL,D,20210618,000000,0.23,0.23,0.23,0.23,6500,0
RCFS4SILVE1.PL,D,20210705,000000,0.16,0.16,0.16,0.16,14050,0
RCFS4SILVE1.PL,D,20210716,000000,0.22,0.22,0.22,0.22,2000,0
RCFS4SILVE1.PL,D,20210820,000000,0.26,0.26,0.26,0.26,4000,0
RCFS4SILVE1.PL,D,20211104,000000,0.21,0.21,0.21,0.21,1,0
