<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS9OIL6.PL,D,20220617,000000,1.08,1.08,1.08,1.08,200,0
RCFS9OIL6.PL,D,20220620,000000,1.55,1.55,1.55,1.55,200,0
RCFS9OIL6.PL,D,20220707,000000,2.17,2.17,1.4,1.4,633,0
RCFS9OIL6.PL,D,20220712,000000,1.85,1.85,1.85,1.85,270,0
RCFS9OIL6.PL,D,20220715,000000,1.75,1.75,1.75,1.75,300,0
RCFS9OIL6.PL,D,20220718,000000,0.94,1.01,0.94,1.01,315,0
RCFS9OIL6.PL,D,20220725,000000,1.01,1.01,1.01,1.01,550,0
RCFS9OIL6.PL,D,20220726,000000,0.79,0.83,0.79,0.83,600,0
RCFS9OIL6.PL,D,20220728,000000,0.7,0.7,0.7,0.7,327,0
RCFS9OIL6.PL,D,20220729,000000,0.65,0.65,0.65,0.65,526,0
RCFS9OIL6.PL,D,20220804,000000,1.14,1.14,1.14,1.14,119,0
RCFS9OIL6.PL,D,20220808,000000,1.33,1.33,1.33,1.33,100,0
RCFS9OIL6.PL,D,20220817,000000,1.39,1.39,1.39,1.39,100,0
RCFS9OIL6.PL,D,20220822,000000,1.06,1.25,0.99,1.25,500,0
RCFS9OIL6.PL,D,20220823,000000,0.8,0.86,0.8,0.86,801,0
RCFS9OIL6.PL,D,20220824,000000,0.66,0.66,0.66,0.66,150,0
RCFS9OIL6.PL,D,20220825,000000,0.48,0.48,0.48,0.48,151,0
