<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCGSDGP0523.PL,D,20191212,000000,994.5,994.5,994.5,994.5,30,0
RCGSDGP0523.PL,D,20200116,000000,995.7,995.7,995.7,995.7,10,0
RCGSDGP0523.PL,D,20200325,000000,982,982,981.4,981.4,400,0
RCGSDGP0523.PL,D,20200603,000000,978,978,978,978,10,0
RCGSDGP0523.PL,D,20200710,000000,982.5,982.5,982.5,982.5,10,0
RCGSDGP0523.PL,D,20200713,000000,982.5,982.5,982.5,982.5,10,0
RCGSDGP0523.PL,D,20200721,000000,981.5,981.5,981.5,981.5,10,0
RCGSDGP0523.PL,D,20200727,000000,979,979,979,979,28,0
RCGSDGP0523.PL,D,20200818,000000,981.5,981.5,981.5,981.5,100,0
RCGSDGP0523.PL,D,20200820,000000,980,980,980,980,100,0
RCGSDGP0523.PL,D,20201019,000000,982.5,982.5,982.5,982.5,10,0
RCGSDGP0523.PL,D,20210204,000000,1001,1001,1001,1001,30,0
RCGSDGP0523.PL,D,20210217,000000,1004,1004,1004,1004,50,0
RCGSDGP0523.PL,D,20210308,000000,1020,1020,1020,1020,30,0
RCGSDGP0523.PL,D,20210318,000000,1025.5,1025.5,1025.5,1025.5,15,0
RCGSDGP0523.PL,D,20210324,000000,1015.5,1015.5,1015.5,1015.5,10,0
RCGSDGP0523.PL,D,20210426,000000,1016,1016,1016,1016,100,0
RCGSDGP0523.PL,D,20210511,000000,1025,1025,1025,1025,100,0
RCGSDGP0523.PL,D,20210525,000000,1021,1021,1021,1021,69,0
RCGSDGP0523.PL,D,20210526,000000,1020.5,1020.5,1020.5,1020.5,60,0
RCGSDGP0523.PL,D,20210614,000000,1027.5,1027.5,1027.5,1027.5,100,0
RCGSDGP0523.PL,D,20210702,000000,1022,1022,1022,1022,75,0
RCGSDGP0523.PL,D,20210719,000000,1021.5,1021.5,1021.5,1021.5,10,0
RCGSDGP0523.PL,D,20210802,000000,1023.5,1023.5,1023.5,1023.5,38,0
RCGSDGP0523.PL,D,20210804,000000,1025,1025,1025,1025,40,0
RCGSDGP0523.PL,D,20210811,000000,1035,1035,1035,1035,50,0
RCGSDGP0523.PL,D,20210823,000000,1027,1027,1027,1027,10,0
RCGSDGP0523.PL,D,20210907,000000,1022.5,1022.5,1022.5,1022.5,20,0
RCGSDGP0523.PL,D,20211007,000000,1007.5,1007.5,1007.5,1007.5,10,0
RCGSDGP0523.PL,D,20211015,000000,1008,1008,1008,1008,20,0
RCGSDGP0523.PL,D,20220114,000000,1022,1022,1022,1022,59,0
RCGSDGP0523.PL,D,20220120,000000,1023.5,1023.5,1023.5,1023.5,50,0
RCGSDGP0523.PL,D,20220210,000000,1025.5,1025.5,1025.5,1025.5,39,0
RCGSDGP0523.PL,D,20220224,000000,1013.5,1013.5,1013.5,1013.5,100,0
RCGSDGP0523.PL,D,20220307,000000,1014,1016,1014,1016,190,0
RCGSDGP0523.PL,D,20220316,000000,1013,1013,1013,1013,70,0
RCGSDGP0523.PL,D,20220318,000000,1020,1020,1020,1020,20,0
RCGSDGP0523.PL,D,20220322,000000,1020.5,1020.5,1020.5,1020.5,19,0
RCGSDGP0523.PL,D,20220426,000000,1008.5,1008.5,1008.5,1008.5,10,0
RCGSDGP0523.PL,D,20220427,000000,1006,1006,1006,1006,25,0
RCGSDGP0523.PL,D,20220509,000000,992,992.5,992,992.5,42,0
RCGSDGP0523.PL,D,20220607,000000,1009,1009,1009,1009,50,0
RCGSDGP0523.PL,D,20220627,000000,962,962,962,962,40,0
RCGSDGP0523.PL,D,20220715,000000,966,966,966,966,20,0
RCGSDGP0523.PL,D,20220728,000000,986.5,986.5,986.5,986.5,100,0
RCGSDGP0523.PL,D,20220729,000000,987.5,987.5,987.5,987.5,50,0
RCGSDGP0523.PL,D,20220805,000000,993.5,993.5,993.5,993.5,20,0
RCGSDGP0523.PL,D,20220811,000000,1004,1004,1004,1004,50,0
