<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCSWRAOPEN.PL,D,20110127,000000,38.73,38.73,38.73,38.73,50,0
RCSWRAOPEN.PL,D,20110208,000000,38.8,38.8,38.8,38.8,24,0
RCSWRAOPEN.PL,D,20110310,000000,38.8,38.8,38.8,38.8,100,0
RCSWRAOPEN.PL,D,20110509,000000,37.42,37.42,37.42,37.42,100,0
RCSWRAOPEN.PL,D,20130325,000000,43.47,43.47,43.47,43.47,20,0
RCSWRAOPEN.PL,D,20130327,000000,44.14,44.14,44.1,44.1,54,0
RCSWRAOPEN.PL,D,20150105,000000,54.47,54.47,54.47,54.47,9,0
RCSWRAOPEN.PL,D,20150123,000000,58.11,58.11,58.11,58.11,100,0
RCSWRAOPEN.PL,D,20150130,000000,56.03,56.03,56.03,56.03,100,0
RCSWRAOPEN.PL,D,20150309,000000,55.95,55.95,55.95,55.95,9,0
RCSWRAOPEN.PL,D,20160616,000000,71.38,71.38,71.38,71.38,14,0
RCSWRAOPEN.PL,D,20160803,000000,70.1,70.1,70.1,70.1,15,0
RCSWRAOPEN.PL,D,20160927,000000,71.35,71.35,71.35,71.35,20,0
RCSWRAOPEN.PL,D,20161024,000000,71.95,71.95,71.95,71.95,22,0
RCSWRAOPEN.PL,D,20161128,000000,69.7,69.7,69.7,69.7,1,0
RCSWRAOPEN.PL,D,20170109,000000,69.65,69.65,69.65,69.65,1,0
RCSWRAOPEN.PL,D,20170913,000000,71.7,71.7,71.7,71.7,22,0
RCSWRAOPEN.PL,D,20171103,000000,72.25,72.25,72.25,72.25,35,0
RCSWRAOPEN.PL,D,20180323,000000,65.5,65.5,65.5,65.5,14,0
