<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCTLENA3.PL,D,20210305,000000,1.61,1.61,1.61,1.61,4200,0
RCTLENA3.PL,D,20210309,000000,1.66,1.66,1.66,1.66,800,0
RCTLENA3.PL,D,20210310,000000,1.71,1.71,1.71,1.71,1000,0
RCTLENA3.PL,D,20210312,000000,1.55,1.55,1.55,1.55,1100,0
RCTLENA3.PL,D,20210316,000000,1.5,1.5,1.4,1.4,4050,0
RCTLENA3.PL,D,20210317,000000,1.31,1.31,1.31,1.31,1650,0
RCTLENA3.PL,D,20210319,000000,1.22,1.22,1.19,1.19,3500,0
RCTLENA3.PL,D,20210326,000000,1.35,1.35,1.35,1.35,3000,0
RCTLENA3.PL,D,20210329,000000,1.45,1.45,1.45,1.45,10000,0
RCTLENA3.PL,D,20210401,000000,1.53,1.64,1.53,1.64,8000,0
RCTLENA3.PL,D,20210412,000000,2.6,2.69,2.6,2.69,8000,0
RCTLENA3.PL,D,20211227,000000,3.22,3.22,3.22,3.22,100,0
RCTLENA3.PL,D,20211228,000000,3.4,3.4,3.4,3.4,100,0
