<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCTLPLAT08.PL,D,20210325,000000,21.7,21.7,21.45,21.45,147,0
RCTLPLAT08.PL,D,20210326,000000,21.8,21.8,21.5,21.5,816,0
RCTLPLAT08.PL,D,20210423,000000,23.5,23.8,23.5,23.8,284,0
RCTLPLAT08.PL,D,20210504,000000,24.5,24.6,24.5,24.6,679,0
RCTLPLAT08.PL,D,20210617,000000,18.5,18.5,17.9,17.9,1200,0
RCTLPLAT08.PL,D,20210618,000000,17,17,17,17,200,0
RCTLPLAT08.PL,D,20210621,000000,16.28,16.28,16.1,16.1,2000,0
RCTLPLAT08.PL,D,20210624,000000,18.02,18.02,18.02,18.02,700,0
RCTLPLAT08.PL,D,20210628,000000,18.66,18.7,18.66,18.7,700,0
RCTLPLAT08.PL,D,20210629,000000,17.8,18.02,17.8,18.02,1400,0
RCTLPLAT08.PL,D,20210708,000000,17.8,18.02,17.8,17.94,1400,0
RCTLPLAT08.PL,D,20210712,000000,19.1,19.1,19.1,19.1,200,0
RCTLPLAT08.PL,D,20210714,000000,19.5,20,19.5,20,400,0
RCTLPLAT08.PL,D,20210914,000000,12.2,12.2,12.12,12.12,290,0
RCTLPLAT08.PL,D,20211011,000000,16.4,16.4,16.4,16.4,150,0
RCTLPLAT08.PL,D,20211013,000000,15.62,15.62,15.62,15.62,140,0
RCTLPLAT08.PL,D,20211124,000000,15.12,15.12,15,15,1104,0
RCTLPLAT08.PL,D,20211126,000000,14.36,14.36,14.36,14.36,350,0
RCTLPLAT08.PL,D,20211201,000000,13.48,13.48,13.48,13.48,148,0
RCTLPLAT08.PL,D,20220104,000000,14.76,14.76,14.76,14.76,828,0
RCTLPLAT08.PL,D,20220120,000000,17.52,17.52,17.52,17.52,108,0
RCTLPLAT08.PL,D,20220126,000000,18,18,18,18,333,0
