<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCW20AOPEN.PL,D,20121023,000000,23.27,23.27,23.27,23.27,1,0
RCW20AOPEN.PL,D,20121026,000000,23.11,23.11,23.11,23.11,1,0
RCW20AOPEN.PL,D,20121105,000000,23.35,23.35,23.35,23.35,4,0
RCW20AOPEN.PL,D,20121123,000000,23.79,23.79,23.79,23.79,400,0
RCW20AOPEN.PL,D,20121126,000000,24,24,24,24,4,0
RCW20AOPEN.PL,D,20130102,000000,26.31,26.31,26.31,26.31,200,0
RCW20AOPEN.PL,D,20130114,000000,25.82,25.82,25.82,25.82,580,0
RCW20AOPEN.PL,D,20130121,000000,25.76,25.76,25.76,25.76,244,0
RCW20AOPEN.PL,D,20130220,000000,24.8,24.8,24.8,24.8,100,0
RCW20AOPEN.PL,D,20130403,000000,23.4,23.4,23.4,23.4,43,0
RCW20AOPEN.PL,D,20130417,000000,23.03,23.03,23.03,23.03,14,0
RCW20AOPEN.PL,D,20130423,000000,22.56,22.56,22.56,22.56,43,0
RCW20AOPEN.PL,D,20130607,000000,24.54,24.54,24.54,24.54,1180,0
RCW20AOPEN.PL,D,20130701,000000,22.44,22.55,22.44,22.55,135,0
RCW20AOPEN.PL,D,20130715,000000,22.88,22.88,22.88,22.88,35,0
RCW20AOPEN.PL,D,20130716,000000,22.99,22.99,22.99,22.99,45,0
RCW20AOPEN.PL,D,20130731,000000,23.15,23.15,23.15,23.15,55,0
RCW20AOPEN.PL,D,20130801,000000,23.6,23.6,23.6,23.6,420,0
RCW20AOPEN.PL,D,20130814,000000,24.52,24.52,24.52,24.52,420,0
RCW20AOPEN.PL,D,20131010,000000,24.53,24.53,24.53,24.53,450,0
RCW20AOPEN.PL,D,20131122,000000,25.9,25.9,25.9,25.9,220,0
RCW20AOPEN.PL,D,20131220,000000,23.96,23.96,23.92,23.92,895,0
RCW20AOPEN.PL,D,20140207,000000,24.2,24.2,24.2,24.2,450,0
RCW20AOPEN.PL,D,20140402,000000,24.64,24.64,24.64,24.64,220,0
RCW20AOPEN.PL,D,20140506,000000,23.91,23.91,23.91,23.91,895,0
RCW20AOPEN.PL,D,20140731,000000,23.35,23.35,23.35,23.35,1,0
RCW20AOPEN.PL,D,20140908,000000,25.44,25.44,25.44,25.44,39,0
RCW20AOPEN.PL,D,20150311,000000,23.18,23.18,23.18,23.18,39,0
RCW20AOPEN.PL,D,20150312,000000,23.26,23.26,23.26,23.26,500,0
RCW20AOPEN.PL,D,20150320,000000,23.82,23.82,23.82,23.82,500,0
RCW20AOPEN.PL,D,20150713,000000,22.87,22.87,22.87,22.87,10,0
RCW20AOPEN.PL,D,20150824,000000,20.71,20.71,20.71,20.71,10,0
RCW20AOPEN.PL,D,20151002,000000,20.63,20.63,20.63,20.63,18,0
RCW20AOPEN.PL,D,20151005,000000,20.93,20.93,20.93,20.93,1,0
RCW20AOPEN.PL,D,20151007,000000,20.99,20.99,20.99,20.99,10,0
RCW20AOPEN.PL,D,20151009,000000,21.43,21.43,21.43,21.43,7,0
RCW20AOPEN.PL,D,20151113,000000,20.05,20.05,19.88,19.88,211,0
RCW20AOPEN.PL,D,20151202,000000,18.81,18.81,18.81,18.81,7,0
RCW20AOPEN.PL,D,20160107,000000,17.57,17.57,17.57,17.57,10,0
RCW20AOPEN.PL,D,20160108,000000,17.31,17.31,17.31,17.31,5,0
RCW20AOPEN.PL,D,20160202,000000,17.5,17.5,17.5,17.5,70,0
RCW20AOPEN.PL,D,20160204,000000,17.75,17.75,17.75,17.75,130,0
RCW20AOPEN.PL,D,20160205,000000,17.96,17.96,17.96,17.96,200,0
RCW20AOPEN.PL,D,20160218,000000,18.52,18.52,18.52,18.52,8,0
