<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FALRM22,D,20210920,000000,43.00,43.00,42.00,42.00,3,3
FALRM22,D,20210921,000000,44.57,44.62,44.35,44.35,30,33
FALRM22,D,20210922,000000,44.67,44.67,44.67,44.67,10,43
FALRM22,D,20210924,000000,46.42,46.42,46.42,46.42,5,48
FALRM22,D,20210927,000000,45.39,45.39,45.39,45.39,5,53
FALRM22,D,20211001,000000,44.56,44.56,44.56,44.56,5,58
FALRM22,D,20211004,000000,46.00,46.00,46.00,46.00,1,57
FALRM22,D,20211020,000000,53.51,53.51,53.51,53.51,5,62
FALRM22,D,20211027,000000,57.90,57.90,57.90,57.90,2,62
FALRM22,D,20211028,000000,57.95,57.95,57.95,57.95,10,72
FALRM22,D,20211102,000000,66.99,66.99,66.99,66.99,3,73
FALRM22,D,20211103,000000,66.50,66.50,66.50,66.50,1,73
FALRM22,D,20211119,000000,59.63,60.13,59.63,60.13,15,88
FALRM22,D,20211122,000000,59.00,59.50,59.00,59.50,7,95
FALRM22,D,20211123,000000,58.86,60.50,58.86,60.50,10,105
FALRM22,D,20211130,000000,57.50,58.50,57.50,58.50,6,111
FALRM22,D,20211208,000000,59.62,59.62,59.62,59.62,1,112
FALRM22,D,20211210,000000,57.41,57.41,57.41,57.41,1,111
FALRM22,D,20211216,000000,56.84,56.84,55.77,55.77,6,116
FALRM22,D,20211217,000000,54.60,54.60,52.74,52.84,21,106
FALRM22,D,20211223,000000,56.2099,56.3799,55.05,55.05,7,111
FALRM22,D,20211228,000000,58.0697,58.0697,55.99,55.99,7,115
FALRM22,D,20211229,000000,57.195,57.2745,56.3601,56.3601,7,121
FALRM22,D,20211230,000000,55,55.757,55,55.23,9,127
FALRM22,D,20220113,000000,61.6979,62.1204,61.6979,62.1203,3,127
FALRM22,D,20220114,000000,61.2898,61.2898,61.2898,61.2898,1,127
FALRM22,D,20220119,000000,58,58,58,58,1,127
FALRM22,D,20220121,000000,57.5,57.5,57.5,57.5,1,127
FALRM22,D,20220124,000000,56,56,53.1,53.1,6,127
FALRM22,D,20220201,000000,57.8923,58.5,57.8923,58.5,5,127
FALRM22,D,20220202,000000,58.4,59.6,58.4,58.5201,8,128
FALRM22,D,20220203,000000,58.5,58.5,57.3,57.3,4,129
FALRM22,D,20220204,000000,57.2,57.2,56.75,57,3,130
FALRM22,D,20220207,000000,57.25,57.25,56.25,56.25,5,131
FALRM22,D,20220208,000000,58,58,57.6,57.6,3,132
FALRM22,D,20220209,000000,57.3,58.5,57.05,58.5,7,132
FALRM22,D,20220210,000000,58,58,57.5,57.55,6,132
FALRM22,D,20220211,000000,56.75,56.75,55.75,55.75,6,132
FALRM22,D,20220214,000000,54.5,54.5,52.95,53.5,8,133
FALRM22,D,20220215,000000,53.52,57,53.52,55.35,9,132
FALRM22,D,20220216,000000,55.8,55.8,55.4,55.4,2,132
FALRM22,D,20220217,000000,54.5,55.3,53.4,53.4,9,133
FALRM22,D,20220218,000000,54.4,54.4,52.8,52.8,7,133
FALRM22,D,20220221,000000,53,53.7,49.35,49.9,26,137
FALRM22,D,20220222,000000,48.25,51.2572,47,50.15,19,146
FALRM22,D,20220223,000000,51.7,51.7,48.45,48.45,8,147
FALRM22,D,20220224,000000,46.7,46.7,38,38,24,150
FALRM22,D,20220225,000000,42.2,47.41,42.2,46.966,24,149
FALRM22,D,20220228,000000,44.9999,47.7494,44.55,46.48,53,188
FALRM22,D,20220301,000000,46.7,48.4848,43.88,43.905,38,207
FALRM22,D,20220302,000000,42.15,45.6,41.925,45.6,36,182
FALRM22,D,20220303,000000,43.7,43.7,42.5,42.6,31,212
FALRM22,D,20220304,000000,42.1,42.1,38.41,38.5942,96,293
FALRM22,D,20220307,000000,36.84,38.6,34.68,38.6,106,231
FALRM22,D,20220308,000000,37.25,40.52,37.25,38.35,13,237
FALRM22,D,20220309,000000,40.4767,41.21,39.75,41.21,5,238
FALRM22,D,20220310,000000,41,42.25,40.7,40.7,8,240
FALRM22,D,20220311,000000,42.38,43,41.1,41.65,39,244
FALRM22,D,20220314,000000,43.32,43.6896,42.4,42.4,24,244
FALRM22,D,20220315,000000,41.4,43.47,40.6856,43.4,35,245
FALRM22,D,20220316,000000,45,45.62,44.15,45.5,53,246
FALRM22,D,20220317,000000,45.5,47,45.01,45.01,56,268
