<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FATT,D,20160919,000000,63.03,63.03,61.45,61.78,5,3
FATT,D,20160920,000000,61.5,61.66,60.5,61.66,11,4
FATT,D,20160921,000000,60.9,64,60.9,62.43,11,7
FATT,D,20160922,000000,63.5,65.43,63.5,63.74,11,7
FATT,D,20160923,000000,64.33,64.33,63.55,63.55,2,8
FATT,D,20160926,000000,64.8,64.8,63.3,63.35,14,8
FATT,D,20160927,000000,64.5,64.5,63,63,13,10
FATT,D,20160928,000000,63.97,64.2,63.04,63.2,8,14
FATT,D,20160929,000000,64.49,64.49,62.43,62.43,4,12
FATT,D,20160930,000000,62.34,62.34,61.71,61.71,3,12
FATT,D,20161006,000000,62.15,62.17,61.3,61.3,3,13
FATT,D,20161007,000000,63.55,63.75,61.7,61.7,3,13
FATT,D,20161010,000000,63.31,63.31,61.9,61.9,2,13
FATT,D,20161011,000000,63.05,63.05,59.55,59.55,5,12
FATT,D,20161012,000000,60.18,60.29,59.35,59.35,8,17
FATT,D,20161013,000000,60.2,63,60.2,61.35,8,17
FATT,D,20161014,000000,62.5,62.5,60.8,60.8,4,17
FATT,D,20161017,000000,61.5,61.63,60.4,60.4,5,14
FATT,D,20161018,000000,61.47,61.47,60.82,60.82,2,14
FATT,D,20161019,000000,61.34,62.13,61.34,61.73,6,13
FATT,D,20161021,000000,61.35,61.35,61.35,61.35,1,14
FATT,D,20161024,000000,62.4,62.4,62.3,62.3,2,13
FATT,D,20161025,000000,62,62,61.95,61.95,3,10
FATT,D,20161026,000000,61.7,61.7,61,61,2,11
FATT,D,20161027,000000,61.47,61.47,60.41,60.41,4,11
FATT,D,20161028,000000,60.8,60.8,60.5,60.5,3,13
FATT,D,20161031,000000,61,61.8,60.96,61.7,4,10
FATT,D,20161102,000000,60.36,60.36,58.73,58.73,2,10
FATT,D,20161103,000000,58.23,58.31,57,57,4,14
FATT,D,20161104,000000,56.9,57.29,54.94,54.94,7,16
FATT,D,20161107,000000,54,54.99,54,54.21,8,17
FATT,D,20161108,000000,55.56,57.32,55.56,55.7,7,17
FATT,D,20161109,000000,55.59,55.64,54.98,54.98,4,20
FATT,D,20161110,000000,55.99,56.31,55,55.32,6,19
FATT,D,20161114,000000,54.7,54.7,51.86,51.86,9,20
FATT,D,20161115,000000,51.03,51.03,51.03,51.03,1,19
FATT,D,20161116,000000,51.63,51.63,51.21,51.21,3,20
FATT,D,20161117,000000,52.8,52.8,51.6,51.8,4,19
FATT,D,20161118,000000,52.36,52.36,51.82,51.82,3,21
FATT,D,20161121,000000,52.5,53.49,52.4,52.4,7,20
FATT,D,20161122,000000,54,57.04,54,56.25,10,21
FATT,D,20161123,000000,57.35,59.5,57.35,58.28,27,30
FATT,D,20161124,000000,59.48,60.25,59.45,60,9,32
FATT,D,20161125,000000,60.59,61.26,60.52,60.52,17,45
FATT,D,20161128,000000,61.2,61.39,60.75,61.06,11,47
FATT,D,20161129,000000,60.71,60.71,59.16,59.16,11,50
FATT,D,20161130,000000,59.78,60.6,59.6,60.6,4,51
FATT,D,20161201,000000,61.07,61.07,59.65,59.78,10,57
FATT,D,20161202,000000,60,60.32,59.63,60,7,59
FATT,D,20161205,000000,59.51,60.66,59.46,59.73,26,69
FATT,D,20161206,000000,60,61.44,60,61.23,21,69
FATT,D,20161207,000000,62,63.43,62,62,16,79
FATT,D,20161208,000000,63.45,67.32,63.45,66.45,30,89
FATT,D,20161209,000000,67.06,68.76,66.22,66.35,34,108
FATT,D,20161212,000000,67.17,67.97,66.55,66.55,27,126
FATT,D,20161213,000000,67.67,67.67,66.82,67.46,12,128
FATT,D,20161214,000000,66.81,66.81,65.42,65.6,7,129
FATT,D,20161215,000000,65.23,65.23,62,62,13,136
FATT,D,20161216,000000,63.64,65,63.21,65,25,145
FATT,D,20161219,000000,63,63.06,62.87,63.01,6,24
FATT,D,20161220,000000,63.92,63.92,62.09,62.71,17,25
FATT,D,20161221,000000,62.9,62.9,62,62,6,25
FATT,D,20161222,000000,62.3,62.3,60.68,61,25,25
FATT,D,20161223,000000,61.51,61.62,60,60,4,27
FATT,D,20161227,000000,62,64.24,61.91,63.25,16,27
FATT,D,20161228,000000,63.46,64.17,63.46,64.1,11,25
FATT,D,20161229,000000,64.8,64.8,64.5,64.56,3,26
FATT,D,20161230,000000,64.04,64.92,64.04,64.07,3,26
FATT,D,20170102,000000,63.73,63.78,63.49,63.78,5,27
FATT,D,20170103,000000,64.58,64.88,64.12,64.12,6,27
FATT,D,20170104,000000,65.16,65.9,65.16,65.5,10,27
FATT,D,20170105,000000,64.24,64.5,64.17,64.5,4,30
FATT,D,20170109,000000,65.25,65.96,65.25,65.73,8,29
FATT,D,20170110,000000,65.95,69.06,65.95,68.08,34,45
FATT,D,20170111,000000,69,73.02,69,72.34,22,42
FATT,D,20170112,000000,73.67,74.05,71.14,71.3,23,45
FATT,D,20170113,000000,71.52,71.81,69.35,70.05,21,58
FATT,D,20170116,000000,70.52,72,70.52,70.9,24,60
FATT,D,20170117,000000,71.4,71.93,70.87,70.94,18,68
FATT,D,20170118,000000,71.24,71.24,69.5,69.94,16,74
FATT,D,20170119,000000,69.7,70.6,69.58,70.6,11,71
FATT,D,20170120,000000,70.25,70.25,68.99,69.19,18,83
FATT,D,20170123,000000,68.5,68.95,68.09,68.12,11,83
FATT,D,20170124,000000,68.59,69.57,68.32,68.94,20,86
FATT,D,20170125,000000,69.4,71.18,69.4,70.46,25,87
FATT,D,20170126,000000,71,72.16,71,71.66,20,85
FATT,D,20170127,000000,71.7,72.39,71.7,72.39,6,84
FATT,D,20170130,000000,72.05,72.05,70.11,70.16,11,86
FATT,D,20170131,000000,69.87,70.11,68.88,68.88,8,91
FATT,D,20170201,000000,69.31,69.91,69.31,69.34,14,100
FATT,D,20170202,000000,70.16,70.47,69.31,70.47,14,95
FATT,D,20170203,000000,70.74,71.06,70.35,70.35,14,98
FATT,D,20170206,000000,71.09,71.09,69.5,69.5,15,105
FATT,D,20170207,000000,69.43,69.43,69.32,69.4,5,105
FATT,D,20170208,000000,68.25,70.06,68.22,70.06,9,100
FATT,D,20170209,000000,70.33,71.12,70.33,70.7,8,99
FATT,D,20170210,000000,71.4,72.09,70.8,70.8,10,99
FATT,D,20170213,000000,72.2,72.35,71,71.35,14,104
FATT,D,20170214,000000,71.65,71.65,69.28,71.1,34,99
FATT,D,20170215,000000,70.1,71.12,69.66,70.91,11,105
FATT,D,20170216,000000,71.16,72.29,70,70,31,120
FATT,D,20170217,000000,71.5,72.2,71.07,71.1,14,111
FATT,D,20170220,000000,70.85,71.13,70.65,70.65,5,112
FATT,D,20170221,000000,69.85,71.82,69.85,71.26,11,115
FATT,D,20170222,000000,72.05,74.47,72.05,72.81,37,133
FATT,D,20170223,000000,73.3,73.3,72.3,72.3,13,140
FATT,D,20170224,000000,72.3,72.3,70.51,71.48,15,131
FATT,D,20170227,000000,71.83,72.04,71.06,71.06,7,131
FATT,D,20170228,000000,71.64,71.64,69.65,69.65,15,138
FATT,D,20170301,000000,70.31,70.33,70.08,70.08,12,146
FATT,D,20170302,000000,70.6,71.7,70.6,71.12,31,135
FATT,D,20170303,000000,71,71,70.2,70.63,9,139
FATT,D,20170306,000000,70.3,70.99,70,70,9,137
FATT,D,20170307,000000,70.57,70.7,69.51,70.1,37,117
FATT,D,20170308,000000,69.86,69.86,69.57,69.57,2,117
FATT,D,20170309,000000,69.6,70.87,69.45,70.87,13,112
FATT,D,20170310,000000,71.46,71.46,69.84,69.84,8,115
FATT,D,20170313,000000,70.15,71.49,70.15,71.01,10,112
FATT,D,20170314,000000,71.71,71.71,70.69,70.86,7,108
FATT,D,20170315,000000,70.34,70.34,70.04,70.04,4,111
FATT,D,20170316,000000,70.3,70.3,69.48,69.53,21,116
FATT,D,20170317,000000,70.33,71.01,70.19,70.9,18,107
FATT,D,20170320,000000,70.63,70.85,69.8,69.94,15,24
FATT,D,20170321,000000,71.13,71.13,68.86,68.86,8,28
FATT,D,20170322,000000,68,68,67.33,67.6,6,28
FATT,D,20170323,000000,68.84,70.12,68.84,69.13,7,32
FATT,D,20170324,000000,70.4,70.4,69.85,69.85,3,33
FATT,D,20170327,000000,69.49,69.49,68.6,68.62,10,25
FATT,D,20170328,000000,70,70,70,70,1,25
FATT,D,20170329,000000,70.22,70.22,70.22,70.22,1,24
FATT,D,20170330,000000,70.24,70.24,70.24,70.24,1,23
FATT,D,20170403,000000,69.85,69.99,69.37,69.37,3,25
FATT,D,20170404,000000,69.14,69.14,68.72,68.72,2,25
FATT,D,20170405,000000,68.4,68.4,68.4,68.4,2,26
FATT,D,20170406,000000,69.1,69.1,69.1,69.1,1,25
FATT,D,20170410,000000,69.44,69.44,69.44,69.44,1,24
FATT,D,20170411,000000,68.48,68.48,68.48,68.48,1,25
FATT,D,20170412,000000,69.5,69.5,69.5,69.5,1,25
FATT,D,20170418,000000,69.22,69.22,67.25,67.4,35,27
FATT,D,20170419,000000,67.18,67.48,66.97,67.39,5,28
FATT,D,20170420,000000,68.27,68.36,68.27,68.36,2,29
FATT,D,20170421,000000,69.02,69.02,68.05,68.05,3,29
FATT,D,20170424,000000,69.15,69.61,69.15,69.61,2,30
FATT,D,20170425,000000,70.01,70.01,69.1,69.1,3,32
FATT,D,20170426,000000,69.71,70.5,69,69,4,34
FATT,D,20170427,000000,70.1,70.1,69.26,69.68,7,35
FATT,D,20170428,000000,69.58,69.58,69,69,2,35
FATT,D,20170502,000000,69.15,69.15,68.21,68.21,4,36
FATT,D,20170504,000000,68.8,68.8,67.44,67.44,2,36
FATT,D,20170505,000000,67.7,67.76,67.3,67.42,5,33
FATT,D,20170508,000000,68.6,68.6,67.8,68,4,30
FATT,D,20170509,000000,68,68.2,66.67,66.67,3,30
FATT,D,20170510,000000,67.49,67.49,66.21,66.21,3,29
FATT,D,20170511,000000,66.4,66.49,66.4,66.49,3,27
FATT,D,20170512,000000,67.33,67.33,66.37,66.37,3,26
FATT,D,20170515,000000,67,67,65.9,65.9,3,25
FATT,D,20170516,000000,65.31,65.31,65.31,65.31,1,25
FATT,D,20170517,000000,64.81,64.81,63.78,63.78,2,24
FATT,D,20170518,000000,63.4,63.53,62.42,62.98,12,27
FATT,D,20170519,000000,63.42,64.8,63.42,64.8,4,27
FATT,D,20170523,000000,65.7,65.7,63.45,63.45,3,27
FATT,D,20170524,000000,63.51,63.6,63.33,63.33,5,29
FATT,D,20170525,000000,64.3,64.3,63.9,63.9,3,30
FATT,D,20170526,000000,64.66,64.66,64.02,64.02,2,30
FATT,D,20170529,000000,64.69,64.69,64.69,64.69,1,30
FATT,D,20170530,000000,63.74,63.74,63.5,63.5,2,28
FATT,D,20170531,000000,63.24,63.24,62.45,62.45,3,30
FATT,D,20170601,000000,62.05,62.07,62.05,62.07,2,30
FATT,D,20170602,000000,64.73,65,64,64.22,7,28
FATT,D,20170606,000000,64.06,65.47,64.06,64.95,8,27
FATT,D,20170607,000000,66.16,66.17,63.96,63.96,7,27
FATT,D,20170608,000000,64.66,65.6,64.66,65.08,3,25
FATT,D,20170609,000000,66.32,67.46,66.32,66.99,4,28
FATT,D,20170612,000000,67.91,68,67.55,67.55,5,30
FATT,D,20170614,000000,67.94,67.94,67.48,67.48,6,30
FATT,D,20170616,000000,69,69,66.59,67.66,19,26
FATT,D,20170619,000000,67.25,67.25,67.25,67.25,1,8
FATT,D,20170620,000000,66.85,67.04,65.08,65.08,5,11
FATT,D,20170621,000000,65.41,66.24,65.41,66.24,2,13
FATT,D,20170622,000000,66.79,66.79,66.79,66.79,1,13
FATT,D,20170623,000000,67.75,67.75,67.75,67.75,1,13
FATT,D,20170626,000000,69,69.01,68.86,68.86,3,13
FATT,D,20170627,000000,69,69,68.49,68.49,3,14
FATT,D,20170628,000000,64.18,64.18,63.05,63.2,18,24
FATT,D,20170629,000000,63.68,64.09,62.82,63.04,15,34
FATT,D,20170630,000000,63.13,63.13,61.34,61.34,4,36
FATT,D,20170703,000000,62.27,62.27,61.91,61.91,3,33
FATT,D,20170705,000000,61.96,61.96,61.96,61.96,1,32
FATT,D,20170706,000000,63.75,64,63.6,63.6,6,33
FATT,D,20170707,000000,63.81,63.81,63.39,63.39,2,33
FATT,D,20170710,000000,63.64,63.64,62.62,62.62,2,33
FATT,D,20170711,000000,62.34,62.34,62.34,62.34,1,34
FATT,D,20170712,000000,63.43,64.62,63.43,63.45,4,36
FATT,D,20170713,000000,64.5,65.83,64.5,65.83,6,37
FATT,D,20170714,000000,66.61,66.79,65.62,66.33,8,39
FATT,D,20170717,000000,67.5,67.79,65.5,65.71,12,48
FATT,D,20170718,000000,66.11,66.11,63.87,63.87,6,50
FATT,D,20170719,000000,64.36,64.36,63.8,63.8,2,50
FATT,D,20170720,000000,65.11,65.79,65.11,65.17,6,51
FATT,D,20170721,000000,65.5,65.88,65.5,65.74,3,48
FATT,D,20170724,000000,66.3,66.3,66.28,66.28,2,48
FATT,D,20170725,000000,67.39,67.49,67.08,67.08,3,48
FATT,D,20170726,000000,68.13,68.28,67.95,68.15,8,48
FATT,D,20170727,000000,68.6,68.6,67.25,67.25,6,48
FATT,D,20170728,000000,67.55,68.27,67.5,67.98,8,44
FATT,D,20170731,000000,68.47,69.31,68.37,69.12,8,45
FATT,D,20170801,000000,70,71.06,70,70.52,15,43
FATT,D,20170802,000000,71.2,71.3,70.89,70.89,8,44
FATT,D,20170803,000000,71.21,71.21,70.66,70.66,4,42
FATT,D,20170804,000000,70.76,71.74,70,70,6,42
FATT,D,20170807,000000,71.22,71.35,70.56,70.56,4,42
FATT,D,20170808,000000,70.6,71.73,70.6,71.73,16,39
FATT,D,20170809,000000,70.63,70.8,70.12,70.23,9,42
FATT,D,20170810,000000,70.9,71.05,69.65,69.65,7,44
FATT,D,20170811,000000,68.43,69.36,68.43,69.36,3,44
FATT,D,20170814,000000,69.96,70.46,69.48,69.48,8,44
FATT,D,20170816,000000,69.55,69.55,69.05,69.07,9,50
FATT,D,20170817,000000,69.18,69.18,68.06,68.06,5,51
