<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCDRM22,D,20210920,000000,189.23,189.23,187.00,187.00,5,3
FCDRM22,D,20210922,000000,188.00,188.00,188.00,188.00,1,4
FCDRM22,D,20210927,000000,180.00,180.00,178.00,178.00,2,5
FCDRM22,D,20210930,000000,186.00,186.00,186.00,186.00,1,5
FCDRM22,D,20211004,000000,182.10,182.10,182.10,182.10,1,6
FCDRM22,D,20211008,000000,192.58,196.75,192.58,196.75,2,7
FCDRM22,D,20211011,000000,197.87,197.87,197.87,197.87,1,7
FCDRM22,D,20211013,000000,210.42,210.42,210.42,210.42,1,8
FCDRM22,D,20211014,000000,210.41,210.41,200.10,200.10,2,9
FCDRM22,D,20211015,000000,195.12,195.12,191.04,191.26,3,11
FCDRM22,D,20211018,000000,187.73,187.73,187.73,187.73,1,11
FCDRM22,D,20211021,000000,178.12,178.12,178.12,178.12,1,12
FCDRM22,D,20211022,000000,185.00,185.00,184.57,184.57,3,15
FCDRM22,D,20211027,000000,177.00,177.00,177.00,177.00,1,16
FCDRM22,D,20211028,000000,177.00,177.00,173.86,173.86,3,18
FCDRM22,D,20211125,000000,187.00,187.00,187.00,187.00,1,18
FCDRM22,D,20211206,000000,183.50,183.50,183.50,183.50,1,19
FCDRM22,D,20211207,000000,183.11,183.11,183.11,183.11,1,19
FCDRM22,D,20211209,000000,180.00,180.00,180.00,180.00,9,23
FCDRM22,D,20211210,000000,178.00,178.00,178.00,178.00,2,25
FCDRM22,D,20211214,000000,175.00,175.00,173.71,173.71,4,28
FCDRM22,D,20211215,000000,175.71,177.23,174.54,176.60,10,32
FCDRM22,D,20211216,000000,179.27,182.90,179.27,182.90,4,34
FCDRM22,D,20211217,000000,187.00,187.00,186.99,186.99,2,34
FCDRM22,D,20211220,000000,187.00,187.00,187.00,187.00,1,34
FCDRM22,D,20211221,000000,190,190,190,190,1,35
FCDRM22,D,20211222,000000,196,196,194.66,194.66,12,46
FCDRM22,D,20211223,000000,196,196,191,191.6697,19,41
FCDRM22,D,20211227,000000,193.9778,193.9778,193.6666,193.6666,2,42
FCDRM22,D,20211228,000000,190.3098,190.3098,190.3098,190.3098,1,42
FCDRM22,D,20211230,000000,190.5,190.5,188.9725,189,7,48
FCDRM22,D,20220104,000000,198,198,197.1,197.1,2,48
FCDRM22,D,20220107,000000,197.0001,197.0001,195.4,195.4,3,47
FCDRM22,D,20220110,000000,195,195,195,195,1,47
FCDRM22,D,20220112,000000,188.995,190.0009,188.995,190.0009,4,43
FCDRM22,D,20220113,000000,193.12,193.12,193.12,193.12,1,43
FCDRM22,D,20220118,000000,188,204.22,186.7,194,52,79
FCDRM22,D,20220119,000000,191.04,191.04,189.4005,190.5,6,79
FCDRM22,D,20220120,000000,190.43,190.43,190.1,190.1,2,79
FCDRM22,D,20220121,000000,186.9008,186.9008,184,184.5,27,93
FCDRM22,D,20220124,000000,183.9175,183.9175,177.2517,177.7,6,97
FCDRM22,D,20220125,000000,176,178.795,173.5382,173.5382,11,92
FCDRM22,D,20220126,000000,173.465,173.465,171.7,172.5,16,78
FCDRM22,D,20220127,000000,170,173.5,170,173.5,10,70
FCDRM22,D,20220128,000000,171.155,171.155,166.39,166.4725,7,74
FCDRM22,D,20220131,000000,168.8849,176.86,168.8849,176.78,13,76
FCDRM22,D,20220201,000000,181,182.13,179,180,30,82
FCDRM22,D,20220204,000000,182.2,182.2,179.6958,179.6958,2,83
FCDRM22,D,20220207,000000,177.4,177.4,177.4,177.4,1,83
FCDRM22,D,20220208,000000,173.03,176,173.03,176,2,83
FCDRM22,D,20220209,000000,181.3738,181.404,180.2503,180.2503,11,93
FCDRM22,D,20220210,000000,180.21,180.21,180.21,180.21,1,93
FCDRM22,D,20220214,000000,178,178.5,178,178.5,2,93
FCDRM22,D,20220215,000000,181,185,180,180.5001,14,93
FCDRM22,D,20220216,000000,183.5,183.5,179.84,179.84,5,95
FCDRM22,D,20220218,000000,177.1167,177.1167,177.104,177.104,2,96
FCDRM22,D,20220221,000000,172.5,172.5,168.9572,168.9572,3,96
FCDRM22,D,20220222,000000,168.4848,170.3323,168.4848,170.3323,4,96
FCDRM22,D,20220223,000000,177.4,177.4,169,170,14,93
FCDRM22,D,20220224,000000,161.594,161.594,150,159,32,95
FCDRM22,D,20220225,000000,160,165.5066,160,163,11,98
FCDRM22,D,20220228,000000,159.11,168.4914,159.11,168.4914,13,102
FCDRM22,D,20220301,000000,167.7598,167.7598,167.7598,167.7598,1,102
FCDRM22,D,20220302,000000,169.48,172.3093,169.48,172.3093,12,103
FCDRM22,D,20220303,000000,168.94,168.94,163.5228,163.5228,14,109
FCDRM22,D,20220304,000000,164,164.295,159.6,160.6252,8,116
FCDRM22,D,20220307,000000,157.5,162.7432,154.938,162.7432,18,132
FCDRM22,D,20220308,000000,163,163,156,158.334,17,145
FCDRM22,D,20220309,000000,162.56,163.672,160.0002,161.25,8,147
FCDRM22,D,20220310,000000,162.0327,162.0327,158.8825,158.8825,11,149
FCDRM22,D,20220311,000000,160,164.6565,160,163.5017,26,166
FCDRM22,D,20220314,000000,162,165,162,163.72,18,176
FCDRM22,D,20220315,000000,162.1,167.5,160.0127,167.5,112,244
FCDRM22,D,20220316,000000,168.48,170.5,165,168.5,134,334
FCDRM22,D,20220317,000000,169,171.683,166,170,141,420
FCDRM22,D,20220318,000000,170.6,171.5,165.0001,165.89,214,554
FCDRM22,D,20220321,000000,169.997,169.997,166.066,168.11,243,628
FCDRM22,D,20220322,000000,184.63,185.66,172.0001,173.5998,1142,900
FCDRM22,D,20220323,000000,174.699,178.7998,173.2,175.6341,667,885
FCDRM22,D,20220324,000000,176.9898,177,172.7,176.288,208,932
FCDRM22,D,20220325,000000,176.05,177,173.3025,173.51,152,918
FCDRM22,D,20220328,000000,174,177.7,172.8026,175.2574,108,941
FCDRM22,D,20220329,000000,176.97,177.49,173.5015,176.1001,240,897
FCDRM22,D,20220330,000000,175.25,180,175.25,180,200,907
FCDRM22,D,20220331,000000,180,180.5,174.4,174.4949,547,1001
FCDRM22,D,20220401,000000,173.9,176.08,172.6,175.5,143,1011
FCDRM22,D,20220404,000000,175,176.3159,172.0125,174.1,160,1044
FCDRM22,D,20220405,000000,174.97,178.69,174.5,175.41,272,965
FCDRM22,D,20220406,000000,175,175.2975,173.37,175,167,1010
FCDRM22,D,20220407,000000,175,176.52,174,174,93,1008
FCDRM22,D,20220408,000000,174.5,175,170.1,170.5,149,1016
FCDRM22,D,20220411,000000,170.01,175.699,165,175.5999,273,981
FCDRM22,D,20220412,000000,174.0001,174.56,168.2,168.69,261,1000
FCDRM22,D,20220413,000000,169.7,170.4025,167.6814,170.19,106,1006
FCDRM22,D,20220414,000000,169.3999,169.9,163.6,167.786,365,1058
FCDRM22,D,20220419,000000,170,170.6,150.75,151.21,1568,1597
FCDRM22,D,20220420,000000,150.2,153.5,138.52,138.52,1542,1809
FCDRM22,D,20220421,000000,137.11,140.59,128.32,129.44,2400,2195
FCDRM22,D,20220422,000000,127.75,133.3,126.8,129.55,1355,2056
FCDRM22,D,20220425,000000,127.12,132.71,126.2,131.7501,587,2127
FCDRM22,D,20220426,000000,133,134,127.5,128,710,2061
FCDRM22,D,20220427,000000,126.2205,131.55,125.8,129.9999,831,2056
FCDRM22,D,20220428,000000,130.8,131.9899,122.737,123.722,876,2045
FCDRM22,D,20220429,000000,124.2001,127.28,120.222,121,635,1834
FCDRM22,D,20220502,000000,120.51,121.5,117,120.0001,289,1840
FCDRM22,D,20220504,000000,121.0001,124,115.55,123.7,651,1807
FCDRM22,D,20220505,000000,125.5,126.1605,119,119,494,1723
FCDRM22,D,20220506,000000,118.03,118.998,115,118.7001,567,1666
FCDRM22,D,20220509,000000,118.7001,118.7001,114.42,115.6,375,1647
FCDRM22,D,20220510,000000,115.6,119.1991,114.1,116.8,360,1609
FCDRM22,D,20220511,000000,117.5,121.58,116.51,121.58,342,1617
FCDRM22,D,20220512,000000,119.8799,119.8799,114.5,116.9987,490,1616
FCDRM22,D,20220513,000000,117.77,122.2901,117.05,121.5,412,1593
FCDRM22,D,20220516,000000,121.9999,121.9999,117.5,118.49,242,1643
FCDRM22,D,20220517,000000,118.3,125.98,117.7,124.4,798,1540
FCDRM22,D,20220518,000000,125,125.1799,119.96,119.96,478,1679
FCDRM22,D,20220519,000000,118.5,118.5,115.3,116.4301,552,1707
FCDRM22,D,20220520,000000,119.5,121.95,117.7001,118.5001,547,1685
FCDRM22,D,20220523,000000,120.2201,122.2,116.3,117.3899,517,1776
FCDRM22,D,20220524,000000,116.04,117,111,111,880,1827
FCDRM22,D,20220525,000000,111.5,111.98,106.34,108.6,688,1827
FCDRM22,D,20220526,000000,109.05,111.798,106.7321,109.9999,432,1822
FCDRM22,D,20220527,000000,112.4001,113.95,107.5,112.37,840,1735
FCDRM22,D,20220530,000000,114.9999,118.37,113.51,113.51,795,1699
FCDRM22,D,20220531,000000,113.6,113.6,109.02,109.02,528,1859
FCDRM22,D,20220601,000000,109.399,110.69,108.1192,108.6,242,1846
FCDRM22,D,20220602,000000,108.22,109.35,106.81,108.4999,198,1865
FCDRM22,D,20220603,000000,110.4899,110.4899,104,104,356,1911
FCDRM22,D,20220606,000000,104.2531,108.5,104.25,106.9703,446,1760
FCDRM22,D,20220607,000000,105.4,106.858,103.6,105.4999,394,1823
FCDRM22,D,20220608,000000,104.345,105.978,103.275,103.4,358,1783
FCDRM22,D,20220609,000000,103.02,103.5,93.2,93.2,1336,1801
