<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FJSW,D,20111104,000000,94.7,94.75,94.7,94.75,3,3
FJSW,D,20111109,000000,91.4,91.4,89,89,2,5
FJSW,D,20111110,000000,86.7,88,86.7,88,2,4
FJSW,D,20111114,000000,90.15,90.3,90.15,90.3,2,4
FJSW,D,20111115,000000,93.6,93.6,89.75,89.75,2,6
FJSW,D,20111116,000000,88,90,88,90,6,6
FJSW,D,20111117,000000,89.2,89.2,89.2,89.2,1,7
FJSW,D,20111118,000000,89,90.9,88.1,88.3,18,6
FJSW,D,20111121,000000,86.2,86.4,86.2,86.4,5,10
FJSW,D,20111122,000000,87.1,87.8,85.6,87.8,3,10
FJSW,D,20111123,000000,86,86,86,86,2,11
FJSW,D,20111124,000000,84.8,84.8,84.8,84.8,1,11
FJSW,D,20111125,000000,84.5,84.5,84.3,84.3,2,11
FJSW,D,20111128,000000,85,85.35,85,85.35,7,17
FJSW,D,20111130,000000,88.7,88.7,88.7,88.7,7,13
FJSW,D,20111205,000000,89.8,90.05,89.8,90.05,4,11
FJSW,D,20111212,000000,87.1,87.1,87.1,87.1,1,11
FJSW,D,20111219,000000,85.1,88.8,85.1,87.3,24,5
FJSW,D,20111228,000000,85.05,85.05,85.05,85.05,1,6
FJSW,D,20111229,000000,82,83.3,82,83.3,2,6
FJSW,D,20111230,000000,84.1,84.4,84.1,84.4,2,8
FJSW,D,20120103,000000,88.5,88.5,87.5,88.3,3,8
FJSW,D,20120109,000000,88.3,88.3,88.3,88.3,1,8
FJSW,D,20120112,000000,91.2,91.2,91.2,91.2,1,8
FJSW,D,20120118,000000,96,97.2,96,97.2,2,10
FJSW,D,20120119,000000,100.25,100.4,100.25,100.4,5,11
FJSW,D,20120123,000000,99.7,99.8,98.45,98.45,9,20
FJSW,D,20120124,000000,96.85,96.85,96.2,96.2,6,21
FJSW,D,20120125,000000,96,96.6,96,96.55,3,24
FJSW,D,20120126,000000,97.55,98.4,97.55,97.95,46,54
FJSW,D,20120127,000000,98,98,98,98,1,54
FJSW,D,20120130,000000,101.15,101.15,100.9,100.9,6,60
FJSW,D,20120131,000000,104.3,105.4,104.3,104.3,16,62
FJSW,D,20120201,000000,106,107.7,105.5,107.7,31,45
FJSW,D,20120202,000000,106.1,106.1,106.1,106.1,11,56
FJSW,D,20120203,000000,106.4,106.4,106.4,106.4,1,56
FJSW,D,20120206,000000,105.2,106.3,105.2,106.3,4,57
FJSW,D,20120207,000000,108,108.8,108,108.8,21,56
FJSW,D,20120209,000000,110.9,111.5,108.5,108.7,7,60
FJSW,D,20120210,000000,107.55,107.55,105.1,105.6,9,65
FJSW,D,20120213,000000,107.15,107.7,106.6,106.8,14,60
FJSW,D,20120216,000000,106.1,106.1,105.8,106,5,62
FJSW,D,20120217,000000,106.5,106.5,106.5,106.5,1,62
FJSW,D,20120220,000000,106,107,106,107,3,61
FJSW,D,20120222,000000,106,106,106,106,4,60
FJSW,D,20120224,000000,105.9,105.9,105.2,105.2,2,60
FJSW,D,20120227,000000,104,104,103.75,103.75,7,63
FJSW,D,20120228,000000,103.9,103.9,103.9,103.9,3,60
FJSW,D,20120302,000000,104.2,104.2,104.2,104.2,2,70
FJSW,D,20120306,000000,101.5,101.5,97.6,97.75,35,96
FJSW,D,20120307,000000,98.8,98.8,98.2,98.2,4,97
FJSW,D,20120308,000000,101,101,101,101,8,97
FJSW,D,20120309,000000,101,104.1,101,104.1,9,99
FJSW,D,20120312,000000,104.6,104.9,104.1,104.5,8,98
FJSW,D,20120313,000000,105.55,105.55,104.4,104.4,7,100
FJSW,D,20120314,000000,104.8,104.8,104.8,104.8,2,101
FJSW,D,20120315,000000,103,103,103,103,10,106
FJSW,D,20120316,000000,100.8,100.9,100.8,100.9,32,127
FJSW,D,20120319,000000,100.7,101,100.2,100.2,21,75
FJSW,D,20120320,000000,99.1,99.25,96.35,96.75,20,86
FJSW,D,20120321,000000,97.65,97.7,95.1,95.1,18,85
FJSW,D,20120322,000000,95.1,95.1,92,92.15,9,90
FJSW,D,20120323,000000,92.4,95.65,92.4,94.45,13,86
FJSW,D,20120326,000000,96.2,96.2,96.05,96.05,4,85
FJSW,D,20120327,000000,98.35,99,96.7,96.7,23,86
FJSW,D,20120328,000000,97.5,97.5,95.75,95.75,9,89
FJSW,D,20120329,000000,95.65,95.65,92.55,92.55,6,94
FJSW,D,20120330,000000,95.6,95.6,94.05,94.05,3,96
FJSW,D,20120402,000000,94,94,93,94,5,99
FJSW,D,20120403,000000,95.7,95.7,93.8,94.45,11,105
