<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FKRUM22,D,20211103,000000,345.15,350.50,345.15,350.50,2,0
FKRUM22,D,20211104,000000,381.38,381.38,381.38,381.38,1,1
FKRUM22,D,20211112,000000,381.382,381.382,381.382,381.382,2,3
FKRUM22,D,20211115,000000,373.00,373.00,373.00,373.00,1,3
FKRUM22,D,20211116,000000,354.00,354.00,354.00,354.00,4,3
FKRUM22,D,20211117,000000,342.00,342.00,342.00,342.00,1,3
FKRUM22,D,20211118,000000,340.00,340.00,340.00,340.00,1,3
FKRUM22,D,20211119,000000,330.00,330.00,329.00,329.00,2,3
FKRUM22,D,20211124,000000,320.00,320.00,317.00,317.00,2,3
FKRUM22,D,20211215,000000,367.00,367.00,367.00,367.00,1,4
FKRUM22,D,20211216,000000,358.00,358.00,358.00,358.00,1,3
FKRUM22,D,20211220,000000,336.00,344.00,336.00,344.00,12,15
FKRUM22,D,20211221,000000,332,332,332,332,11,4
FKRUM22,D,20211230,000000,329,329,329,329,1,5
FKRUM22,D,20220103,000000,329,329,329,329,2,3
FKRUM22,D,20220124,000000,326.689,326.689,326.689,326.689,1,3
FKRUM22,D,20220125,000000,332.18,332.18,332.18,332.18,1,4
FKRUM22,D,20220223,000000,280,280,280,280,1,5
FKRUM22,D,20220303,000000,267,267,267,267,1,6
FKRUM22,D,20220307,000000,241.21,241.21,241.21,241.21,2,8
FKRUM22,D,20220314,000000,272,272,272,272,1,9
FKRUM22,D,20220315,000000,262.5005,262.5005,262.5005,262.5005,1,10
FKRUM22,D,20220316,000000,276.9999,283,273,283,7,12
FKRUM22,D,20220317,000000,287.104,293.561,287.104,293.561,9,19
FKRUM22,D,20220318,000000,292.28,299,287,299,5,18
FKRUM22,D,20220321,000000,299,302.8,293.188,295.62,73,87
FKRUM22,D,20220323,000000,299.7999,299.7999,298.2,298.2,2,87
FKRUM22,D,20220324,000000,305,312,305,305.95,11,91
FKRUM22,D,20220329,000000,301.212,301.212,293,300.09,8,85
FKRUM22,D,20220330,000000,306.1999,306.1999,300.5,300.5,3,85
FKRUM22,D,20220331,000000,295.874,298.075,294.5436,298.075,10,78
FKRUM22,D,20220401,000000,301.9184,301.9184,296,296.3,4,76
FKRUM22,D,20220404,000000,294.5406,294.9,294.5406,294.9,9,68
FKRUM22,D,20220405,000000,290.15,290.15,288,288.1278,5,65
FKRUM22,D,20220406,000000,290,290,284.5462,284.5462,3,65
FKRUM22,D,20220407,000000,282,285.998,279,279,5,63
FKRUM22,D,20220408,000000,283.2748,285.46,283.2748,285.46,2,63
FKRUM22,D,20220411,000000,290.76,290.76,290.76,290.76,1,63
FKRUM22,D,20220412,000000,288.406,291.2705,282.6912,282.6912,3,62
FKRUM22,D,20220413,000000,277.3088,282.0504,277.3088,282.0504,3,60
FKRUM22,D,20220419,000000,278.4,305.4,278.4,304.6,25,51
FKRUM22,D,20220420,000000,300.722,302,295.3,299.4,18,60
FKRUM22,D,20220421,000000,291.33,292,284.4188,286,13,51
FKRUM22,D,20220422,000000,284,284,282,282,8,45
FKRUM22,D,20220425,000000,272.81,276.5,272.81,275,3,45
FKRUM22,D,20220426,000000,272,272,272,272,1,44
FKRUM22,D,20220427,000000,266,266,258.3512,258.3512,11,36
FKRUM22,D,20220428,000000,264,267,264,265.71,3,35
FKRUM22,D,20220429,000000,270.92,272.1,259.6332,259.6332,3,33
FKRUM22,D,20220502,000000,256.9864,256.9864,256.9864,256.9864,1,32
FKRUM22,D,20220504,000000,239.2,244.4,239.2,244.4,6,30
FKRUM22,D,20220506,000000,233.4176,239.8599,233.4176,239.8599,4,30
FKRUM22,D,20220509,000000,247.8,247.8,241.0001,241.0001,3,30
FKRUM22,D,20220510,000000,235.31,235.31,230.88,232.1999,4,32
FKRUM22,D,20220511,000000,229.2,229.23,229.2,229.23,2,32
FKRUM22,D,20220512,000000,230.87,230.87,221,221,2,32
FKRUM22,D,20220513,000000,239.5,239.5,239.4876,239.4876,2,31
FKRUM22,D,20220516,000000,241.0248,241.0248,238.8519,238.8519,2,31
FKRUM22,D,20220517,000000,245,249.3599,243.502,248.1999,4,32
FKRUM22,D,20220518,000000,247,247,247,247,1,31
FKRUM22,D,20220519,000000,237,242.4999,232.3304,242.4999,3,32
FKRUM22,D,20220520,000000,243.491,243.491,243.491,243.491,1,32
FKRUM22,D,20220523,000000,244,249.8948,244,249.7864,3,30
FKRUM22,D,20220524,000000,253.1,257.3,253.0716,257.3,4,30
FKRUM22,D,20220525,000000,258,265,258,265,10,30
FKRUM22,D,20220526,000000,267.7659,267.7659,267.7659,267.7659,1,31
FKRUM22,D,20220527,000000,260,265.998,260,265.1999,51,30
FKRUM22,D,20220530,000000,269.1,269.1,269.1,269.1,1,30
FKRUM22,D,20220531,000000,272.846,273.4,272.846,273.4,2,29
FKRUM22,D,20220602,000000,260.2,262.7999,260.2,262.7999,9,28
FKRUM22,D,20220603,000000,258.212,258.212,258.212,258.212,2,26
FKRUM22,D,20220606,000000,264.9,264.9,264.9,264.9,1,26
FKRUM22,D,20220608,000000,261,261,261,261,1,26
FKRUM22,D,20220609,000000,259.977,259.977,259.977,259.977,1,25
FKRUM22,D,20220610,000000,251.7,251.7,247,247,2,25
FKRUM22,D,20220613,000000,239.15,239.15,237.1499,237.1499,3,25
FKRUM22,D,20220615,000000,232.784,232.784,232.7,232.7,2,25
FKRUM22,D,20220617,000000,232.15,232.15,231.5,231.5,3,22
