<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPCO,D,20210610,000000,43.96,43.96,43.96,43.96,11,11
FPCO,D,20210611,000000,43.53,43.53,43.53,43.53,1,12
FPCO,D,20210614,000000,43.65,43.65,43.04,43.07,5,15
FPCO,D,20210616,000000,42.56,43.32,42.56,43.32,5,12
FPCO,D,20210617,000000,42.62,43.40,42.62,43.40,6,12
FPCO,D,20210618,000000,43.80,43.80,43.27,43.27,5,15
FPCO,D,20210622,000000,44.90,45.70,44.90,45.70,23,33
FPCO,D,20210623,000000,45.36,46.8554,45.36,46.8554,4,34
FPCO,D,20210624,000000,47.00,50.71,46.31,50.71,20,28
FPCO,D,20210625,000000,49.30,51.00,49.30,50.81,10,31
FPCO,D,20210628,000000,50.37,51.00,50.06,51.00,22,15
FPCO,D,20210629,000000,51.16,51.17,51.02,51.02,4,16
FPCO,D,20210630,000000,50.43,50.43,49.02,49.02,5,18
FPCO,D,20210701,000000,49.64,50.15,49.64,50.15,2,18
FPCO,D,20210702,000000,51.30,51.77,51.30,51.40,17,33
FPCO,D,20210705,000000,51.40,52.80,51.40,51.80,38,63
FPCO,D,20210706,000000,52.50,52.50,51.51,51.51,17,57
FPCO,D,20210707,000000,51.52,52.80,51.52,52.53,21,53
FPCO,D,20210708,000000,51.72,52.69,51.72,52.20,7,59
FPCO,D,20210709,000000,52.20,52.20,51.51,51.51,8,65
FPCO,D,20210713,000000,52.29,52.54,52.29,52.54,2,63
FPCO,D,20210714,000000,53.00,53.00,52.30,52.30,2,64
FPCO,D,20210715,000000,51.72,51.74,51.72,51.74,2,66
FPCO,D,20210716,000000,52.99,52.99,52.99,52.99,1,67
FPCO,D,20210719,000000,51.58,52.59,51.58,52.59,3,65
FPCO,D,20210720,000000,52.48,53.42,52.48,53.42,4,62
FPCO,D,20210721,000000,53.65,53.75,53.65,53.75,11,61
FPCO,D,20210723,000000,54.11,54.40,54.11,54.31,7,64
FPCO,D,20210727,000000,54.60,54.60,54.60,54.60,5,64
