<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPCOM22,D,20211130,000000,46.47,46.47,46.47,46.47,2,2
FPCOM22,D,20211201,000000,45.45,45.45,45.45,45.45,2,0
FPCOM22,D,20220113,000000,43.4771,43.4771,43.4771,43.4771,1,1
FPCOM22,D,20220307,000000,40.819,40.819,40.819,40.819,1,0
FPCOM22,D,20220314,000000,42,42,42,42,1,1
FPCOM22,D,20220316,000000,42.1498,42.1498,42.1498,42.1498,5,5
FPCOM22,D,20220318,000000,44.7598,44.7598,44.7598,44.7598,5,10
FPCOM22,D,20220321,000000,46,47.8453,46,46.9848,20,26
FPCOM22,D,20220322,000000,45.95,45.95,45.95,45.95,1,26
FPCOM22,D,20220323,000000,46.65,46.6579,44.8225,45.04,82,65
FPCOM22,D,20220324,000000,46.08,46.08,46.08,46.08,1,65
FPCOM22,D,20220329,000000,45.825,45.825,45.825,45.825,2,65
FPCOM22,D,20220330,000000,44.74,44.74,44.74,44.74,2,63
FPCOM22,D,20220331,000000,44.015,44.105,44.015,44.105,3,60
FPCOM22,D,20220401,000000,45.035,45.7,45.035,45.7,2,60
FPCOM22,D,20220404,000000,45.4202,46.5097,44.3605,46.052,15,60
FPCOM22,D,20220406,000000,44.685,44.685,44.685,44.685,1,60
FPCOM22,D,20220407,000000,45,45,44.616,44.616,2,61
FPCOM22,D,20220408,000000,44.3,44.75,44.3,44.75,5,64
FPCOM22,D,20220411,000000,44.82,45.157,44.82,45.157,5,64
FPCOM22,D,20220412,000000,44.7971,44.7971,44.775,44.775,2,62
FPCOM22,D,20220413,000000,44.74,44.74,44.74,44.74,1,63
FPCOM22,D,20220414,000000,44.4,44.4,44.4,44.4,1,63
FPCOM22,D,20220419,000000,44.09,44.2,42.8993,42.8993,11,65
FPCOM22,D,20220420,000000,43.5,43.5,42.96,42.96,12,61
FPCOM22,D,20220421,000000,44,44,42.7,42.7,4,61
FPCOM22,D,20220422,000000,42,42,41.47,41.5,4,61
FPCOM22,D,20220425,000000,40,41,40,41,4,64
FPCOM22,D,20220426,000000,40.63,40.63,39.9,39.9,7,69
FPCOM22,D,20220427,000000,41.2412,41.27,41.2412,41.27,5,64
FPCOM22,D,20220429,000000,41.18,41.18,40.94,40.94,4,64
FPCOM22,D,20220502,000000,40.5958,40.5958,39.4128,39.665,14,70
FPCOM22,D,20220504,000000,39.5,41.11,39.5,39.98,10,80
FPCOM22,D,20220505,000000,40,40,39.99,39.99,6,78
FPCOM22,D,20220506,000000,40.07,40.09,39.65,40,12,72
FPCOM22,D,20220509,000000,39.8175,39.8175,38.513,38.513,8,78
FPCOM22,D,20220510,000000,38.56,40.7147,38.56,39.7599,24,82
FPCOM22,D,20220511,000000,39.6599,39.9128,39.6599,39.9128,10,77
FPCOM22,D,20220512,000000,39.2999,39.3,38.64,39.3,11,72
FPCOM22,D,20220513,000000,40.4779,40.6829,39.7,40.55,16,87
FPCOM22,D,20220516,000000,40.87,41.2,40.87,41.2,8,95
FPCOM22,D,20220517,000000,41.237,41.71,41.08,41.08,16,88
FPCOM22,D,20220518,000000,41.37,41.37,40,40,19,84
FPCOM22,D,20220519,000000,40.09,40.09,39.6262,39.6262,2,84
FPCOM22,D,20220523,000000,40.1,40.49,40.1,40.476,7,91
FPCOM22,D,20220524,000000,40,40,39.75,39.75,5,96
FPCOM22,D,20220525,000000,39.03,39.0504,38,38.74,38,110
FPCOM22,D,20220526,000000,40.088,40.088,40.04,40.04,2,112
FPCOM22,D,20220527,000000,40.0036,40.0036,39.44,39.44,2,112
FPCOM22,D,20220530,000000,39.66,39.66,39.42,39.46,17,114
FPCOM22,D,20220531,000000,39.3,39.3,38.5,38.5,3,116
FPCOM22,D,20220601,000000,38.17,38.31,38.17,38.31,6,117
FPCOM22,D,20220602,000000,37.88,38.6,37.88,38.6,2,117
FPCOM22,D,20220607,000000,38.95,39.45,38.95,39.45,4,117
FPCOM22,D,20220608,000000,39.31,39.31,38.3192,38.3192,2,117
FPCOM22,D,20220609,000000,38.05,38.05,36.99,38,6,119
FPCOM22,D,20220610,000000,37.2691,37.2691,37,37,4,119
FPCOM22,D,20220613,000000,35.4133,35.84,34.43,35.84,9,115
FPCOM22,D,20220614,000000,36.28,36.28,36.28,36.28,1,115
FPCOM22,D,20220615,000000,37.02,37.02,35,35.25,22,108
FPCOM22,D,20220617,000000,35.1765,35.8,35.1765,35.74,11,109
