<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTPEZ22,D,20220323,000000,2.9982,2.9982,2.9982,2.9982,1,1
FTPEZ22,D,20220324,000000,3.1432,3.1432,3.1432,3.1432,1,2
FTPEZ22,D,20220325,000000,3.13,3.17,3.09,3.17,61,61
FTPEZ22,D,20220329,000000,3.1377,3.1377,3.02,3.07,30,91
FTPEZ22,D,20220330,000000,3.0355,3.0355,3.01,3.01,12,103
FTPEZ22,D,20220404,000000,3.01,3.01,2.99,2.99,3,106
FTPEZ22,D,20220405,000000,2.95,2.95,2.95,2.95,1,107
FTPEZ22,D,20220413,000000,3.1348,3.1348,3.1348,3.1348,1,106
FTPEZ22,D,20220421,000000,2.9943,2.9943,2.9943,2.9943,2,108
FTPEZ22,D,20220422,000000,3.06,3.06,3.06,3.06,1,109
FTPEZ22,D,20220426,000000,3.25,3.25,3.25,3.25,1,110
FTPEZ22,D,20220427,000000,3.25,3.25,3.25,3.25,1,111
FTPEZ22,D,20220429,000000,3.4815,3.4815,3.4815,3.4815,1,112
FTPEZ22,D,20220505,000000,3.4,3.4,3.4,3.4,1,113
FTPEZ22,D,20220509,000000,3.4652,3.4652,3.4652,3.4652,1,113
FTPEZ22,D,20220523,000000,3.4975,3.6,3.4975,3.566,14,114
FTPEZ22,D,20220526,000000,3.5929,3.5929,3.5929,3.5929,1,115
FTPEZ22,D,20220530,000000,3.5748,3.5748,3.5748,3.5748,1,115
FTPEZ22,D,20220531,000000,3.4756,3.4756,3.4756,3.4756,1,115
FTPEZ22,D,20220601,000000,3.42,3.42,3.42,3.42,1,115
FTPEZ22,D,20220606,000000,3.42,3.42,3.42,3.42,1,116
FTPEZ22,D,20220608,000000,3.36,3.3982,3.36,3.36,3,118
FTPEZ22,D,20220609,000000,3.3035,3.4074,3.3035,3.36,5,122
FTPEZ22,D,20220617,000000,3.34,3.44,3.34,3.44,5,127
FTPEZ22,D,20220621,000000,3.7,3.7,3.7,3.7,1,127
FTPEZ22,D,20220629,000000,3.588,3.588,3.588,3.588,1,127
FTPEZ22,D,20220630,000000,3.52,3.57,3.52,3.57,3,129
FTPEZ22,D,20220701,000000,3.53,3.53,3.53,3.53,2,131
FTPEZ22,D,20220704,000000,3.5,3.5,3.38,3.38,4,135
FTPEZ22,D,20220706,000000,3.25,3.34,3.25,3.34,4,138
FTPEZ22,D,20220708,000000,3.38,3.44,3.38,3.44,4,138
FTPEZ22,D,20220711,000000,3.35,3.35,3.1,3.2042,3,139
FTPEZ22,D,20220712,000000,3.2,3.2,3.2,3.2,2,141
FTPEZ22,D,20220713,000000,3.15,3.15,3.15,3.15,1,142
FTPEZ22,D,20220714,000000,3.25,3.25,3.25,3.25,2,144
FTPEZ22,D,20220720,000000,3.4521,3.4601,3.4521,3.4601,2,142
FTPEZ22,D,20220722,000000,3.42,3.42,3.42,3.42,5,137
FTPEZ22,D,20220802,000000,3.2575,3.3031,3.2488,3.3031,41,178
FTPEZ22,D,20220803,000000,3.2245,3.2855,3.2245,3.27,25,202
FTPEZ22,D,20220804,000000,3.2201,3.2201,3.21,3.21,9,208
FTPEZ22,D,20220809,000000,3.14,3.14,3.14,3.14,1,209
FTPEZ22,D,20220810,000000,3.1,3.131,3.012,3.131,13,221
FTPEZ22,D,20220811,000000,3.05,3.05,3.05,3.05,2,223
FTPEZ22,D,20220816,000000,3.1,3.1,3.1,3.1,2,225
FTPEZ22,D,20220818,000000,2.9105,2.9105,2.79,2.79,49,249
FTPEZ22,D,20220819,000000,2.828,2.828,2.72,2.7354,30,272
FTPEZ22,D,20220822,000000,2.651,2.6736,2.64,2.6736,3,273
FTPEZ22,D,20220823,000000,2.681,2.681,2.68,2.68,2,275
FTPEZ22,D,20220824,000000,2.6,2.687,2.6,2.687,2,275
FTPEZ22,D,20220826,000000,2.71,2.75,2.5005,2.53,12,281
FTPEZ22,D,20220829,000000,2.46,2.46,2.46,2.46,2,282
FTPEZ22,D,20220830,000000,2.32,2.32,2.32,2.32,4,280
FTPEZ22,D,20220831,000000,2.3333,2.3333,2.321,2.321,8,284
FTPEZ22,D,20220901,000000,2.3342,2.383,2.31,2.31,3,286
FTPEZ22,D,20220902,000000,2.4001,2.4442,2.36,2.4442,5,288
FTPEZ22,D,20220905,000000,2.46,2.46,2.4052,2.4471,35,323
