<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FUSDN22,D,20220502,000000,4.4881,4.4881,4.4881,4.4881,2,2
FUSDN22,D,20220504,000000,4.4798,4.4798,4.4798,4.4798,2,0
FUSDN22,D,20220506,000000,4.485,4.485,4.485,4.485,1,1
FUSDN22,D,20220509,000000,4.5052,4.5055,4.5052,4.5055,2,3
FUSDN22,D,20220510,000000,4.47,4.47,4.47,4.47,1,4
FUSDN22,D,20220511,000000,4.4594,4.4594,4.4594,4.4594,10,14
FUSDN22,D,20220513,000000,4.525,4.55,4.525,4.55,4,18
FUSDN22,D,20220607,000000,4.3118,4.3118,4.3,4.3,15,18
FUSDN22,D,20220609,000000,4.3124,4.3124,4.3124,4.3124,10,28
FUSDN22,D,20220610,000000,4.35,4.39,4.35,4.39,27,55
FUSDN22,D,20220613,000000,4.41,4.489,4.41,4.489,9,58
FUSDN22,D,20220615,000000,4.48,4.4884,4.48,4.4884,4,62
FUSDN22,D,20220617,000000,4.47,4.499,4.47,4.499,26,82
FUSDN22,D,20220621,000000,4.4161,4.4175,4.3977,4.4117,23,102
FUSDN22,D,20220622,000000,4.4442,4.4499,4.4379,4.4499,31,111
FUSDN22,D,20220623,000000,4.4946,4.4946,4.4885,4.4888,5,106
FUSDN22,D,20220624,000000,4.4835,4.4835,4.4835,4.4835,2,104
FUSDN22,D,20220627,000000,4.455,4.455,4.4299,4.4299,147,251
FUSDN22,D,20220629,000000,4.463,4.4633,4.4599,4.4599,37,214
FUSDN22,D,20220630,000000,4.5033,4.5155,4.502,4.502,15,225
FUSDN22,D,20220701,000000,4.5123,4.5379,4.5123,4.5309,113,187
FUSDN22,D,20220704,000000,4.5122,4.5183,4.5122,4.5183,29,173
FUSDN22,D,20220705,000000,4.57,4.6594,4.57,4.6594,145,152
FUSDN22,D,20220706,000000,4.6477,4.7008,4.645,4.7008,173,190
FUSDN22,D,20220707,000000,4.707,4.7114,4.68,4.7114,94,118
FUSDN22,D,20220708,000000,4.7453,4.7453,4.7,4.7,6,119
FUSDN22,D,20220711,000000,4.7373,4.7755,4.7373,4.7755,81,120
FUSDN22,D,20220712,000000,4.8263,4.8263,4.8215,4.8215,129,110
FUSDN22,D,20220713,000000,4.83,4.83,4.79,4.8178,39,112
FUSDN22,D,20220714,000000,4.8178,4.8341,4.8009,4.8071,111,96
