<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FW20,D,19980120,000000,1440,1440,1440,1440,4,12
FW20,D,19980122,000000,1370,1370,1370,1370,9,21
FW20,D,19980123,000000,1370,1370,1370,1370,2,22
FW20,D,19980128,000000,1382,1390,1382,1389,8,9
FW20,D,19980129,000000,1417,1417,1412,1412,4,21
FW20,D,19980130,000000,1410,1410,1380,1380,2,9
FW20,D,19980202,000000,1433,1485,1433,1485,22,25
FW20,D,19980203,000000,1507,1551,1507,1543,15,26
FW20,D,19980204,000000,1490,1504,1490,1504,3,9
FW20,D,19980205,000000,1544,1569,1544,1565,20,29
FW20,D,19980206,000000,1580,1595,1553,1553,16,19
FW20,D,19980209,000000,1609,1615,1588,1615,7,35
FW20,D,19980210,000000,1571,1571,1571,1571,1,21
FW20,D,19980211,000000,1610,1610,1581,1585,11,18
FW20,D,19980212,000000,1560,1560,1555,1560,7,30
FW20,D,19980213,000000,1585,1590,1585,1590,8,14
FW20,D,19980216,000000,1585,1588,1585,1585,3,17
FW20,D,19980217,000000,1595,1600,1590,1600,5,35
FW20,D,19980218,000000,1661,1700,1661,1693,21,35
FW20,D,19980219,000000,1751,1767,1745,1745,13,38
FW20,D,19980220,000000,1750,1752,1730,1739,8,38
FW20,D,19980223,000000,1751,1775,1751,1775,13,38
FW20,D,19980224,000000,1723,1730,1723,1730,11,41
FW20,D,19980225,000000,1741,1741,1737,1737,13,39
FW20,D,19980226,000000,1755,1755,1749,1749,5,22
FW20,D,19980227,000000,1737,1737,1730,1730,4,39
FW20,D,19980302,000000,1748,1767,1748,1767,8,21
FW20,D,19980303,000000,1729,1729,1720,1720,8,40
FW20,D,19980304,000000,1690,1690,1690,1690,8,40
FW20,D,19980305,000000,1679,1683,1667,1683,10,43
FW20,D,19980306,000000,1718,1725,1718,1723,20,57
FW20,D,19980309,000000,1801,1801,1780,1780,12,56
FW20,D,19980310,000000,1860,1860,1819,1835,40,59
FW20,D,19980311,000000,1830,1830,1819,1829,9,57
FW20,D,19980312,000000,1834,1847,1834,1847,9,63
FW20,D,19980313,000000,1840,1840,1835,1835,6,67
FW20,D,19980316,000000,1829,1829,1829,1829,4,71
FW20,D,19980317,000000,1814,1817,1814,1815,5,52
FW20,D,19980318,000000,1822,1829,1822,1825,22,85
FW20,D,19980319,000000,1825,1825,1820,1820,8,86
FW20,D,19980320,000000,1815,1820,1810,1820,5,61
FW20,D,19980323,000000,1805,1810,1805,1805,21,70
FW20,D,19980324,000000,1780,1791,1780,1791,6,65
FW20,D,19980325,000000,1814,1822,1814,1817,9,68
FW20,D,19980326,000000,1809,1809,1790,1790,7,68
FW20,D,19980327,000000,1780,1790,1773,1785,15,80
FW20,D,19980330,000000,1752,1753,1745,1745,17,84
FW20,D,19980331,000000,1723,1727,1723,1727,5,68
FW20,D,19980401,000000,1727,1732,1725,1725,24,85
FW20,D,19980402,000000,1730,1730,1730,1730,4,83
FW20,D,19980406,000000,1753,1755,1747,1750,17,80
FW20,D,19980407,000000,1789,1794,1783,1783,30,79
FW20,D,19980408,000000,1749,1749,1734,1736,26,81
FW20,D,19980409,000000,1742,1742,1730,1730,15,87
FW20,D,19980414,000000,1784,1784,1763,1770,12,91
FW20,D,19980415,000000,1745,1745,1730,1740,19,83
FW20,D,19980416,000000,1714,1717,1709,1714,14,103
FW20,D,19980417,000000,1708,1708,1702,1706,8,105
FW20,D,19980420,000000,1693,1693,1673,1678,24,108
FW20,D,19980421,000000,1647,1663,1636,1659,23,114
FW20,D,19980422,000000,1680,1689,1662,1663,24,108
FW20,D,19980423,000000,1706,1720,1701,1716,20,105
FW20,D,19980424,000000,1745,1759,1745,1755,34,105
FW20,D,19980427,000000,1730,1730,1716,1716,18,109
FW20,D,19980428,000000,1683,1724,1678,1724,31,108
FW20,D,19980429,000000,1748,1758,1740,1740,37,103
FW20,D,19980430,000000,1784,1800,1783,1787,31,90
FW20,D,19980504,000000,1811,1811,1790,1800,15,97
FW20,D,19980505,000000,1771,1779,1770,1770,10,99
FW20,D,19980506,000000,1775,1775,1773,1773,8,103
FW20,D,19980507,000000,1775,1789,1775,1785,17,96
FW20,D,19980508,000000,1798,1798,1785,1795,11,101
FW20,D,19980511,000000,1795,1795,1781,1781,11,104
FW20,D,19980512,000000,1750,1750,1730,1740,17,103
FW20,D,19980513,000000,1730,1738,1727,1738,22,109
FW20,D,19980514,000000,1717,1719,1708,1710,22,120
FW20,D,19980515,000000,1730,1738,1730,1735,14,119
FW20,D,19980518,000000,1701,1710,1697,1702,31,123
FW20,D,19980519,000000,1670,1700,1670,1700,22,131
FW20,D,19980520,000000,1702,1729,1702,1715,23,139
FW20,D,19980521,000000,1760,1780,1760,1762,40,143
FW20,D,19980522,000000,1748,1748,1720,1728,32,151
FW20,D,19980525,000000,1710,1714,1705,1706,21,162
FW20,D,19980526,000000,1680,1705,1680,1705,25,162
FW20,D,19980527,000000,1620,1627,1594,1594,71,175
FW20,D,19980528,000000,1639,1639,1601,1614,31,178
FW20,D,19980529,000000,1608,1608,1595,1600,21,178
FW20,D,19980601,000000,1525,1525,1502,1505,59,183
FW20,D,19980602,000000,1499,1535,1486,1528,106,187
FW20,D,19980603,000000,1580,1590,1570,1573,78,178
FW20,D,19980604,000000,1610,1610,1577,1577,45,190
FW20,D,19980605,000000,1606,1611,1595,1602,47,194
FW20,D,19980608,000000,1660,1660,1611,1611,50,192
FW20,D,19980609,000000,1568,1573,1560,1560,66,218
FW20,D,19980610,000000,1535,1583,1535,1570,46,203
FW20,D,19980615,000000,1520,1523,1492,1496,89,224
FW20,D,19980616,000000,1550,1588,1550,1578,45,233
FW20,D,19980617,000000,1595,1595,1576,1593,85,210
FW20,D,19980618,000000,1613,1613,1583,1585,63,237
FW20,D,19980619,000000,1554,1580,1554,1580,48,235
FW20,D,19980622,000000,1599,1605,1597,1601,51,195
FW20,D,19980623,000000,1590,1590,1571,1571,40,208
FW20,D,19980624,000000,1573,1584,1570,1582,13,216
FW20,D,19980625,000000,1612,1620,1608,1616,54,242
FW20,D,19980626,000000,1589,1601,1582,1601,23,248
FW20,D,19980629,000000,1585,1593,1585,1585,22,261
FW20,D,19980630,000000,1610,1621,1605,1608,65,264
FW20,D,19980701,000000,1610,1617,1608,1617,19,266
FW20,D,19980702,000000,1635,1645,1635,1640,73,265
FW20,D,19980703,000000,1677,1695,1671,1692,76,230
FW20,D,19980706,000000,1694,1698,1675,1696,47,245
FW20,D,19980707,000000,1670,1688,1670,1685,66,253
FW20,D,19980708,000000,1651,1664,1651,1659,58,259
FW20,D,19980709,000000,1639,1669,1638,1660,57,266
FW20,D,19980710,000000,1664,1673,1664,1673,27,267
FW20,D,19980713,000000,1701,1742,1701,1740,64,266
FW20,D,19980714,000000,1770,1775,1745,1755,97,262
FW20,D,19980715,000000,1735,1750,1731,1744,69,289
FW20,D,19980716,000000,1732,1749,1732,1749,23,288
FW20,D,19980717,000000,1745,1749,1735,1749,51,293
FW20,D,19980720,000000,1749,1780,1749,1780,37,293
FW20,D,19980721,000000,1760,1765,1745,1746,44,303
