<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FXTBZ22,D,20220321,000000,18.3468,18.3468,18.3106,18.3106,5,5
FXTBZ22,D,20220324,000000,18.2586,18.2586,18.2586,18.2586,5,5
FXTBZ22,D,20220404,000000,20.4709,20.4709,19.4734,19.4734,7,5
FXTBZ22,D,20220412,000000,21.0263,21.0263,21.0263,21.0263,1,6
FXTBZ22,D,20220413,000000,21.1424,21.3106,21.1424,21.3106,4,10
FXTBZ22,D,20220516,000000,20.2699,20.2699,20.1635,20.1635,3,13
FXTBZ22,D,20220520,000000,20.9999,20.9999,20.9999,20.9999,1,14
FXTBZ22,D,20220525,000000,20.8495,20.8495,20.8495,20.8495,1,14
FXTBZ22,D,20220526,000000,21.4499,21.4499,21.4499,21.4499,1,15
FXTBZ22,D,20220527,000000,21.0976,21.0976,21.0976,21.0976,1,15
FXTBZ22,D,20220602,000000,20.9285,20.9285,20.9285,20.9285,1,16
FXTBZ22,D,20220610,000000,20.1276,20.1276,20.1276,20.1276,1,17
FXTBZ22,D,20220614,000000,21.3003,21.4954,20.4744,21.3946,8,20
FXTBZ22,D,20220615,000000,21.2683,21.3868,21.2683,21.3868,7,22
FXTBZ22,D,20220617,000000,22.305,22.4527,22.305,22.4527,2,23
FXTBZ22,D,20220620,000000,22.3554,22.3554,22.2708,22.2708,7,30
FXTBZ22,D,20220816,000000,23.0499,23.0499,23.0499,23.0499,5,35
FXTBZ22,D,20220818,000000,23.3478,23.3478,23.3478,23.3478,4,39
