<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_GRY_PB,D,20220323,000000,3.629,3.654,3.57,3.579,0,0
WIG_GRY_PB,D,20220324,000000,3.579,3.617,3.563,3.61,0,0
WIG_GRY_PB,D,20220325,000000,3.61,3.655,3.6,3.643,0,0
WIG_GRY_PB,D,20220328,000000,3.643,3.662,3.603,3.611,0,0
WIG_GRY_PB,D,20220329,000000,3.611,3.64,3.599,3.628,0,0
WIG_GRY_PB,D,20220330,000000,3.628,3.659,3.608,3.64,0,0
WIG_GRY_PB,D,20220331,000000,3.64,3.653,3.577,3.587,0,0
WIG_GRY_PB,D,20220401,000000,3.587,3.607,3.564,3.607,0,0
WIG_GRY_PB,D,20220404,000000,3.607,3.61,3.561,3.579,0,0
WIG_GRY_PB,D,20220405,000000,3.579,3.601,3.567,3.591,0,0
WIG_GRY_PB,D,20220406,000000,3.591,3.598,3.52,3.558,0,0
WIG_GRY_PB,D,20220407,000000,3.558,3.561,3.511,3.527,0,0
WIG_GRY_PB,D,20220408,000000,3.527,3.553,3.501,3.541,0,0
WIG_GRY_PB,D,20220411,000000,3.541,3.55,3.49,3.525,0,0
WIG_GRY_PB,D,20220412,000000,3.525,3.528,3.476,3.49,0,0
WIG_GRY_PB,D,20220413,000000,3.49,3.498,3.45,3.496,0,0
WIG_GRY_PB,D,20220414,000000,3.496,3.496,3.464,3.469,0,0
WIG_GRY_PB,D,20220419,000000,3.469,3.495,3.287,3.287,0,0
WIG_GRY_PB,D,20220420,000000,3.287,3.3,3.238,3.247,0,0
WIG_GRY_PB,D,20220421,000000,3.247,3.267,3.185,3.2,0,0
WIG_GRY_PB,D,20220422,000000,3.2,3.2,3.101,3.123,0,0
WIG_GRY_PB,D,20220425,000000,3.123,3.123,3.065,3.101,0,0
WIG_GRY_PB,D,20220426,000000,3.101,3.124,3.064,3.09,0,0
WIG_GRY_PB,D,20220427,000000,3.09,3.16,3.003,3.16,0,0
WIG_GRY_PB,D,20220428,000000,3.16,3.303,3.116,3.303,0,0
WIG_GRY_PB,D,20220429,000000,3.303,3.328,3.262,3.294,0,0
WIG_GRY_PB,D,20220502,000000,3.294,3.297,3.242,3.286,0,0
WIG_GRY_PB,D,20220504,000000,3.286,3.329,3.286,3.291,0,0
