<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_MS_PET_MV,D,20190410,000000,101636.94,103237.42,101233.5,102977.78,0,0
WIG_MS_PET_MV,D,20190411,000000,102977.78,103060.53,101223.42,101250.08,0,0
WIG_MS_PET_MV,D,20190412,000000,101250.08,101862.45,101250.08,101388.31,0,0
WIG_MS_PET_MV,D,20190415,000000,101388.31,101443.86,100332.39,100911.33,0,0
WIG_MS_PET_MV,D,20190416,000000,100911.33,101723.3,100536.25,101723.3,0,0
WIG_MS_PET_MV,D,20190417,000000,101723.3,103039.97,101723.3,102426.05,0,0
WIG_MS_PET_MV,D,20190418,000000,102426.05,102426.05,100204.09,100443.37,0,0
WIG_MS_PET_MV,D,20190423,000000,100443.37,100954.49,99769.49,99769.49,0,0
WIG_MS_PET_MV,D,20190424,000000,99769.49,100456.79,98986.83,100102,0,0
WIG_MS_PET_MV,D,20190425,000000,100102,100105.95,98294.91,99476.33,0,0
WIG_MS_PET_MV,D,20190426,000000,99476.33,99559.84,98399.22,98996.76,0,0
WIG_MS_PET_MV,D,20190429,000000,98996.76,99191.44,97414.65,97960.11,0,0
WIG_MS_PET_MV,D,20190430,000000,97960.11,98196.4,97353.42,97397.95,0,0
WIG_MS_PET_MV,D,20190502,000000,97397.95,97795.01,96880.44,96880.44,0,0
WIG_MS_PET_MV,D,20190506,000000,96880.44,96880.44,94469.15,95118.05,0,0
WIG_MS_PET_MV,D,20190507,000000,95118.05,95557.8,92044.3,92044.3,0,0
WIG_MS_PET_MV,D,20190508,000000,92044.3,92672.7,91023.68,91687.06,0,0
WIG_MS_PET_MV,D,20190509,000000,91687.06,91687.06,89036.69,89036.69,0,0
WIG_MS_PET_MV,D,20190510,000000,89036.69,90778.64,88839.5,89851.79,0,0
WIG_MS_PET_MV,D,20190513,000000,89851.79,90717.08,88131.11,88598.43,0,0
WIG_MS_PET_MV,D,20190514,000000,88598.43,89901.09,87948.09,87948.09,0,0
WIG_MS_PET_MV,D,20190515,000000,87948.09,90265.34,87948.09,89948.28,0,0
WIG_MS_PET_MV,D,20190516,000000,89948.28,92533.44,89495.35,92052.24,0,0
WIG_MS_PET_MV,D,20190517,000000,92052.24,93411.31,91868.23,93127.34,0,0
WIG_MS_PET_MV,D,20190520,000000,93127.34,93392.52,91696.41,92036.71,0,0
WIG_MS_PET_MV,D,20190521,000000,92036.71,93414.42,92036.71,93239.51,0,0
WIG_MS_PET_MV,D,20190522,000000,93239.51,94903.43,93026.83,93957.33,0,0
WIG_MS_PET_MV,D,20190523,000000,93957.33,93957.33,90905.36,90962.03,0,0
WIG_MS_PET_MV,D,20190524,000000,90962.03,92247.93,90962.03,91894.12,0,0
WIG_MS_PET_MV,D,20190527,000000,91894.12,92788.04,91853.67,92477.09,0,0
WIG_MS_PET_MV,D,20190528,000000,92477.09,96787.28,92477.09,95703.62,0,0
WIG_MS_PET_MV,D,20190529,000000,95703.62,95703.62,93735.82,94581.05,0,0
WIG_MS_PET_MV,D,20190530,000000,94581.05,95705.41,94581.05,95099.58,0,0
WIG_MS_PET_MV,D,20190531,000000,95099.58,96189.4,94256.49,96189.4,0,0
WIG_MS_PET_MV,D,20190603,000000,96189.4,96309.93,95282.97,95631.79,0,0
WIG_MS_PET_MV,D,20190604,000000,95631.79,95901.63,94718.52,94774.8,0,0
WIG_MS_PET_MV,D,20190605,000000,94774.8,95199.09,93281.82,93396.14,0,0
WIG_MS_PET_MV,D,20190606,000000,93396.14,93769.09,92118.29,92118.29,0,0
WIG_MS_PET_MV,D,20190607,000000,92118.29,92915.61,91406.61,92464.63,0,0
WIG_MS_PET_MV,D,20190610,000000,92464.63,93124.99,92429.14,93048.02,0,0
WIG_MS_PET_MV,D,20190611,000000,93048.02,93481.96,92731.81,92911.07,0,0
WIG_MS_PET_MV,D,20190612,000000,92911.07,93041.67,91877.34,92387.61,0,0
WIG_MS_PET_MV,D,20190613,000000,92387.61,92739.36,91205.57,91599.84,0,0
WIG_MS_PET_MV,D,20190614,000000,91599.84,91681.57,89817.34,90729.6,0,0
WIG_MS_PET_MV,D,20190617,000000,90729.6,90953.05,90224.12,90823.85,0,0
WIG_MS_PET_MV,D,20190618,000000,90823.85,91506.75,90172.13,91218.2,0,0
WIG_MS_PET_MV,D,20190619,000000,91218.2,91621.13,90233.28,90233.28,0,0
WIG_MS_PET_MV,D,20190621,000000,90233.28,91782.16,90233.28,90444.05,0,0
WIG_MS_PET_MV,D,20190624,000000,90444.05,92394.13,90444.05,92394.13,0,0
WIG_MS_PET_MV,D,20190625,000000,92394.13,92394.13,90449.93,90449.93,0,0
WIG_MS_PET_MV,D,20190626,000000,90449.93,90855.97,89855.14,90533.97,0,0
WIG_MS_PET_MV,D,20190627,000000,90533.97,91881.42,90533.97,91072.2,0,0
WIG_MS_PET_MV,D,20190628,000000,91072.2,91276.99,90570.02,91183.39,0,0
WIG_MS_PET_MV,D,20190701,000000,91183.39,92382.17,90818.94,90818.94,0,0
WIG_MS_PET_MV,D,20190702,000000,90818.94,91332.65,89760.42,90913.25,0,0
WIG_MS_PET_MV,D,20190703,000000,90913.25,94166.07,90913.25,94027.17,0,0
WIG_MS_PET_MV,D,20190704,000000,94027.17,96309.66,94027.17,95839.58,0,0
WIG_MS_PET_MV,D,20190705,000000,95839.58,96725.84,95746.43,96138.77,0,0
WIG_MS_PET_MV,D,20190708,000000,96138.77,96138.77,94814.73,94814.73,0,0
WIG_MS_PET_MV,D,20190709,000000,94814.73,94924.33,93112.07,93326.13,0,0
WIG_MS_PET_MV,D,20190710,000000,93326.13,94490.8,93106.86,93293.65,0,0
WIG_MS_PET_MV,D,20190711,000000,93293.65,95885.5,93293.65,95323.86,0,0
WIG_MS_PET_MV,D,20190712,000000,95323.86,97654.62,95323.86,97512.96,0,0
WIG_MS_PET_MV,D,20190715,000000,97512.96,98902.62,97051.2,97619.57,0,0
WIG_MS_PET_MV,D,20190716,000000,97619.57,98188.56,96560.27,96690.52,0,0
WIG_MS_PET_MV,D,20190717,000000,96690.52,96690.52,94971.18,95039.04,0,0
WIG_MS_PET_MV,D,20190718,000000,95039.04,95291.61,94331.93,94982.71,0,0
WIG_MS_PET_MV,D,20190719,000000,93485.73,97345.59,93485.73,96570.85,0,0
WIG_MS_PET_MV,D,20190722,000000,96570.85,97217.21,96410.22,96610.61,0,0
WIG_MS_PET_MV,D,20190723,000000,96610.61,97232.3,96235.28,96808.29,0,0
WIG_MS_PET_MV,D,20190724,000000,96808.29,97962.12,96808.29,97962.12,0,0
WIG_MS_PET_MV,D,20190725,000000,97962.12,97962.12,96583.91,96583.91,0,0
WIG_MS_PET_MV,D,20190726,000000,96583.91,96873.86,96146.84,96445.32,0,0
WIG_MS_PET_MV,D,20190729,000000,96445.32,96445.32,95098.99,95098.99,0,0
WIG_MS_PET_MV,D,20190730,000000,95098.99,96555.57,94638.78,95924.13,0,0
WIG_MS_PET_MV,D,20190731,000000,95924.13,98175.74,95924.13,96861.13,0,0
WIG_MS_PET_MV,D,20190801,000000,96861.13,98408.15,96376.29,97000.14,0,0
WIG_MS_PET_MV,D,20190802,000000,97000.14,97370.85,95043.86,95360.7,0,0
WIG_MS_PET_MV,D,20190805,000000,95360.7,95360.7,92790.58,92790.58,0,0
WIG_MS_PET_MV,D,20190806,000000,92790.58,93362.49,90803.44,91123.13,0,0
WIG_MS_PET_MV,D,20190807,000000,91123.13,91477.37,88753.34,88985.41,0,0
WIG_MS_PET_MV,D,20190808,000000,88985.41,90924.77,88985.41,90760.08,0,0
WIG_MS_PET_MV,D,20190809,000000,90760.08,90962.68,87267.93,87416.24,0,0
WIG_MS_PET_MV,D,20190812,000000,87416.24,87888.54,86489.19,86691.27,0,0
WIG_MS_PET_MV,D,20190813,000000,86691.27,90677.86,86469.43,90241.52,0,0
WIG_MS_PET_MV,D,20190814,000000,90241.52,90322.73,86974.57,86974.57,0,0
WIG_MS_PET_MV,D,20190816,000000,86974.57,87671.11,84872.35,84872.35,0,0
WIG_MS_PET_MV,D,20190819,000000,84872.35,87020.03,84872.35,86619.03,0,0
WIG_MS_PET_MV,D,20190820,000000,86619.03,86850.16,85151.62,85651.08,0,0
WIG_MS_PET_MV,D,20190821,000000,85651.08,86975.83,85433.32,85950.64,0,0
WIG_MS_PET_MV,D,20190822,000000,85950.64,86247.96,85434.65,85666.52,0,0
WIG_MS_PET_MV,D,20190823,000000,85666.52,86920.32,85197.31,85947.91,0,0
WIG_MS_PET_MV,D,20190826,000000,85947.91,86216,84561.75,85806.13,0,0
WIG_MS_PET_MV,D,20190827,000000,85806.13,85831.79,84543.99,85213.91,0,0
WIG_MS_PET_MV,D,20190828,000000,85213.91,86036.01,83972.87,85564.63,0,0
WIG_MS_PET_MV,D,20190829,000000,85564.63,86805.32,85234.34,85234.34,0,0
WIG_MS_PET_MV,D,20190830,000000,85234.34,87934.63,85234.34,87734.76,0,0
WIG_MS_PET_MV,D,20190902,000000,87734.76,88875.09,87734.76,88588.45,0,0
WIG_MS_PET_MV,D,20190903,000000,88588.45,88588.45,86625.38,86630.73,0,0
WIG_MS_PET_MV,D,20190904,000000,86630.73,87599.48,84896.36,84932.07,0,0
WIG_MS_PET_MV,D,20190905,000000,84932.07,86346.57,84932.07,85445.77,0,0
WIG_MS_PET_MV,D,20190906,000000,85445.77,86319.31,85292.75,85607.87,0,0
WIG_MS_PET_MV,D,20190909,000000,85607.87,88288.99,85607.87,88112.9,0,0
WIG_MS_PET_MV,D,20190910,000000,88112.9,90937.16,88045.16,90934.52,0,0
