<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_ODZIEZ_PE,D,20170104,000000,22.687,22.687,22.373,22.467,0,0
WIG_ODZIEZ_PE,D,20170105,000000,22.467,22.512,22.396,22.508,0,0
WIG_ODZIEZ_PE,D,20170109,000000,22.509,22.593,22.397,22.431,0,0
WIG_ODZIEZ_PE,D,20170110,000000,22.432,22.499,22.345,22.447,0,0
WIG_ODZIEZ_PE,D,20170111,000000,22.447,22.601,22.413,22.503,0,0
WIG_ODZIEZ_PE,D,20170112,000000,22.503,22.602,22.365,22.393,0,0
WIG_ODZIEZ_PE,D,20170113,000000,22.393,22.476,22.274,22.388,0,0
WIG_ODZIEZ_PE,D,20170116,000000,22.389,22.581,22.366,22.581,0,0
WIG_ODZIEZ_PE,D,20170117,000000,22.582,22.635,22.431,22.49,0,0
WIG_ODZIEZ_PE,D,20170118,000000,22.49,22.632,22.248,22.314,0,0
WIG_ODZIEZ_PE,D,20170119,000000,22.314,22.435,22.314,22.365,0,0
WIG_ODZIEZ_PE,D,20170120,000000,22.366,22.366,22.163,22.213,0,0
WIG_ODZIEZ_PE,D,20170123,000000,22.213,22.213,21.996,22.129,0,0
WIG_ODZIEZ_PE,D,20170124,000000,22.129,22.134,21.889,21.893,0,0
WIG_ODZIEZ_PE,D,20170125,000000,21.893,21.955,21.822,21.914,0,0
WIG_ODZIEZ_PE,D,20170126,000000,21.914,22.108,21.867,22.077,0,0
WIG_ODZIEZ_PE,D,20170127,000000,22.077,22.347,21.959,22.347,0,0
WIG_ODZIEZ_PE,D,20170130,000000,22.347,22.436,22.268,22.342,0,0
WIG_ODZIEZ_PE,D,20170131,000000,22.343,22.445,22.246,22.382,0,0
WIG_ODZIEZ_PE,D,20170201,000000,22.382,22.524,22.21,22.288,0,0
WIG_ODZIEZ_PE,D,20170202,000000,22.289,22.345,22.151,22.234,0,0
WIG_ODZIEZ_PE,D,20170203,000000,22.234,22.234,21.886,21.927,0,0
WIG_ODZIEZ_PE,D,20170206,000000,21.928,22.017,21.524,21.549,0,0
WIG_ODZIEZ_PE,D,20170207,000000,20.966,20.966,20.897,20.907,0,0
WIG_ODZIEZ_PE,D,20170208,000000,20.927,21.096,20.927,21.047,0,0
WIG_ODZIEZ_PE,D,20170209,000000,21.047,21.181,20.888,21.101,0,0
WIG_ODZIEZ_PE,D,20170210,000000,21.102,21.186,21.08,21.144,0,0
WIG_ODZIEZ_PE,D,20170213,000000,21.143,21.228,20.851,21,0,0
WIG_ODZIEZ_PE,D,20170214,000000,21,21.032,20.81,20.95,0,0
WIG_ODZIEZ_PE,D,20170215,000000,20.951,21.141,20.951,21.141,0,0
WIG_ODZIEZ_PE,D,20170216,000000,21.142,21.218,20.996,21.218,0,0
WIG_ODZIEZ_PE,D,20170217,000000,21.219,21.271,21.009,21.058,0,0
WIG_ODZIEZ_PE,D,20170220,000000,21.059,21.078,20.946,21.074,0,0
WIG_ODZIEZ_PE,D,20170221,000000,21.074,21.124,20.967,21.031,0,0
WIG_ODZIEZ_PE,D,20170222,000000,21.032,21.134,20.949,21.134,0,0
WIG_ODZIEZ_PE,D,20170223,000000,21.135,21.322,20.396,20.396,0,0
WIG_ODZIEZ_PE,D,20170224,000000,20.396,20.549,20.27,20.294,0,0
WIG_ODZIEZ_PE,D,20170227,000000,20.294,20.362,20.175,20.316,0,0
WIG_ODZIEZ_PE,D,20170228,000000,20.316,20.354,19.769,19.769,0,0
WIG_ODZIEZ_PE,D,20170301,000000,19.769,19.908,19.679,19.89,0,0
WIG_ODZIEZ_PE,D,20170302,000000,19.89,19.994,19.848,19.994,0,0
WIG_ODZIEZ_PE,D,20170303,000000,19.994,20.085,19.874,19.99,0,0
WIG_ODZIEZ_PE,D,20170306,000000,19.99,20,19.695,19.776,0,0
WIG_ODZIEZ_PE,D,20170307,000000,19.776,19.776,19.524,19.607,0,0
WIG_ODZIEZ_PE,D,20170308,000000,19.607,19.715,18.987,18.987,0,0
